username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PortJeffHealth,2018-05-04,06:05:13,Check out our video from this year's Health & Wellness Fest   https://youtu.be/OdtR7SPfo08  #PortJefferson pic.twitter.com/T2CxiknjhK,0,0,1,True,#PortJefferson
PortJeffHealth,2018-05-02,15:51:51,It was a big day last Saturday for the Village of Port Jefferson!   http://ow.ly/bM8130jNQfJ  #health #wellness #portjeff #longisland pic.twitter.com/fYO9ZCkOqK,0,0,0,True,"#health,#wellness,#portjeff,#longisland"
PortJeffChamber,2018-04-30,09:50:52,Thank you to all who attended to our 9th Annual #PortJeff Health & Wellness Fest last Saturday! It was a big success and we're looking forward to seeing you again next year! #healthwellness #longisland #healthyliving #newyork pic.twitter.com/jvsJNniYWa,4,0,1,True,"#PortJeff,#healthwellness,#longisland,#healthyliving,#newyork"
PortJeffHealth,2018-04-27,10:45:22,Who's ready for the #PortJeff Health & Wellness Fest tomorrow?!  https://portjeffhealth.com  pic.twitter.com/sTm9BkzP0W,0,0,0,True,#PortJeff
PortJeffHealth,2018-04-25,10:45:25,"We are couple days away for our 9th Annual Port Jeff Health & Wellness Fest! It's this Saturday, 28th, 9am-1pm. Everyone who attends enters to WIN a Gift Basket (valued at $250) filled with Gift Certificates at our local retail shops.#portjefferson #healthfest #longisland pic.twitter.com/wZVxgpUaGq",0,0,0,True,"#portjefferson,#healthfest,#longisland"
PortJeffHealth,2018-04-23,04:00:47,"Screenings are done by #MatherHospital, Ear Works Audiology, Stony Brook Medicine, Dr. Brian Zonks, DC, PC Chiropractic, and #PortJeffersonPilates https://portjeffhealth.com/screenings-demos/ …",0,0,0,True,"#MatherHospital,#PortJeffersonPilates"
PortJeffHealth,2018-04-21,10:30:29,"Have you ever done #pilates or #yoga? Join us for an interactive exhibition for both pilates & yoga at our #HealthandWellnessFest, Saturday, 4/28Pilates taught by Port Jefferson Pilates at 9:30am & 10:30am.Yoga taught by Diane McDonald at 11:45am https://portjeffhealth.com/screenings-demos/ … pic.twitter.com/PuKInbTmfQ",0,0,0,True,"#pilates,#yoga,#HealthandWellnessFest"
PortJeffHealth,2018-04-19,12:05:20,"It's never too late to start a healthy lifestyle, a #healthy you! pic.twitter.com/znFYumpkwh",0,0,0,True,#healthy
PortJeffHealth,2018-04-18,18:30:24,"Special performance at our #HealthandWellnessFest , #TaiChi by Authentic Shaolin Kung Fu, at 11:00am, 4/28The internal Chinese martial arts can be practiced for both its defense training & it's health benefits through the forces of yin & yang.[Photo: Authentic Shaolin Kung Fu] pic.twitter.com/EtGLsWF5gL",0,0,0,True,"#HealthandWellnessFest,#TaiChi"
PortJeffHealth,2018-04-17,10:15:20,Are you counting the calories?#healthyeating #portjeff #healthandwellnessfest #longisland #eatwelllivewell pic.twitter.com/biVacqy25z,0,0,0,True,"#healthyeating,#portjeff,#healthandwellnessfest,#longisland,#eatwelllivewell"
PortJeffHealth,2018-04-16,14:01:25,"Again, this year there will be the Family Fun Run, the Power of One Family Fun Run, hosted by the Royal Education Foundation. Beginning at 8:30am at the Village Center and ends at our Health & Wellness Fest.Support our local community and sign up here:  https://www.pjref.com/fun-run  pic.twitter.com/JsGVeLZUKD",0,0,0,True,
PortJeffHealth,2018-04-15,06:00:39,"Being #Healthy means thinking positively, eating better, exercising often, and feeling good! How are you feeling?#feelgood #wellness #portjeff #healthandwellnessfest #longisland #suffolkcounty pic.twitter.com/nxfAwMZhjJ",1,0,0,True,"#Healthy,#feelgood,#wellness,#portjeff,#healthandwellnessfest,#longisland,#suffolkcounty"
PortJeffHealth,2018-04-14,10:45:14,"What’s friendly, furry & can be in the room w/ grieving families? A trained service dog that specializes in grief therapy. Meet Kota, a two and half year old Black Lab Weimaraner mix. Owner, Pete Moloney of Moloney Funeral Homes. He is the first grief therapy dog on #LongIsland pic.twitter.com/2vO0xWxHut",0,0,0,True,#LongIsland
PortJeffHealth,2018-04-13,07:55:13,"See what's new coming to this year's 2018, 9th Annual Port Jeff Health & Wellness Fest... https://portjeffhealth.com/whats-new-at-the-health-wellness-fest-this-year-2018/ …#portjeff #healthandwellness #longisland #longislandevents pic.twitter.com/qhgocTnVmo",0,0,0,True,"#portjeff,#healthandwellness,#longisland,#longislandevents"
PortJeffHealth,2018-03-07,09:54:14,"Our annual #PortJefferson Health & Wellness Fest is Saturday, April 28th, 2018. Over 50 #Health & #Wellness professionals will be participating. Make sure you add this to your calendar! Visit  https://portjeffhealth.com/  pic.twitter.com/qBOm7bFexi",0,0,1,True,"#PortJefferson,#Health,#Wellness"
