username,date,time,tweet,likes,replies,retweets,retweet,hashtags
SMLibrary_TJU,2018-07-23,10:51:56,"Pam Walter is starting a new class on Wednesday: ""Better Everyday Writing for Professionals.""This offering from the @CTLJefferson Office for Professional Writing, Publishing & Communication is free for Jeffersonians. Please email her if you'd like to attend. pic.twitter.com/0adZkCKMcl",5,0,2,True,
SMLibrary_TJU,2018-07-19,13:00:50,AHRQ shut down  http://Guidelines.gov  on Monday. Try the @tripdatabase as an alternative to locate guidelines (among other types of evidence).   http://library.jefferson.edu/librarynews/?p=9620 … pic.twitter.com/hCVWWdzrEl,9,0,14,True,
SMLibrary_TJU,2018-07-19,08:45:05,Dr. Rosie Frasso of @JeffersonJCPH getting ready to teach qualitative research with ⁦@NVivobyQSR⁩ now available by site license:  http://library.jefferson.edu/librarynews/?p=9541 … pic.twitter.com/detwQDOkjW,8,0,1,True,
SMLibrary_TJU,2018-07-18,13:16:31,These 4 streaming videos from the @APA are now available from SML:* Psychological assessment and case conceptualization* Session structure and behavioral strategies* Cognitive restructuring of automatic thoughts* Competency-based supervision http://library.jefferson.edu/librarynews/?p=9612 …,0,0,0,True,
JeffArchives,2018-07-16,10:04:10,New collection alert! More than 300 textile printing blocks from  @designcenterphu's holdings have been photographed and made available online. Learn more at  http://library.jefferson.edu/librarynews/?p=9602 … pic.twitter.com/yZs9c1mifx,4,0,1,True,
SMLibrary_TJU,2018-07-11,15:24:15,"PsycARTICLES is newly available for SML users, and PsycINFO has moved to @APAPsycNET.  http://library.jefferson.edu/librarynews/?p=9595 … pic.twitter.com/xX2RjZKXlc",0,0,0,True,
mike_natter,2018-07-05,10:16:36, http://www.philly.com/philly/health/a-medical-resident-on-imposter-syndrome-its-an-anchor-not-a-weight-20180705.html?mobi=true …,49,4,7,True,
SMLibrary_TJU,2018-07-05,13:06:16,Is the medical community ready for preprints? The Lancet is conducting a 6-month pilot to find out.  http://library.jefferson.edu/librarynews/?p=9589 …,0,0,0,True,
SMLibrary_TJU,2018-07-05,09:11:40,Please note that Scott Library does not subscribe to all of the content discoverable in Springer Nature Experiments. pic.twitter.com/kuwywSQnd5,0,0,0,True,
SMLibrary_TJU,2018-07-05,09:07:44,Springer Nature Experiments is replacing  http://SpringerProtocols.com . Search by lab technique or model organism for the best protocol for your experiment.  http://library.jefferson.edu/librarynews/?p=9582 … pic.twitter.com/NyWAC3iYp1,0,1,0,True,
SMLibrary_TJU,2018-07-03,08:13:07,Need to make writing a priority but can’t find the time? Sign up for the @CTLJefferson Fall Writing Retreat!  http://library.jefferson.edu/librarynews/?p=9556 … https://twitter.com/DocSavageTJU/status/971370478056169472 …,2,0,0,True,
SMLibrary_TJU,2018-07-02,09:52:55,25 e-books recently added to the collection:  http://library.jefferson.edu/librarynews/?p=9569 … pic.twitter.com/D6y5vB8PNM,0,0,0,True,
SMLibrary_TJU,2018-06-28,12:11:53,"Great working with such dedicated, talented students and faculty. Congratulations, @JeffersonJCPH MPH students! https://twitter.com/JeffersonJCPH/status/1012361491704578051 …",3,0,1,True,
SMLibrary_TJU,2018-06-27,11:00:19,The Journal Citation Reports (JCR) 2018 update is out. They've provided additional contextual data around the Journal Impact Factor (JIF) to support the responsible use of research metrics.  http://library.jefferson.edu/librarynews/?p=9562 …,0,0,0,True,
stephanieJnahas,2018-06-21,10:05:31,"Dr. David Hemenway of @HarvardChanSPH details some problems with #gun #policy and #researchFor one thing, research is severely #underfundedEgregiously, if you ask me#CodeRedPHL pic.twitter.com/XDbMnck3o3",1,0,1,True,"#gun,#policy,#researchFor,#underfundedEgregiously,#CodeRedPHL"
JeffersonJCPH,2018-06-19,17:30:36,What's up next? The MPH Summer Capstone Symposium 6/22/18 at 901 Walnut Lobby. Take a look at these vital #publichealth issues tackled by our students! Each student gives a quick talk followed by a interactive poster session. Stop by anytime! @JeffersonUniv pic.twitter.com/t3H9qQlXao,5,0,1,True,#publichealth
SMLibrary_TJU,2018-06-15,11:11:16,Startup or License? ⁦@JeffInnovation⁩ pic.twitter.com/E4a4SIya25,2,0,3,True,
JeffInnovation,2018-06-15,11:06:00,We'll be kicking things off shortly with @BioSPartners! Stay tuned! Stream here:  http://library.jefferson.edu/videos/live/ ,0,0,2,True,
SMLibrary_TJU,2018-06-15,09:46:29,.@drpandthectl  is demonstrating the OBS and raffling iTunes gift cards and USB drives. pic.twitter.com/YXoqdq9E6t,4,0,1,True,
SMLibrary_TJU,2018-06-15,09:41:21,"Happening now! Stop by till noon today, room 411. https://twitter.com/smlibrary_tju/status/996856826661662724 …",0,0,0,True,
SMLibrary_TJU,2018-06-13,15:12:33,"""Okay, that is a reading assignment.""Fortunato S, Bergstrom CT, Börner K, et al. Science of science. Science 2018;359(6379).  https://dx.doi.org/10.1126/science.aao0185 …. pic.twitter.com/XlHKGNfPdi",0,0,0,True,
SMLibrary_TJU,2018-06-13,15:02:27,"""I won't call it a reading assignment, because that's not nice."" --Dr. Michael Lauer @NIHgrantsThe Next Generation of Biomedical and Behavioral Sciences ResearchersBreaking Through (2018)  https://www.nap.edu/catalog/25008/the-next-generation-of-biomedical-and-behavioral-sciences-researchers-breaking … pic.twitter.com/jVe7q2Y15l",0,1,0,True,
SMLibrary_TJU,2018-06-13,14:45:22,"This retreat is not a luxury; it’s a professional necessity, because communicating your work to others is as important as doing it.",1,0,1,True,
SMLibrary_TJU,2018-06-13,14:44:51,"Sign up for the 2-day writing retreat, sponsored by the @CTLJefferson Office for Professional Writing, Publishing, & Communication, on the weekend of September 8-9. Open to Jefferson faculty, fellows, postdocs, & other researchers writing for publication.  http://library.jefferson.edu/librarynews/?p=9556 …",2,1,1,True,
RASACS,2018-06-13,07:00:02,"Good morning! We will be starting #RASJACS shortly, discussing paper by @LoggheMD on surgeons' social media use, with authors and special guest, @DrAttai! Access the paper here: https://www.journalacs.org/article/S1072-7515(17)32123-3/fulltext …",5,0,3,True,#RASJACS
RichWebsterTJUH,2018-06-10,10:45:19,Our team @TJUHospital @JeffersonUniv is ready to march!!  #PrideMonth pic.twitter.com/duQXXWxv4d,39,0,8,True,#PrideMonth
JeffersonUniv,2018-06-10,11:00:20,🎓 Listen up all recent grads: @BillGates has a gift for you! Gates is giving the book “Factfulness” to everyone who received a degree from a U.S. college or university this spring. Download your book today:  http://bit.ly/2sJpSW7 . 🔖 #JeffersonGrad18 pic.twitter.com/OeYeBOKHrT,7,0,2,True,#JeffersonGrad18
SMLibrary_TJU,2018-06-08,15:59:09,CODE RED: Battling the Plague of Gun Violence is a day-long conference to educate about gun violence and create a network of health care providers committed to policy solutions sponsored by @JeffersonUniv and @GetHealthyPHL. Info and free registration:  http://library.jefferson.edu/librarynews/?p=9549 …,1,0,1,True,
JeffersonUniv,2018-06-08,14:46:33,The deaths of #KateSpade & #AnthonyBourdain are sparking a conversation about #suicide. Clinical Psychologist & Associate Professor Matthew Wintersteen sat down with @phillydotcom to discuss the warning signs of those considering suicide:  http://bit.ly/2sFs290 .,13,0,5,True,"#KateSpade,#AnthonyBourdain,#suicide"
SMLibrary_TJU,2018-06-08,12:18:33,Improve your writing!  The premium version of @Grammarly is now available for Jeffersonians.  http://library.jefferson.edu/librarynews/?p=9545 … pic.twitter.com/YCupJvId5m,4,1,1,True,
RJmdphilly,2018-06-06,17:18:41,"Getting ready for the @TJUHospital #GME Quality and Safety Poster Session tomorrow, with @KennedyHealth @AriaHealth @AbingtonJeff joining too!  An annual favorite event - join us to celebrate fabulous resident work in improvement! Atrium 11th st side, 7a to 3p! pic.twitter.com/GiaIIHAHp4",21,4,9,True,#GME
SMLibrary_TJU,2018-06-06,08:51:53,"@NVivobyQSR Qualitative researchers, you can now download @nvivobyqsr with Jefferson's site license!  http://library.jefferson.edu/librarynews/?p=9541 …",1,0,0,True,
SMLibrary_TJU,2018-06-06,08:23:58,"Thank you for pulling these together, @IndoorOrchard! https://twitter.com/IndoorOrchard/status/1003949049043738629 …",2,0,0,True,
SMLibrary_TJU,2018-06-04,14:40:35,"And another by Dr. Kimberly Carter, PharmD, BCAC, Assistant Professor, Department of Pharmacy Practice, ""Escape From Iraq: A Refugee Family's Story of Resilience and Hope"":   http://annals.org/aim/fullarticle/2677389/annals-story-slam-escape-from-iraq-refugee-family-s-story …",1,0,1,True,
SMLibrary_TJU,2018-06-04,14:34:52,"Story slam video from Dr. Alison Bell, OTD, OTR/L, Assistant Professor, Occupational Therapy, @JeffersonUniv https://twitter.com/AnnalsofIM/status/986320266967048193 …",6,1,2,True,
SMLibrary_TJU,2018-06-04,11:05:33,"If you have alerts or saved searches in Ovid PsycINFO, please save copies now. We'll be moving PsycINFO to the APA PsycNET platform on July 1.  http://library.jefferson.edu/librarynews/?p=9531 …",0,0,0,True,
SMLibrary_TJU,2018-06-04,09:17:39,Demystifying Big Data and Machine Learning for Healthcare and 24 more new e-books:  http://library.jefferson.edu/librarynews/?p=9524 … pic.twitter.com/cc4M36aFo2,1,0,0,True,
JeffersonUniv,2018-06-03,14:05:04,"Jefferson is proud to celebrate the diversity of our students, faculty & staff. Happy #PrideMonth to all! 🏳️‍🌈 pic.twitter.com/ejybquxFWv",31,0,13,True,#PrideMonth
JeffersonAlumni,2018-05-31,14:26:46,"#TBT to the incredible @JeffArchives that have a new home in the brand new Pinizzotto-Ammon Alumni Center. From an obstetrical bag to a spectrophometer circa 1890, there is so much history! @JeffersonUniv archivist, Michael Angelo did an incredible job with the emplacement. pic.twitter.com/MXxo4tERxM",5,0,3,True,#TBT
JeffersonUniv,2018-05-30,08:15:22,"👀 Check it out! Dr. @sklasko has been named to @FastCompany's 100 Most Creative People in Business for ""making large-scale healthcare personal"" & the only university president to make the list! 🙌 ( https://bit.ly/2LHRT8r )#FCMostCreative pic.twitter.com/tZ3NWkjvgL",21,1,11,True,#FCMostCreative
SMLibrary_TJU,2018-05-29,08:45:02,"Jefferson researchers now have access to Nature Protocols, a journal of laboratory protocols for bench researchers. The Library’s subscription includes issues from 2011 to the present.  http://library.jefferson.edu/librarynews/?p=9511 … pic.twitter.com/gGK4m1D8ul",5,0,1,True,
SMLibrary_TJU,2018-05-23,08:43:33,"Dig in! ""Ariel, The Student Newspaper of Thomas Jefferson University"" (1969-1986) was digitized by @JeffArchives.  http://library.jefferson.edu/librarynews/?p=9504 … pic.twitter.com/iLq16CWSzF",4,0,3,True,
SMLibrary_TJU,2018-05-16,15:56:02,Practicing for a talk? Creating learning objects? The One Button Studio for DIY video recording is open! Reserve it now and save the date for the 6/15 Open House.   http://library.jefferson.edu/librarynews/?p=9492 … pic.twitter.com/qp3n8kDSn3,3,0,0,True,
JEFFsurgery,2018-05-16,11:38:35,ICYMI: Dr. Allan Stewart's Templeton #GrandRound presentation is available online:  http://bit.ly/2KOWs0n  @BaptistHealthSF @TJUHospital @JeffersonUniv pic.twitter.com/uIGs4r6vXx,3,0,2,True,#GrandRound
JeffersonUniv,2018-05-15,14:57:02,"""Write down something about yourself that has to be put on hold while you train in medicine."" -  Check out SKMC student, Caroline Christianson's answer in this week's #Humanities blog post, ""White Coats Need Color."" ( http://bit.ly/2Ip4ono ) #LifeAtJefferson pic.twitter.com/4OdKe1n6ck",4,0,1,True,"#Humanities,#LifeAtJefferson"
