username,date,time,tweet,likes,replies,retweets,retweet,hashtags
TJUHospital,2018-07-24,16:15:09,.@Dr_BrendanCarr provides a vision for what disaster relief could look like if #telehealth were implemented & also discusses some of the barriers to implementation:  http://bit.ly/2v5ueai . pic.twitter.com/9IuVjg1r8C,1,0,1,True,#telehealth
TJUHospital,2018-07-24,15:20:04,"Looking for a #glutenfree #recipe this summer? Try Jefferson dietitian @EmilyLdn's high-protein, high-fiber & low carb fruit 'n' veggie pasta salad:  http://bit.ly/2Lui4Cn . pic.twitter.com/1PBl5r0eHO",0,0,0,True,"#glutenfree,#recipe"
TJUHospital,2018-07-24,12:40:25,Interested in learning more about the 800-calorie-per-day liquid diet? Attend our OPTIFAST® Info Session on 8/2:  http://bit.ly/2v01VKE .,1,0,0,True,
TJUHospital,2018-07-23,14:00:06,Why do we age? Communication inside your cells may offer clues:  http://bit.ly/2NDP5JC  via @phillydotcom @ichaydon,3,0,3,True,
TJUHospital,2018-07-23,12:27:25,Tomorrow: Join @KimmelCancerCtr at Citizens Bank Park for @Phillies #CancerAwareness night: http://phillies.com/Jefferson ,17,0,2,True,#CancerAwareness
TJUHospital,2018-07-23,09:01:01,Does using complementary medicine for cancer reduce patients' survival?  @DrDanielMonti weighs in:  http://bit.ly/2OcvfGf  via @phillydotcom,4,0,2,True,
TJUHospital,2018-07-22,12:45:05,"Meet Dr. Narula, a clinical cardiologist at Mercer Bucks Cardiology - Jefferson Health! He takes care of patients & manages all aspects of general #cardiology, incl. coronary artery disease, valve disease, arrhythmias, hypertension & cholesterol disorders:  http://bit.ly/2NXtQTX  pic.twitter.com/ouPQVyOEYo",2,0,0,True,#cardiology
TJUHospital,2018-07-21,13:35:06,"Cuban Salsa can help those facing cancer to cope with diagnosis, treatment & recovery. Join @KimmelCancerCtr on 8/1 for this 6-week dance workshop that aims to develop participants' bodily awareness & movement intuition:  http://bit.ly/2ynQpNZ  . pic.twitter.com/iqvDNErfoa",11,0,1,True,
TJUHospital,2018-07-20,11:55:06,ICYMI: A recent study examines whether there are changes in symptoms and adverse effects from intravenous #VitaminC infusions in cancer patients receiving or not receiving chemotherapy:  http://bit.ly/2mkiiO4  pic.twitter.com/HUt8zOldeV,6,0,3,True,#VitaminC
TJUHospital,2018-07-19,19:34:07,Congratulations! https://twitter.com/jeffsurgery/status/1020048982679130113 …,7,1,2,True,
TJUHospital,2018-07-19,12:00:24,How does the heat & humidity affect your heart? @AbingtonJeff shares simple summer heart-smart tips so you can enjoy this season of sun & fun:  http://bit.ly/2tho3Pu . #HeatSafety pic.twitter.com/PuWTB4gCKH,3,0,2,True,#HeatSafety
TJUHospital,2018-07-19,08:00:07,#TBT to a helicopter preparing to land on the rooftop of Foerderer Pavilion in 1971 & @JeffSTATCCT in 2017! 🚁 pic.twitter.com/WQyIIJWOMJ,14,1,1,True,#TBT
TJUHospital,2018-07-18,19:45:04,"Tomorrow at 10a: Come, sit, & heal with Jefferson’s pet therapy dogs & their volunteers, including Visa (pictured). Register:  http://bit.ly/2NYCuSr . 🐶 pic.twitter.com/H24tMI6hT9",4,0,0,True,
