username,date,time,tweet,likes,replies,retweets,retweet,hashtags
SCUFellowships,2018-07-23,10:10:52,All the critical dates...SCUF NRMP Match Checklist. NRMP match new to #POCUS this year.  http://bit.ly/EUSMatchChecklist … @geek_md @TheNRMP,13,1,16,True,#POCUS
ultrasoundpod,2018-07-24,08:57:30,When Tamponade is !TAMPONADE! https://goo.gl/fb/yiK35c ,29,0,26,True,
thepocusatlas,2018-07-23,19:54:35,Just caught this awesome post on #POCUS for Acute Chest Syndrome - using our Peds Contributor's images - Dr. Sathya Subramanian from @ChildrensPhila and @kingsofcounty great post!!! #FOAMed #FOAMUS http://www.emdocs.net/us-probe-ultrasound-for-diagnosis-of-acute-chest-syndrome-in-children-with-sickle-cell-disease/ … pic.twitter.com/gr7csL0hVU,11,0,15,True,"#POCUS,#FOAMed,#FOAMUS"
RichWebsterTJUH,2018-07-23,20:12:09,Thanks Dr Rao for your #leadership @TJUHospital @JeffersonUniv @JeffersonRads https://www.healthimaging.com/topics/leadership/rsna-2018-president-address-ai-advanced-imaging …,15,0,6,True,#leadership
MaimoUltrasound,2018-07-23,15:32:04,"Double the uteri, double the fun. Can you identify the didelphys vs bicornuate uterus? #FOAMed #FOAMus #POCUS pic.twitter.com/rctQKRK3Rt",24,1,17,True,"#FOAMed,#FOAMus,#POCUS"
medmastery,2018-07-23,02:10:11,Learn how to perform an ultrasound-guided transversus abdominis plane (TAP) block. You'll cover the distribution of this block and how to use it to assist with procedures that involve the abdominal wall. FULL VIDEO:  http://ow.ly/gq5T30kUr70  #foamed #meded pic.twitter.com/8lGKjCJBNM,3,0,6,True,"#foamed,#meded"
jeff_sono,2018-07-23,06:51:16,J-Club: One-step method LV diastolic dysfunction screening. Nice exploratory study by @DraCoquiMD et al. #POCUS #MedEd Link:  https://bit.ly/2uWzxc9  pic.twitter.com/1HIHDf7vha,13,1,10,,"#POCUS,#MedEd"
ACEPNow,2018-07-22,15:15:07,How to Implement Ultrasound-Guided Nerve Blocks in Your ED:  http://ow.ly/ReB950i2tlF #UGNB is an extremely useful tool in a multimodal approach to acutely injured patients. UGNBs are an adjunct for pain management & can be an ideal way for clinicians to reduce opioid use. #FOAMed pic.twitter.com/5B5ycu1y7g,66,0,53,True,"#UGNB,#FOAMed"
jeff_sono,2018-07-22,12:12:50,J-Club: REVIEW. Knowing the common pitfalls in #POCUS is the only way to avoid them. https://bit.ly/2JGoklu  pic.twitter.com/CMJU6sMxb3,61,0,56,,#POCUS
NagdevArun,2018-07-18,12:56:56,"hypotensive patient with loculated effusion. Note that unlike a classic pericardial tamponade in which the high pressure effusion compresses the lower pressure RA/RV, this LOCULATED pericardial effusion compresses the LV. pic.twitter.com/fIhjkMQEm2",208,4,131,True,
jeff_sono,2018-07-21,14:58:28,J-Club: Early results suggest lung #POCUS predictive for acute chest before CXR in pts with sickle cell pain crisis https://bit.ly/2uGVBYS  pic.twitter.com/dpMCPMtRc0,23,0,18,,#POCUS
emdocsdotnet,2018-07-13,10:22:16,"Ultrasound G.E.L. - Ultrasound Guided Femoral Nerve Blocks for Hip Fractures via @PratsEM, @CreaghB and @UltrasoundMD#FOAMed #FOAMus #EBS  http://www.emdocs.net/ultrasound-g-e-l-ultrasound-guided-femoral-nerve-blocks-for-hip-fractures/ … pic.twitter.com/ktgIrOG22m",34,0,38,True,"#FOAMed,#FOAMus,#EBS"
