username,date,time,tweet,likes,replies,retweets,retweet,hashtags
DrAhadRahim,2018-07-16,10:32:51,Our work with the fantastic @SimonWad @Batten_PSDLA and many more fantastic collaborators now out in @NatureMedicine. Fetal #GeneTherapy for #GaucherDisease . Funded by @The_MRC and @GauchersA. https://www.nature.com/articles/s41591-018-0106-7 …,27,2,12,True,"#GeneTherapy,#GaucherDisease"
Batten_PSDLA,2018-06-22,17:40:52,"Being a stay at home dad just after my oldest son was born was what got me into working in pediatrics. Now he's finishing college and about to start a PhD in Chemistry, despite my example! Way to go Zig!",18,1,0,True,
Batten_PSDLA,2018-06-22,17:22:30,"This is my last day at LABioMed at UCLA Medical Center as the lab is moving to Washington University School of Medicine, St Louis. @LABIOMED52 has been a great home for the last 2 years, but the move will be be wonderful for our #Battendisease research",17,0,0,True,#Battendisease
BDSRA,2018-06-09,07:11:41,"Today is the day! Individuals and organizations across the globe are united on #BattenDay2018 to share experiences, raise awareness and show support for the thousands of lives and families that...  https://www.facebook.com/story.php?story_fbid=2176989895648988&id=112013128813352 …",10,0,6,True,#BattenDay2018
Batten_PSDLA,2018-06-08,09:03:29,Marking Batten Disease Awareness Day meeting up in San Francisco with Tom Wishart from Edinburgh to discuss our ongoing Batten disease projects #battendisease #battendiseaseawareness @BattenDiseaseUK @BDSRA,10,0,3,True,"#battendisease,#battendiseaseawareness"
melhall10,2018-06-08,02:52:24,"@BattenDiseaseUK Today is Batten Disease Awareness Day. So much love, respect and thoughts go to all the children & families affected by this exceptionally cruel, rare disease. #battendisease #battendiseaseawareness #battendiseaseawarenessday#raredisease @battendiseaseuk ❤️🙏🏼❤️ pic.twitter.com/C21kzBiMbK",35,2,28,True,"#battendisease,#battendiseaseawareness,#battendiseaseawarenessday,#raredisease"
olliebobsarmy,2018-06-08,03:35:18,Today is #battendiseaseawarenessday2018 can you shout out about #battendisease today? pic.twitter.com/n8Yd3KDXYG,20,0,20,True,"#battendiseaseawarenessday2018,#battendisease"
bdfaRESEARCHuk,2018-06-08,04:01:02,Celebrate #battendisease awareness day - go orange! @BAT_Cure working on @BattenDiseaseUK  research grants today. pic.twitter.com/1We6WE24pV,13,0,7,True,#battendisease
JodyPenn,2018-06-08,03:19:53,please RT to show your support and HELP SPREAD AWARENESS OF BATTEN DISEASE pic.twitter.com/y1IQpFxCLx,8,0,12,True,
SaraEMole,2018-06-05,07:38:54,sign the petition for #battendisease.  https://chn.ge/2LnWOui  via @UKChange,3,0,2,True,#battendisease
Batten_PSDLA,2018-05-09,19:18:40,If only it was this easy... https://twitter.com/James_W_C/status/992739293796950018 …,3,0,0,True,
melhall10,2018-04-18,16:37:49,Super proud of Claire & George. The words “Batten Disease” still remains unknown and very alien to so many people. The awareness being raised in this campaign is simply fantastic. I for one am so very grateful ❤️ @BattenDiseaseUK #battendisease #dementiastrikeschildrentoo https://twitter.com/joan_cummins/status/986646172466057216 …,8,1,4,True,"#battendisease,#dementiastrikeschildrentoo"
BattenDiseaseUK,2018-04-09,08:00:10,"The Dementia Strikes Children Too campaign aims to raise awareness of childhood dementia, drive for better clinical education of the disease, and put in place the systems and tools for earlier diagnosis.#DementiaStrikesChildrenToo #ChildhoodDementia pic.twitter.com/JPzYdmjQ1H",12,0,11,True,"#DementiaStrikesChildrenToo,#ChildhoodDementia"
nrichfoundation,2018-04-07,12:41:46,"89,445 signatures,pls RT to help get even more💕thank you https://www.change.org/p/nhs-england-help-fund-the-only-treatment-for-children-with-fatal-batten-diesease?recruiter=125732515&utm_source=share_petition&utm_medium=copylink&utm_campaign=share_petition&utm_term=share_petition …",6,0,6,True,
collabchem,2018-03-01,10:20:56,#RDDNIH Margie Frazier @BDSRA describes #BattenDisease - tells a harrowing parents story - one that lasts for over a decade pic.twitter.com/QUvoPiCRMe,5,0,2,True,"#RDDNIH,#BattenDisease"
BDSRA,2018-03-01,08:31:20,"BDSRA Executive Director Margie Frazier, PhD will be speaking at Rare Disease Day at NIH today at 10:45 AM! You...  https://fb.me/UFSCtqEZ ",7,0,1,True,
Batten_PSDLA,2018-02-28,13:23:14,"It's Rare Disease Day today! Please retweet to show your support for families everywhere who live with rare diseases every single day, the non-profit organizations and all those that support them #fb #battendisease @BDSRA @BattenDiseaseUK #RareDiseaseDay #RareDiseaseDay2018 pic.twitter.com/zEFUIuv6K8",18,1,9,True,"#fb,#battendisease,#RareDiseaseDay,#RareDiseaseDay2018"
lizrich21,2018-02-28,03:04:11,It’s #RareDiseaseDay please follow our precious girls journey with Batten Disease @nrichfoundation pic.twitter.com/Uihk5TbP1Q,4,0,3,True,#RareDiseaseDay
bdfaRESEARCHuk,2018-02-28,06:25:38,NCL2018 website is live! #battendisease @BattenDiseaseUK @BAT_Cure  http://www.ncllondon2018.com  on my way to a planning meeting at UCL @SaraEMole,8,0,4,True,#battendisease
MRC_LMCB,2018-02-28,03:47:00,Today is #RareDiseaseDay. @SaraEMole studies the genetics and biology of  #BattenDisease and is looking for much-needed therapies. To know more:  http://www.ucl.ac.uk/lmcb/users/sara-mole …#lysosomaldisease @ucl_slms @MRC_LMCB pic.twitter.com/JmAmg24ipO,8,0,4,True,"#RareDiseaseDay,#BattenDisease,#lysosomaldisease"
BDSRA,2018-02-27,12:17:42,#RareDiseaseDay is tomorrow! Join #BDSRA in celebrating and spreading awareness. Visit…  https://www.instagram.com/p/BftbhoNhj1Q/ ,7,0,4,True,"#RareDiseaseDay,#BDSRA"
NIHDirector,2018-02-23,13:00:56,Work closely with patient organizations. Find collaborators with complementary skills. Be motivated and don’t let failure discourage you. Bring patients to every science meeting to remind people why this work really matters. #NIHChat https://twitter.com/MargaretAinDC/status/967107362652938241 …,106,6,49,True,#NIHChat
suchfun67,2018-02-22,16:18:19,"Come on guys, do the right thing. If you’ve never heard of Battens take 5 minutes to read the threads and help us by adding your signatures. If it was someone you knew you’d already be doing it! https://twitter.com/melhall10/status/966421644184088576 …",6,0,7,True,
wnettleford,2018-02-22,07:34:45,The parents of two children with the rare genetic Batten Disease are fighting NICE to fund the treatment they say could prevent them from dying before they turn 12. NICE say it’s too expensive  @thebdfa @5_News https://youtu.be/67sk49oI1EI ,10,0,15,True,
melhall10,2018-02-21,15:17:29,"🌟Little update🌟 we’ve now achieved 70,000 signatures...  30,000 more to go. Please can you help? Just a retweet is a simple ask.... Keep sharing and asking all! This is in reach now xxxx 🙏🏼❤️ #battendisease @BattenDiseaseUK https://www.change.org/p/nhs-england-help-fund-the-only-treatment-for-children-with-fatal-batten-diesease …",8,1,16,True,#battendisease
