username,date,time,tweet,likes,replies,retweets,retweet,hashtags
steveaschmd,2018-07-12,10:47:57,Three phases of a career development award ⁦@vahsrd⁩   -Rich Nelson Enjoy the rainbows. pic.twitter.com/Ix6NvFqZ92,40,4,8,True,
leorahorwitzmd,2018-07-12,22:03:48,"Wait, so next week we lose the @AHRQNews Quality Measures Clearinghouse and now the guidelines too?? C’mon, this is not even rounding error in the budget!  https://www.qualitymeasures.ahrq.gov  https://twitter.com/choo_ek/status/1017573722314629120 …",11,1,10,True,
Atul_Gawande,2018-07-13,08:01:28,The elimination of Agency for Healthcare Research & Quality's  National Guidelines Clearinghouse health care is another astonishing and unconscionable blow for access to scientific information. https://thebea.st/2LdQhTj ,1517,87,1628,True,
UCSFSenate,2018-07-13,11:51:19,Every year the @UCSF  Senate recognizes four outstanding faculty with the Distinction In  Mentoring (DIM) and the Distinction In Teaching (DIT) Awards. Read the  post-event summary here:  https://bit.ly/2NORcva  @CMangurian @geri_doc @UCSFMedicine,16,0,4,True,
DeprescribeNet,2018-07-11,10:57:01,Today is World #Benzodiazepine Awareness Day. Share your stories! #worldbenzoday @WorldBenzoDayFurther details can be found here: http://w-bad.org/ ,22,1,14,True,"#Benzodiazepine,#worldbenzoday"
doctormeera,2018-07-11,10:43:12,"Fantastic work by @LenaKMakaroun: for better quality of life, avoid transitions in the last 3 days of life, especially between nursing homes and the hospital. More evidence these late transitions are burdensome https://twitter.com/agsjournal/status/1015088183711694850 …",6,0,3,True,
holy_moli88,2018-07-11,01:56:16,"A THREAD:  I’ve been waiting 3 and a half years to post this particular story because it’s one that is dear to me. Originally I had posted this back in April, but due to the privacy laws here in UT that protect children who are in states custody, I was asked to take it down",162140,1617,69802,True,
AnilMakam,2018-07-11,15:45:15,"#340B Program needs fixing, not scrapping. It does help true #SafetyNet #Hospitals like @Parkland - the intended purpose of the policySee @walidgellad @NEJM perspective for nice summary of this complex policy issue@ahahospitals https://www.nejm.org/doi/10.1056/NEJMp1716139 … https://twitter.com/Parkland/status/1017145703859093504 …",2,0,2,True,"#340B,#SafetyNet,#Hospitals"
GoalsDriveCare,2018-07-12,07:04:18,A move from disease-based care to patient goals directed care! https://twitter.com/PtPriorities/status/1017026947954683904 …,14,0,14,True,
nlundebjerg,2018-07-11,17:22:07,"""I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day."" E.B. White",14,1,4,True,
ASPphysician,2018-07-11,05:10:05,"If a patient with a Foley catheter has WBCs, bacteria +/- nitrites in their urine, it means they have a Foley catheter. #TipsForNewDocs",692,14,224,True,#TipsForNewDocs
Deprescribing,2018-07-11,14:30:10,"On Wednesday, July 25, learn how pharmacists in a community setting can address medication-related harm. Drs. Lisa McCarthy and Clara Korenvain are the hosts of the webinar, “Community pharmacists: partners in #deprescribing” Register here:  http://ow.ly/EPCI30kUfMm  pic.twitter.com/5xD5wjElaq",10,0,8,True,#deprescribing
