username,date,time,tweet,likes,replies,retweets,retweet,hashtags
HarvardBiz,2018-07-12,21:00:06,Workaholics struggle to detach from work — on a psychological level https://s.hbr.org/2KRhLlh ,241,3,155,True,
dianesliwka,2018-07-12,23:31:59,Baby steps... https://twitter.com/christinesinsky/status/1017547111750086656 …,3,0,0,True,
dianesliwka,2018-07-05,00:41:42,"Very wise, indeed. https://twitter.com/matt_siedsma/status/1014283788145307648 …",0,0,0,True,
dianesliwka,2018-07-05,00:35:50,Love this. https://twitter.com/hartdoctorahmed/status/1013943314444443649 …,5,0,0,True,
dianesliwka,2018-06-07,22:00:41,This is leadership. https://twitter.com/jasosamd/status/960489797704962048 …,0,0,0,True,
vivek_murthy,2018-06-03,07:08:15,"Thank you @Atul_Gawande for this poignant, beautiful reminder. ""No one and nothing that you encounter...will be simply heroic or evil. Virtue is a capacity. It can always be lost or gained. That potential is why all of our lives are of equal worth."" https://www.newyorker.com/news/news-desk/curiosity-and-the-prisoner …",332,4,140,True,
MKushel,2018-06-02,22:43:55,"A stirring call to new MDs and a perfect description of the magic of being one: to see each person's humanity. ""When people speak, they aren’t just expressing their ideas; they're expressing their emotions. It’s the emotions that they really want heard."" https://www.newyorker.com/news/news-desk/curiosity-and-the-prisoner …",31,0,7,True,
Benioff,2018-05-18,13:57:33,22 schools shootings in US this year. 0 in Japan. 0 in UK. 0 in France. 0 in Germany. 0 in Australia. American kids pleading  with us to help. Can we protect the 2nd amendment & our kids at the same time? Can we raise the age limit to 21? Can we ban assault weapons?  What else?,4013,280,1381,True,
CarrieStLCards,2018-05-18,17:46:38,"@davidfrum Parents think about this morning. Was your child grumpy, did they make you laugh? Tear up their room looking for homework? Were they glad it's Friday or nervous about a test? Now add....""and that was the last time I saw my child alive."" 8 more parents have to. #SantaFe",272,9,112,True,#SantaFe
GilliganTimothy,2018-05-18,20:05:49,“a stunning statistic: More #Americans have been killed at schools this year than have been killed while serving in the military.” - The Washington Post #ENOUGH #EndGunViolence https://apple.news/ANKcPKmsrQZGfs0gDaosPVw …,7,0,1,True,"#Americans,#ENOUGH,#EndGunViolence"
dianesliwka,2018-05-11,23:11:37,Well deserved! https://twitter.com/ucsfnephrology/status/994597832156893186 …,1,0,0,True,
dianesliwka,2018-05-11,23:10:11,"“It is going to take grass root efforts for us to care for each other, for us to look out for one another, and for us to be brave enough to bring issues that cause workplace stress into the light.” Courage, indeed. https://twitter.com/kevinmd/status/995136503134281728 …",0,0,0,True,
dianesliwka,2018-04-18,07:40:04,"ENRICH is most definitely 1 of the most profound and life transforming learning experiences I have ever had. Health professionals interested in communication, personal awareness, leadership and education will love this. #clinicianwellbeing  https://twitter.com/achonline/status/986273574985093121 …",0,0,0,True,#clinicianwellbeing
dianesliwka,2018-04-17,06:37:35,Relationships and connection enhance well-being. Prioritizing time and space for connection is key for #clinicianwellbeing https://twitter.com/acadmedjournal/status/985623890838908928 …,8,0,3,True,#clinicianwellbeing
Bob_Wachter,2018-03-31,19:01:38,"Landmark ""Charter on Physician Well-Being"" in @JAMA_current  http://bit.ly/2GnFozP  Key roadmap; endorsed by many orgs incl @AmerMedicalAssn @TheIHI @ABIMcert @AAMCtoday @SHMLive Lead author @UCSF's @LarissaThomasMD, senior au @ColinWestMDPhD @MayoClinic. Thx @GoldFdtn 4 support",99,2,68,True,
UCSFMedicine,2018-03-28,13:52:57,"Communication is not a 'quick fix', but clinicians who underwent a daylong communication skills course showed higher patient experience scores, increased empathy scores, and lower burnout scores @DrCalvinChou @dianesliwka @nejmcatalyst http://ow.ly/A3mY30jcS2o ",6,0,6,True,
medicalaxioms,2018-03-15,18:57:45,When you’re feeling good say “I feel good today.”Strong? Say “I feel strong I can carry extra weight.”Happy in your work? “I love this job.”Teach yourself not to complain when your condition is good. It drags down the people around you.,567,9,139,True,
dianesliwka,2018-03-13,23:02:28,A transformative experience https://twitter.com/achonline/status/973244494937239552 …,1,0,0,True,
dianesliwka,2018-03-13,23:01:16,Patient experience of better communication during hospitalization can predict lower likelihood of readmission #PatientExperience https://twitter.com/assocptexp/status/973332884638650368 …,5,0,3,True,#PatientExperience
dianesliwka,2018-02-02,09:05:56,Love this way to honor the patient we cared for who just died with #thepause. @michelle_mourad @LekshmiMD @SandrijnM @PatrickKneeland @nate_houchens @Bob_Wachter @markrudolphmd https://twitter.com/boissyad/status/959420486080921600 …,7,0,1,True,#thepause
dianesliwka,2018-01-27,08:23:21,This coordinated national effort will help accelerate our progress on improving physician burnout. https://twitter.com/thenamedicine/status/956549854016262144 …,2,0,0,True,
dianesliwka,2018-01-27,08:17:27,Great examples of what is working to reduce physician burnout. https://twitter.com/christinesinsky/status/957018870023409664 …,0,0,0,True,
dianesliwka,2018-01-12,22:02:00,@ucsfhealth 1st annual retreat for this amazing team of communication facilitators @UCSFHealth @ucsf #bestfriendatwork @michelle_mourad #centerforenhancementofcommunicationinhealthcare @ACHonline pic.twitter.com/WbGDBVbXk6,5,0,0,True,"#bestfriendatwork,#centerforenhancementofcommunicationinhealthcare"
UCSF,2017-10-12,09:11:02,"""To the best of our knowledge this is the first time a therapy has been able to reverse deficits caused by MS."" http://tiny.ucsf.edu/G1zEwV ",23,1,15,True,
withyouDrWu,2017-10-03,02:10:22,Do we need to generate more evidence for benefits of adding  communication training to medical curriculum Ingo Härtel @ISQua #isqua2017 pic.twitter.com/wy7nrlA0wG,1,0,2,True,#isqua2017
withyouDrWu,2017-10-03,02:24:31,Communication in medicine is entwined with professional identity Rick Iedema #isqua2017 @ISQua @ISCOME_tweet #humilityworks @JHM_Armstrong pic.twitter.com/ggDRUtcqbf,5,0,3,True,"#isqua2017,#humilityworks"
dianesliwka,2017-08-18,11:06:42, http://www.mdwriter.com/blog/organizational-attention-to-burnout-where-to-start … DShannon interviews me @ChristineSinsky @ucsfhealth @UCSFHospitals @Bob_Wachter @PatrickKneeland #mdexperience,3,0,0,True,#mdexperience
ChristineSinsky,2017-08-15,05:19:03,"For Each Hour of Clinical Time, Docs Spend 2 on Desk Work https://www.medpagetoday.com/PracticeManagement/PracticeManagement/60046 …",10,0,8,True,
dianesliwka,2017-08-08,12:16:37,I'll be speaking on September 29th at Rush: Reaching the Elusive Tipping Point: ChangingCultureAroundCommunication http://2017rushhosp.strikingly.com/ ,3,0,0,True,
UCSFHospitals,2017-08-07,23:09:28,"@usnews JUST IN: We're the No. 1 hospital in California & the No. 5 hospital in the US, according to @USNews!  http://ucsfh.org/2hEFkQ9  #BestHospitals pic.twitter.com/dWvmsv4vwK",335,22,136,True,#BestHospitals
