username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UCSFEvents,2018-07-17,11:48:02,The UCSF Benioff Children's Hospital offers amazing care and we love to hear and see our helicopter flying in! One of our many teams of heroes! #ThankYou #UCSFBenioffChildrens #Heroes #UCSFBCH  https://www.facebook.com/ucsfspecialevents/posts/1743679952412749 …,3,0,1,True,"#ThankYou,#UCSFBenioffChildrens,#Heroes,#UCSFBCH"
UCSFEvents,2018-07-13,12:49:51,Some amazing things are going on at UCSF Benioff Children's Hospitals! #UCSFBenioffChildrens #Oakland #CBS  https://www.facebook.com/ucsfspecialevents/posts/1737728073007937 …,3,0,1,True,"#UCSFBenioffChildrens,#Oakland,#CBS"
UCSFEvents,2018-07-06,12:12:11,"As a community, we welcome our newest soon-to-be neighbor of the Warriors family...the newest Curry baby! #UCSFBenioffChildrens #Warriors #GoldenState #newborn #StephCurry... http://www.espn.com/nba/story/_/id/24000256/golden-state-warriors-stephen-curry-welcomes-baby-boy …",3,0,4,True,"#UCSFBenioffChildrens,#Warriors,#GoldenState,#newborn,#StephCurry"
UCSFEvents,2018-07-02,10:59:01,These stories are what we live for here at UCSF Benioff Children's Hospitals! #clinicaltrial #UCSFBenioffChildrens #UCSF #UCSFBenioffChildrensOakland  https://www.facebook.com/ucsfspecialevents/posts/1720860214694723 …,0,0,0,True,"#clinicaltrial,#UCSFBenioffChildrens,#UCSF,#UCSFBenioffChildrensOakland"
UCSFEvents,2018-06-28,11:15:04,Congratulations to the hard working people who make UCSF Benioff Children's Hospitals one of the highest ranking pediatric care centers in multiple specialties!... https://www.ucsfbenioffchildrens.org/news/2018/06/ucsf_benioff_childrens_hospitals_celebrate_top_tier_rankings.html …,10,0,1,True,
UCSFEvents,2018-06-27,10:22:07,Who are you rooting for in the World Cup?? #WorldCup #Soccer,0,1,0,True,"#WorldCup,#Soccer"
UCSFEvents,2018-06-25,18:38:01,Thank you to St John The Baptist Catholic School in Napa for donating these thoughtful care packages that we delivered to UCSF Benioff Children's Hospital Oakland patients today! The nurses and Child Life team...  https://www.facebook.com/ucsfspecialevents/posts/1710313289082749 …,2,0,1,True,
UCSFEvents,2018-06-25,18:35:33,"UCSF Benioff Children's Hospital Oakland thanks St John The Baptist Catholic School kids for the amazing care packages sent over today! The nurses, child life and patients themselves are so grateful!...  https://www.facebook.com/ucsfspecialevents/posts/1710310812416330 …",0,0,0,True,
UCSFEvents,2018-06-25,14:09:01,San Francisco was full of sunshine and love yesterday at PRIDE! #SFPride #UCSF #Loveforall,1,0,0,True,"#SFPride,#UCSF,#Loveforall"
UCSFEvents,2018-06-15,14:37:07,A couple of our future neighbors and their fathers - with an early father's day present! #Warriors #UCSFBenioffChildrens #MissionBay #ChaseCenter #Champions #FathersDay... https://theundefeated.com/features/stephen-curry-klay-thompson-larry-nance-jr-nba-fathers/ …,1,0,0,True,"#Warriors,#UCSFBenioffChildrens,#MissionBay,#ChaseCenter,#Champions,#FathersDay"
UCSFEvents,2018-06-13,14:15:07,Alden was a true hero at the UCSF Benioff Children's Hospital San Francisco last month! #UCSFBenioffChildrens #HanSolo #StarWars #hero #UCSF #Disney #Lucasfilm #Starlight... https://www.thewaltdisneycompany.com/a-star-wars-team-of-heroes-visits-ucsf-benioff-childrens-hospital/ …,3,0,2,True,"#UCSFBenioffChildrens,#HanSolo,#StarWars,#hero,#UCSF,#Disney,#Lucasfilm,#Starlight"
UCSFEvents,2018-06-11,10:39:44,Amazing to see some of our UCSF Benioff Children's Hospital patients graduating!! #UCSFBenioffChildrens #Graduation #UCSF #Transplant  https://www.facebook.com/ucsfspecialevents/posts/1688836311230447 …,0,0,0,True,"#UCSFBenioffChildrens,#Graduation,#UCSF,#Transplant"
UCSFEvents,2018-06-07,10:36:24,Go Warriors! Onto the next one! #Game4 #Warriors #ChaseCenter #BayArea #UCSF,1,0,0,True,"#Game4,#Warriors,#ChaseCenter,#BayArea,#UCSF"
UCSFEvents,2018-06-04,18:31:10,"Today, we say goodbye to a very dear member of our UCSF and San Francisco community... Dwight Clark. Thoughts and prayers go out to his family. #UCSF #UCSFMedicalCenterCelebrityGolfClassic... https://www.sfgate.com/49ers/article/49er-great-Dwight-Clark-dies-at-61-12967034.php …",1,0,0,True,"#UCSF,#UCSFMedicalCenterCelebrityGolfClassic"
UCSFEvents,2018-06-04,17:26:38,Our 2nd Annual Kentucky Derby Party fundraiser showed up in the Party Pages on page 71 of Nob Hill Gazette this month! Here's to boosting awareness and fundraising for UCSF Benioff Children's Hospital San Francisco!...  http://onlinedigitaleditions2.com/nob-hill-gazette/ …,0,0,0,True,
UCSFEvents,2018-05-31,11:12:13,We are rootin' on our Golden State Warriors tonight! #UCSF #ChaseCenter #MissionBay #UCSFBenioffChildrens #GoldenState #Warriors #Playoffs,0,0,0,True,"#UCSF,#ChaseCenter,#MissionBay,#UCSFBenioffChildrens,#GoldenState,#Warriors,#Playoffs"
UCSFEvents,2018-05-16,11:52:30,What an amazing night for UCSF Benioff Children's Hospital Oakland! Thank you to Dave Grohl and family for making the night even more magical! #NotesandWords... https://m.sfgate.com/music/article/Dave-Grohl-Foo-Fighter-Oakland-UCSF-Notes-Words-12911496.php#item-85307-tbla-52 …,2,0,0,True,"#NotesandWords,#item"
UCSFEvents,2018-05-10,14:24:40,This past weekend our Ambassadors for UCSF Benioff Children's Hospital San Francisco held their 2nd Annual Kentucky Derby Party! We are so thankful for all the generosity and compassion shown at this amazing...  https://www.facebook.com/ucsfspecialevents/posts/1656400614474017 …,1,0,0,True,
UCSFEvents,2018-05-06,11:50:59,"Thank you, young Han Solo, for making these kids’ smiles so bright! #UCSFBENIOFFCHILDRENS #starwarsday #specialevents #childlife  https://www.facebook.com/story.php?story_fbid=1652421178205294&id=527155210731902 …",1,0,1,True,"#UCSFBENIOFFCHILDRENS,#starwarsday,#specialevents,#childlife"
UCSFEvents,2018-05-03,15:18:19,"Just like Momo, our therapy dog at UCSF Benioff Children's Hospital San Francisco, we got to hang out with the Star Wars characters while helping with the event yesterday! #UCSFBenioffChildrens #Therapydog #StarWars #Starlight #Disney #Lucasfilm...  https://www.facebook.com/ucsfspecialevents/posts/1649526708494741 …",2,0,1,True,"#UCSFBenioffChildrens,#Therapydog,#StarWars,#Starlight,#Disney,#Lucasfilm"
UCSFEvents,2018-05-03,13:21:34,"We are so excited for this year's Kentucky Derby Party hosted by the Ambassadors of UCSF Benioff Children's Hospital San Francisco! Thank you to our Winner's Circle Sponsors: Hathaway Dinwiddie, Elizabeth...  https://www.facebook.com/ucsfspecialevents/posts/1649452121835533 …",0,0,0,True,
UCSFEvents,2018-04-25,11:49:43,Thank you to Buster & Kristen Posey for visiting the kids at UCSF Benioff Children's Hospital San Francisco! #28 #BP28 #BusterPosey #PoseyFamilyFoundation #UCSFBenioffChildrens #SFGiants #PediatricCancer  https://www.facebook.com/ucsfspecialevents/posts/1641070666007012 …,4,0,1,True,"#28,#BP28,#BusterPosey,#PoseyFamilyFoundation,#UCSFBenioffChildrens,#SFGiants,#PediatricCancer"
UCSFEvents,2018-04-24,16:21:08,We are so proud to help put on this amazing event alongside Child Life Services and the Youth Advisory Committee at UCSF Benioff Children's Hospital San Francisco! #Prom2018 #UCSFBenioffChildrens #UCSFProm #49ers #ChildLife #PromCommittee  https://www.facebook.com/ucsfspecialevents/posts/1640210139426398 …,3,0,0,True,"#Prom2018,#UCSFBenioffChildrens,#UCSFProm,#49ers,#ChildLife,#PromCommittee"
UCSFEvents,2018-04-11,10:45:37,"Our neighbors, the SF Giants, are off to a great start! Let's root them on in their game today too! #SFGiants #UCSF #GoGiants #ATTPark  https://www.sfgate.com/giants/article/Giants-beat-Diamondbacks-on-another-McCutchen-12824039.php … https://www.sfgate.com/giants/article/Giants-beat-Diamondbacks-on-another-McCutchen-12824039.php …",2,0,0,True,"#SFGiants,#UCSF,#GoGiants,#ATTPark"
UCSFEvents,2018-04-03,10:50:34,Spring is in the air and so is prom season! We are so excited to help out the wonderful Child Life team again this year to put on UCSF Benioff Children's Hospital San Francisco's annual Teen Prom in a few short weeks! #UCSFBenioffChildrens #Prom #ChildLife,1,0,0,True,"#UCSFBenioffChildrens,#Prom,#ChildLife"
UCSFEvents,2018-03-26,10:45:29,Thank you to all our donors and supporters of the Glogau Teddy Bear Rescue Fund! You made the 2018 Snuggly Soiree a huge success!! #UCSFBenioffChildrens #GlogauTeddyBearRescueFund #SnugglySoiree,1,0,0,True,"#UCSFBenioffChildrens,#GlogauTeddyBearRescueFund,#SnugglySoiree"
UCSFEvents,2018-03-08,10:44:47,Happy International Women's Day! #UCSF #WomensDay,3,0,1,True,"#UCSF,#WomensDay"
UCSFEvents,2018-03-05,17:16:58,It's almost here! Don't miss out on this amazing night of family fun and a chance to support The Glogau Teddy...  https://fb.me/5fqp2RUSx ,1,0,1,True,
UCSFEvents,2018-02-27,14:41:17,Thank you to Salesforce for coming in as our Big Bear Sponsor for the Snuggly Soiree! #SnugglySoiree #Salesforce...  https://fb.me/Q375NY2d ,2,0,1,True,"#SnugglySoiree,#Salesforce"
UCSFEvents,2018-02-21,11:59:31,We had such a great time last Friday celebrating UCSF Health employees reaching a Service Milestone in 2017!...  https://fb.me/7ob9rBOOz ,0,0,0,True,
UCSFEvents,2018-02-14,11:13:04,Happy Valentine's Day! #UCSFSpecialEvents #UCSFHealth #valentinesday,0,0,0,True,"#UCSFSpecialEvents,#UCSFHealth,#valentinesday"
UCSFEvents,2018-02-05,14:03:03,Join Campus Life Services for some crafting and Valentine's Day activities! Meet a therapy dog and create...  https://fb.me/1Mv7HaG8P ,3,0,3,True,
UCSFEvents,2018-01-31,12:58:04,"Our newest building, the Precision Cancer Medicine Building, was just topped out yesterday! Check out more about... https://fb.me/FbrWBmE1 ",5,0,3,True,
UCSFEvents,2018-01-26,11:05:30,Prepare for Heart Month starting February 1st! Check out the American Heart Association's articles on healthy...  https://fb.me/FDScSgkR ,0,0,0,True,
UCSFEvents,2018-01-22,11:46:05,The Glogau Teddy Bear Rescue Fund's annual Snuggly Soiree is right around the corner! Bring your kids and enjoy...  https://fb.me/7JMmpoaYp ,0,0,1,True,
