username,date,time,tweet,likes,replies,retweets,retweet,hashtags
AlexDresslerMD,2018-07-17,05:53:32,"@MorningBrew For those of you who are very busy and want a quick financial update i suggest joining me by starting your day with Morning Brew, the email covering the latest news from Wall St. to Silicon Valley.  https://www.morningbrew.com/?kid=de6654  via @morningbrew",0,0,0,True,
AlexDresslerMD,2018-07-17,05:30:20,@Medtronic Seems like a great experience! Hopefully I have a chance to do this at some point this year! @medtronic #painmedicine #anest #MedEd #interventionalpain #scs #drgstimulation https://twitter.com/jonhagedornmd/status/1019040357709905922 …,0,1,0,True,"#painmedicine,#anest,#MedEd,#interventionalpain,#scs,#drgstimulation"
DirtyThirtyRN,2018-07-16,12:50:55,How old were you when you found out that the game TAG stands for touch and go? Because I was today years old,4840,241,1495,True,
AlexDresslerMD,2018-07-16,14:51:14,I have used very little Sufentanil in my training (Remifentanil is the predominant short acting opioid used here). What is everyones experience and what are your thoughts on sublingual dosing?#anest #painmedicine https://www.anesthesiologynews.com/Pain-Medicine/Article/07-18/Rapid-Acting-Sublingual-Sufentanil-Effective-for-Short-Duration-Acute-Pain/50073 …,0,0,0,True,"#anest,#painmedicine"
kidspainmd,2018-07-16,12:04:41, http://www.hartfordbusiness.com/article/20180716/PRINTEDITION/307129945/ct-scientists-want-pain-research-to-finally-get-its-due-and-funding …,1,0,1,True,
ASALifeline,2018-07-16,10:30:20,"In 2017, ASA created several resources to guide members through the quality reporting process. Download the 2017 Annual Report to learn more:  http://ht.ly/NhZP30kYcX5  pic.twitter.com/aDgleUTvwt",4,0,1,True,
AlexDresslerMD,2018-07-15,14:20:52,Always great to see more support for the use of multimodal analgesia. #MedEd #PainMedicine #Opioidcrisis #responsibleopioidusePain and Complications After Arthroplasty Controlled Best With Multimodal Analgesia https://www.anesthesiologynews.com/Pain-Medicine/Article/07-18/Pain-and-Complications-After-Arthroplasty-Controlled-Best-With-Multimodal-Analgesia/50067 …,0,0,0,True,"#MedEd,#PainMedicine,#Opioidcrisis,#responsibleopioidusePain"
UPMCAnesRes,2018-07-14,09:52:44,Some of our residents enjoying the sun! #workhardplayhard #anesthesia #upmc #outoftheOR #VitD @_DoctorDoug pic.twitter.com/CZvkDO533u,7,0,3,True,"#workhardplayhard,#anesthesia,#upmc,#outoftheOR,#VitD"
LimGrapes,2018-07-14,13:16:50,"Med shortages are hitting closer and closer to home... EpiPen/and ALL generic formulations cannot be ordered, on and off backorder... Tell this to anyone/ parents of kids with anaphylaxis... Drug shortages prompt FDA to form task force @CNN https://cnn.it/2zzvesQ ",4,0,4,True,
NANS_ION,2018-07-13,09:00:01,"Happy #FeatureFriday! Have you heard about our Neuromodulation for Cancer Pain Medicine pre-conference course happening at the NANS Summer Series this August? Well, now you have! #NYCNANS18  https://neuromodulation.org/Meetings/2018SummerSeries.aspx … pic.twitter.com/pMLeQ9HbiV",8,1,3,True,"#FeatureFriday,#NYCNANS18"
AlexDresslerMD,2018-07-13,12:01:14,We are very excited to have him coming! @UPMCAnesRes @upmc https://twitter.com/emarianomd/status/1017616707743911936 …,5,0,1,True,
AlexDresslerMD,2018-07-13,06:29:14,I am glad this is being addressed/ hope to see a change! #upmcpainmedicine has 8 fellows this year with 3 being female! Not quite half yet but getting closer! Why Aren't There More Female Pain Medicine Physicians? https://journals.lww.com/rapm/Fulltext/2018/07000/Why_Aren_t_There_More_Female_Pain_Medicine.10.aspx …#HeForShe #MedEd #genderequity,3,0,2,True,"#upmcpainmedicine,#HeForShe,#MedEd,#genderequity"
jonhagedornmd,2018-07-12,21:54:19,"We need studies on DRG stim for upper extremity CRPS. Found this case report ( https://www.ncbi.nlm.nih.gov/m/pubmed/25982721/ …), but we can do better. Let’s expand indications and help those patients who are suffering. #neuromodulation #drg",8,0,4,True,"#neuromodulation,#drg"
IntlNeuromod,2018-07-12,17:39:48,PACC Guidelines as a mobile app! https://twitter.com/wileyneuro/status/1017535482853560328 …,8,0,4,True,
AlexDresslerMD,2018-07-12,19:00:33,"My week on Twitter 🎉: 37 Mentions, 179 Mention Reach, 40 Likes, 2 Retweets, 19.9K Retweet Reach. See yours with  https://sumall.com/performancetweet?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=5aa86c19cb0c815c891e2a0a … pic.twitter.com/SgN2rXuYBj",0,0,0,True,
AlexDresslerMD,2018-07-12,18:55:16,Very exciting news from @AbaPhysicians! This will be great for our neurocritical care and our colleagues focused on the care of neurosurgical patients.     http://www.theaba.org/ABOUT/News-Announcements/The-American-Board-of-Anesthesiology-Announces-New … #anest #anesthesiology @ASALifeline @UPMCAnesRes,2,1,1,True,"#anest,#anesthesiology"
DeepaKattail,2018-07-10,07:00:09,"A powerful editorial in @RAPMOnline based on overwhelming evidence of the usefulness & safety of periop #ketamine, & difficulty in expanding its use beyond critical care setting  http://dlvr.it/Qb44zZ  #PedsAnes #PedsPain #opioidepidemic pic.twitter.com/KffhZYZzkV",7,0,8,True,"#ketamine,#PedsAnes,#PedsPain,#opioidepidemic"
AlexDresslerMD,2018-07-12,08:02:37,Our biggest fans this week: @HCSMnews. Thank you! via  https://sumall.com/thankyou?utm_source=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=5aa86c19cb0c815c891e2a0a … pic.twitter.com/QBQjVj1rpO,1,0,2,True,
EMARIANOMD,2018-07-11,15:18:17,"#Anesthesia Deemed Safe for Pediatric #Surgery - ""Physician anesthesiologists have been at the forefront of research on the effects of anesthesia on children and adults and continue to study this important issue” @ASALifeline Pres-Elect Dr Linda Mason https://shar.es/a10Z8O ",18,0,8,True,"#Anesthesia,#Surgery"
AlexDresslerMD,2018-07-11,15:29:05,APPROPRIATE use of opioids is always key! Observing proper indications will keep our patients safe. #opioidcrisis #painmedicine #upmcpainmedicine https://twitter.com/delswickMD/status/1017081759203319808 …,4,1,0,True,"#opioidcrisis,#painmedicine,#upmcpainmedicine"
wileyneuro,2018-07-11,08:15:14,An Observational Case Series of Spinal Cord Stimulation Waveforms Visualized on Intraoperative Neuromonitoring - new article in Neuromodulation @IntlNeuromod https://onlinelibrary.wiley.com/doi/abs/10.1111/ner.12781 … pic.twitter.com/y4P0H7lh7y,9,0,8,True,
JShahMD,2018-07-11,11:41:05,Innovative study by Dr. Steven Falowski incorporating SSEP collision testing and intraoperative EMG monitoring to measure differences between various waveforms and stimulation patterns https://twitter.com/wileyneuro/status/1017034580753354752 …,14,0,5,True,
Richard_Lowes,2018-07-10,04:17:04,#SpinalCordStimulation: Low Frequency vs High Frequency  https://bit.ly/2ul5Ktp  #CRPS #RSD #ChronicPain #spoonie #SCS #neuromodulation #painrelief,4,0,4,True,"#SpinalCordStimulation,#CRPS,#RSD,#ChronicPain,#spoonie,#SCS,#neuromodulation,#painrelief"
