username,date,time,tweet,likes,replies,retweets,retweet,hashtags
RasuShrestha,2018-01-18,14:49:28,"""Taming the Data Beast""The future ahead could look nothing like the past we left behind.Read my latest blog:  http://www.academyhealth.org/blog/2018-01/taming-data-beast … #HDPalooza #HIMSS18 #HCLDR #UPMCinnovates #pinksocks pic.twitter.com/FBDJSnc31o",155,13,93,True,"#HDPalooza,#HIMSS18,#HCLDR,#UPMCinnovates,#pinksocks"
Jon_Ferrara,2018-07-16,09:03:21,Thank you 🙏 for your kind words @RasuShrestha - We are truly on this planet 🌎 to grow our souls by helping others grow theirs. 😘 https://twitter.com/rasushrestha/status/1018374824048152576 …,6,1,3,True,
HIMSS,2018-07-16,09:05:21,[PODCAST] Episode 46: Innovation As a Strategic Imperative  http://ow.ly/hBcj30kEwJZ  @RasuShrestha #Aim2Innovate #HITworks pic.twitter.com/JUbxO5SHh8,5,0,4,True,"#Aim2Innovate,#HITworks"
RasuShrestha,2018-07-16,00:34:07,"""The only thing that I know is that I don't know anything."" -Socrates Wisdom from Athens, #Greece. pic.twitter.com/hG2jb9GHV5 – at Κυδαθηναίων",10,2,5,True,#Greece
RasuShrestha,2018-07-15,01:00:53,"""We are on this planet to be present with people we care about and find ways to add value.""Lots of great insights from @Jon_Ferrara 👇 https://twitter.com/Jon_Ferrara/status/1018147869268893696 …",13,0,6,True,
RasuShrestha,2018-07-14,14:15:29,"""Reality leaves a lot to the imagination."" - John Lennon#inspiration #hcldr pic.twitter.com/67u8cGDEX9",17,1,8,True,"#inspiration,#hcldr"
health2con,2018-07-13,13:05:05,"[#Health2Con] @RasuShrestha will be keynoting the Provider Symposium on Sunday, Sept 16!   http://ow.ly/x41W30kLsBa  pic.twitter.com/Wh1y3Yfmhr",16,0,9,True,#Health2Con
SIIM_Tweets,2018-07-13,12:11:03,Submit your abstracts to #SIIM19! Gain national recognition! #ImagingInformatics!  #SIIM @Slowvak @shadowdoc @pgnagy @asset25 @jwhitfill @IntegratorBrad @rhwiggins @pacsninja @RasuShrestha @alhalabi_ @Jonathanshoe @ChrisRothMD @howardchen @DonKDennison  https://loom.ly/aBSESnE  pic.twitter.com/SFzeP1sX4f,20,0,11,True,"#SIIM19,#ImagingInformatics,#SIIM"
RasuShrestha,2018-07-12,09:47:03,"""The key to immortality is first living a life worth remembering."" - Bruce Lee pic.twitter.com/iW62mFZ6i6",25,0,4,True,
RasuShrestha,2018-07-11,08:44:36,"""A heart without dreams, is like a bird without feathers.""#life #awareness #athens @ Ancient Agora of Athens  https://www.instagram.com/p/BlF-6BhlITx/?utm_source=ig_twitter_share&igshid=6qtp6xj8kq1i …",14,0,5,True,"#life,#awareness,#athens"
