username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MrDanZak,2018-07-15,19:34:13,"We make the children scrub the toilets. We do head counts every 15 minutes. We forcibly inject medication into the misbehaving kids during class.Read to the end, and then sit in your own dumb, damned silence. https://www.nytimes.com/2018/07/14/us/migrant-children-shelters.html …",561,24,624,True,
EricTopol,2018-07-16,10:09:30,Questioning the real on-target specificity of #CRISPR genome editing https://www.nature.com/articles/nbt.4192 … @NatureBiotech@sangerinstitute pic.twitter.com/eMiS5hCBwK,42,3,22,True,#CRISPR
pussyrrriot,2018-07-16,09:10:16,IMPORTANT NEWS! All Pussy Riot members detained yesterday for performing on the World Cup pitch are being conveyed to Khamovnichesky court of Moscow  https://www.facebook.com/wearepussyriot/posts/2120284671561457 … pic.twitter.com/IbIqOLu69U,466,29,384,True,
mathPRb,2018-07-15,19:43:29,"Félix Foutel-Rodier, Amaury Lambert, Emmanuel Schertzer : Exchangeable coalescents, ultrametric spaces, nested interval-partitions: A unifying approach  http://arxiv.org/abs/1807.05165 ",4,0,1,True,
KhaledBeydoun,2018-07-15,11:59:35,"Dear France, Congratulations on winning the #WorldCup. 80% of your team is African, cut out the racism and xenophobia.  50% of your team are Muslims, cut out the Islamophobia.  Africans and Muslims delivered you a second World Cup, now deliver them justice.",511509,5775,211921,True,#WorldCup
qikipedia,2018-07-14,04:00:00,A study found that air conditioners increase the temperature of Phoenix Arizona by 2 degrees C on summer nights.,631,8,104,True,
m_matschiner,2018-07-12,16:56:48,Julie says they still find the small sample artifact. I have my doubts about it but let's see.,2,0,1,True,
Hof_group_news,2018-07-10,17:14:20,A sudden growth in popularity is often used to show that your work is important. Is popular science important science? Not if you use this kind of slide to say it is. #scicomm pic.twitter.com/1pOVqPvu9X,446,13,277,True,#scicomm
seansrussiablog,2018-07-12,11:14:43,The eternal return. The Soviet humor magazine Krokodil from the 1960s showing the US wringing it's NATO partners for more money for the American military industrial complex. pic.twitter.com/fffEHx9Q90,1044,27,712,True,
bjenquist,2018-07-12,11:47:46,Sadly this is becoming more common “Be scholarly. Read the literature. These results/conclusions/methods have already be published in/by X “This has become the standard statement in about 75% of my reviews now. As a scientist I want to know how does your work advance our field https://twitter.com/69kno/status/1017442108972654593 …,10,3,4,True,
amaury_upmc,2018-07-12,12:06:41,Groups Call for Attention to Scientists' Warning on Population https://www.prnewswire.com/news-releases/groups-call-for-attention-to-scientists-warning-on-population-300677063.html …,0,0,0,True,
GeologyTime,2018-06-27,08:47:23,"Uintacrinus socialis, Crinoids, sea lilies or feather-stars, fossils embedded in a limestone matrix, Cretaceous age (144 to 65 million years ago), photo: Chip Clark pic.twitter.com/yKtEcWmfMo",194,5,74,True,
amaury_upmc,2018-07-12,03:56:52, https://www.popsci.com/how-to-stop-climate-change … 1. Having fewer children2. Living without a car3. Avoiding transatlantic flights4. Eating a plant-based (mostly vegetarian) diet.,1,0,0,True,
henrikenderlein,2018-07-11,15:37:16,Brexić.,3533,17,907,True,
petrelharp,2018-07-09,15:46:35,I've been looking forward to this for a while! https://twitter.com/halasadi89/status/1016420141855313922 …,15,1,7,True,
amaury_upmc,2018-07-10,06:26:14,"Heard in the corridor: ""le coq va manger des frites"" (the rooster is going to eat fries) #FRABEL",1,0,0,True,#FRABEL
amaury_upmc,2018-07-10,05:04:08,"Ross Macphee advocating for paleoproteomics, fascinating applications to extinct ungulates and sloths #FossilWeek #ipc5 pic.twitter.com/0Wn2kf2qVY",1,0,0,True,"#FossilWeek,#ipc5"
drewconway,2018-06-22,07:29:28,Who made this? 👏🏻...👏🏻...👏🏻 pic.twitter.com/TgTiYBpMMy,24200,171,10834,True,
erinbiba,2018-07-09,12:19:19,"I keep seeing: ""oh just let climate change kill us all because we deserve it for what we've done."" But climate change won't kill rich priveleged people. It will kill the poor, it will kill minorities, and it will kill people who don't have $ or representation to save themselves.",127,2,43,True,
Melusine_2,2018-07-09,08:56:24,"Avec le 6e PIB du monde pour 67 millions d’habitants, je peux vous dire que la gâteau, il a plusieurs étages, du glaçage, des meringues et des petites framboises bio. https://twitter.com/fredericsays/status/1016312193325981698 …",3991,64,2316,True,
amaury_upmc,2018-07-09,05:41:18,@PlayersTribune @RomeluLukaku9 Via @TPT_Global : Read this testimony of @romelulukaku9 's childhood. The dignity and determination of a child living in poverty.  https://www.theplayerstribune.com/en-us/videos/romelu-lukaku-ive-got-some-things-to-say … via @playerstribune,0,0,0,True,
aleszubajak,2018-07-08,03:21:47,"""The way pesticides are regulated in Europe is a joke. And a bad one because we're paying the price."" – @mpceo at #ECSJ2018",11,0,4,True,#ECSJ2018
