username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PittEMSDocs,2018-07-23,14:41:08,Reduced mortality from OHCA with transport to a cardiac arrest receiving center. https://www.annemergmed.com/article/S0196-0644(18)30455-4/abstract …,0,0,0,True,
PECpodcast,2018-05-22,12:01:13,@JerEscajeda @PDPMedic EMS Week Safety Tuesday Ep is here! We pull our fatigue podcast from the archives with @PDPmedic @jerescajeda and YOU our paramedics around the nation @NAEMSP @NAEMT @PEMEMS @EMS_Boston.  Download and enjoy today! #FOAMEMS #EMSWEEK #EMSstrong  http://pecpodcast.libsyn.com/prehospital-emergency-care-podcast-18?tdest_id=384371 …,7,0,11,True,"#FOAMEMS,#EMSWEEK,#EMSstrong"
EMSGuidelines,2018-04-16,13:08:49,"Simon Taxel, NREMT-P, provides paramedic perspective on civilian naloxone administration:  https://buff.ly/2Hv4uwn . A needed EBG on naloxone administration in progress - more to come from @NASEMSO @EmergencyDocs @NAEMSP pic.twitter.com/KVt9Qu2U5u",3,0,3,True,
PittEMSDocs,2018-04-13,18:08:51,New Report from The National Center on Addiction and Substance Abuse https://www.centeronaddiction.org/newsroom/press-releases/new-report-national-center-addiction-and-substance-abuse-reveals-nation …,1,0,0,True,
JerEscajeda,2018-04-05,09:41:52,"Mark your calendars NAEMSP’s #twitterjc #naemspjc @NAEMSP @PECpodcast coming up...April 17th, 11am-12pmDiscussing EMS leaving the profession and intent to return recent #PEC publication. From our friends @NREMT Stand by for formal announcement #medtwitter #ems #foamems pic.twitter.com/Gi6uIbUrl5",9,3,10,True,"#twitterjc,#naemspjc,#PEC,#medtwitter,#ems,#foamems"
PittEMSDocs,2018-03-26,04:42:03,New study on lactate in trauma patients from our partner @Guyettef and colleagues. Lactate is predictive of need for resuscitative care in non-hypotensive trauma patients. Still need a point of care lactate meter back on market.  https://www.ncbi.nlm.nih.gov/m/pubmed/29560047/ …,10,0,7,True,
EMSUpdate2018,2018-03-23,07:39:38,Come welcome today’s keynote speaker @MJHoltz back to Pittsburgh as he talks about Lessons Learned from the Las Vegas mass shooting starting in the Grand Ballroom right NOW! pic.twitter.com/DWX6n7t1Uw,7,0,2,True,
EMSUpdate2018,2018-03-23,14:40:18,Dr Frank Guyette @EMSUpdate2018 with a standing room audience listening to his presentation on airway management. Still time to get to Seven Springs and register for con-ed classes. #emsupdate pic.twitter.com/IMbwl1EjmT,3,0,2,True,#emsupdate
EMSUpdate2018,2018-03-23,14:46:18,"Dr. Paul Paris, our regional medical director, discussing Ketamine and other analgesia treatments available for EMS to treat patients. This guy knows his stuff! #emsupdate pic.twitter.com/2v5tD71XUZ",8,0,3,True,#emsupdate
HagahmedMD,2018-03-23,20:53:11,So pumped to present tomorrow at #EMSUpdate2018. Join me for a fun and interactive hour starting at 1030. pic.twitter.com/qOPWgOoOoU,11,0,2,True,#EMSUpdate2018
EMSUpdate2018,2018-03-24,09:37:45,What’s going on? @JerEscajeda is teaching us about the pitfalls and best practices in treating heat and cold related emergencies #EMSUpdate2018 pic.twitter.com/GwS9omPvRQ,7,0,3,True,#EMSUpdate2018
JerEscajeda,2018-03-24,10:50:29,Woah power couple. Now Dr. Ron Roth @rothrn on Lessons Learned from Back to Back Stanley Cup Celebrations @EMSUpdate2018 @PittsburghDaily @PittTweet @penguins @PghPublicSafety @PghEMS @PittEMSDocs @UPMCnews @upmcem #EMSUpdate2018 #icanthaveafavoritedrroth pic.twitter.com/cKrWn8uOMM,7,0,4,True,"#EMSUpdate2018,#icanthaveafavoritedrroth"
EMSUpdate2018,2018-03-24,12:54:45,Preventing secondary injury to patients with TBI - presented by our regional medical director Dr Rick Wadas. Another great lecture @EMSUpdate2018 #emsupdate pic.twitter.com/xDluZrulIo,3,0,1,True,#emsupdate
