username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UPMC,2018-07-24,16:00:15,Take some time for yourself today and relax with some essential oils. #InternationalSelfCareDay https://upmc.me/2Oiv0K6 ,0,0,0,True,#InternationalSelfCareDay
OddPittsburgh,2018-07-24,14:50:20,"Welder Jim Marks of West Mifflin works high up on the top corner of the U. S. Steel Tower in #Pittsburgh on June 14, 1970.(Edward Frank/Post-Gazette) pic.twitter.com/5egL2Sh9HA",60,3,17,True,#Pittsburgh
COREDonateLife,2018-07-24,11:13:00,"@TransplantGames Honoring the life and legacy of her late husband, transplant pioneer Thomas Starzl, Joy Starzl created a quilt square of Thomas to be displayed at the @transplantgames Quilt Pinning…  https://www.instagram.com/p/BlnuLFwAcjg/?utm_source=ig_twitter_share&igshid=whtqanj0tb8b …",0,0,2,True,
UPMC,2018-07-24,10:55:19,"The first step in surviving a #heartattack is being able to identify the symptoms so you can quickly seek help. If you think you are experiencing a heart attack, call 911 right away. https://upmc.me/2v2Qt0u ",3,1,1,True,#heartattack
UPMC,2018-07-24,08:20:38,Get the most out of your workout. #TuesdayMotivation https://share.upmc.com/2018/06/treadmill-workout-tips/ …,2,0,0,True,#TuesdayMotivation
AllofUsPA,2018-07-23,14:35:06,Menopause can be a difficult and uncomfortable time for women ages 45-55. Learn what you can do to lessen the adverse effects of menopause here:  https://goo.gl/QJuMUB  #WomensHealth pic.twitter.com/X1ThTyCsrh,3,0,3,True,#WomensHealth
UPMCCareers,2018-07-23,11:00:05,Got the interview jitters? Hear from our recruiters on application and interview tips!  http://bit.ly/2LKr56T  pic.twitter.com/IEEFydOTLP,1,0,2,True,
UPMC,2018-07-23,13:00:35,Ever wonder how your favorite song has the power to make you feel better when you're down?  https://upmc.me/2LEYHDq  #MusicMonday,5,0,1,True,#MusicMonday
UPMCnews,2018-07-23,10:37:05,Sue Mascia has sewn bags for patients in the inpatient rehabilitation unit at UPMC Passavant for the past four years. The bags are meant for patients who need to use a walker but also want to take items like phones and books with them.  https://upmc.me/2Li6dHZ  pic.twitter.com/2XJ0nWeKHI,16,1,5,True,
UPMC,2018-07-23,10:35:47,Did the weekend mess up your sleep schedule? Get back on track with these tips. pic.twitter.com/46KdoVgogR,4,0,0,True,
