username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UPMCCareers,2018-06-28,16:14:48,"Are you a nurse in the Altoona region? We are excited to offer sign-on bonuses up to $10,000 for eligible full-time and part-time nursing positions in the area. Learn more at  http://careers.upmc.com/pages/nursing  pic.twitter.com/kph1wxQ6a1",1,0,0,True,
UPMCnews,2018-07-23,10:37:05,Sue Mascia has sewn bags for patients in the inpatient rehabilitation unit at UPMC Passavant for the past four years. The bags are meant for patients who need to use a walker but also want to take items like phones and books with them.  https://upmc.me/2Li6dHZ  pic.twitter.com/2XJ0nWeKHI,16,1,5,True,
UPMCCareers,2018-07-23,11:00:05,Got the interview jitters? Hear from our recruiters on application and interview tips!  http://bit.ly/2LKr56T  pic.twitter.com/IEEFydOTLP,1,0,2,True,
UPMCCareers,2018-07-20,11:10:37,"Congratulations, Lynne! https://twitter.com/ChildrensPgh/status/1020294180898246656 …",2,0,0,True,
UPMCCareers,2018-07-20,11:10:00,"Would you like to stay up-to-date with UPMC's career fairs and networking events? You can on our #UPMCHappenings page! We're always adding new events, so keep checking back!",0,0,0,True,#UPMCHappenings
UPMCpolicy,2018-07-20,09:23:14,"@HealthLeaders Tal Heppenstall, president of @UPMCEnterprises, joined @imjackobrien to discuss value-based care, #HealthIT, and how UPMC turned innovation into an enterprise.More from @healthleaders:  https://www.healthleadersmedia.com/innovation/how-upmc-turned-innovation-enterprise … pic.twitter.com/qSuyDv6XFy",6,0,7,True,#HealthIT
UPMC_Pinnacle,2018-07-20,10:53:36,The UPMC Pinnacle team is having a blast at the United Way Trike Race! All proceeds benefit the @UnitedWayCapReg! pic.twitter.com/kkFaAiwuRI,7,0,1,True,
UPMCCareers,2018-07-18,11:00:08,"There's more than one kind of S.W.A.T. team! UPMC's S.W.A.T. nurses circulate among various locations, stepping in where they're needed. Do you think S.W.A.T. nursing could be the right career path for you?  http://bit.ly/2LgvstH  pic.twitter.com/95dtn7skI4",0,0,2,True,
UPMCEnterprises,2018-07-18,08:01:38,We are looking for a Sr Software Engineer to work within the full #SDLC and have mastery of all areas within it. This person will be tasked with leading the orchestration of the overall system #design. #jobs #werehiring  http://ow.ly/W2Tn30kYcj9 ,0,0,2,True,"#SDLC,#design,#jobs,#werehiring"
ChildrensPgh,2018-07-17,12:42:31,"Today, UPMC Children’s Hospital of Pittsburgh unveils Matt’s Maker Space, a new space specifically designed for Maker and STEAM (science, technology, engineering, arts and mathematics)-related programming. pic.twitter.com/ChhBoAdgFz",40,0,15,True,
UPMCCareers,2018-07-16,17:30:00,"Do you have strong customer service and organizational skills?  Are you looking for a career that offers plenty of room for growth? If so, join us on Tuesday, July 24 at the UPMC Health Plan Erie Career Fair! #UPMCHappenings",2,0,3,True,#UPMCHappenings
UPMCnews,2018-07-14,17:02:05,UPMC Chief Nurse Executive Holly Lorenz discusses what Pittsburgh is doing to avoid a possible nursing shortage.  https://upmc.me/2uzYcTx  via @WPXI pic.twitter.com/LO1iWp1fuv,10,0,4,True,
UPMCnews,2018-07-12,10:37:06,"It sounds like science fiction, but researchers @McGowanRM are growing actual human muscle in their labs. Learn more.  https://upmc.me/2mdV1gT  #UPMCinnovates #H2P pic.twitter.com/cofYb2PE96",2,0,3,True,"#UPMCinnovates,#H2P"
UPMC_Pinnacle,2018-07-11,17:56:02,"Congratulations to Brigite, RN, our May DAISY Award recipient. Brigite, who works on the 4th floor at UPMC Pinnacle West Shore, was recognized by a co-worker. Thank you Brigite for all that you do for our patients and their families! Read her nomination at  http://bit.ly/2LamsTE  pic.twitter.com/QjXdQ24fZo",8,0,2,True,
UPMCCareers,2018-07-12,10:09:00,Make your mark at UPMC! Discover the career events that could help you get your foot in the door on our #UPMCHappenings page!,0,0,0,True,#UPMCHappenings
UPMCEnterprises,2018-07-12,06:30:21,We're hiring a lead #designer to be responsible for full product design of the latest innovations coming out of @UPMCEnterprises. Learn how #UPMCInnovates - apply now:  http://ow.ly/c87w30kLCiJ  pic.twitter.com/hydRO0dKmi,9,0,5,True,"#designer,#UPMCInnovates"
VibrantBurgh,2018-07-09,12:16:00,"Don't miss the UPMC Human Resources Networking event, where managers from all areas of HR will be available to chat with you about exciting HR opportunities at @UPMCCareers https://buff.ly/2m1Q2j7 ",2,0,3,True,
UPMCCareers,2018-07-11,11:00:08,Looking to get in a little more exercise this summer? Would you ever consider biking to work?  http://bit.ly/2m8fUd7  pic.twitter.com/udHTkiin4t,0,0,0,True,
UPMC,2018-07-09,10:44:18,Learn more about Noelle's life changing story. #UPMCLifeChangers  https://upmc.me/2tYEgJQ  pic.twitter.com/VNBnfimBU7,3,0,1,True,#UPMCLifeChangers
ImaginePgh,2018-07-04,13:04:01,"""Pittsburgh is growing. It's rising reputation as a technology hub is creating tons of great jobs. It is a great place to work and I am proud to work for UPMC and call Pittsburgh home."" Read more about her #PGH story:  http://bit.ly/ChristalMorris  @UPMC @UPMCCareers pic.twitter.com/ighWzfGnoU",2,0,2,True,#PGH
ImaginePgh,2018-07-06,10:05:01,"""It is a beautiful city. I love the topography -- the bridges and the rivers. I am proud to call Pittsburgh home."" Read more about Cristal's #PGH story: http://bit.ly/ChristalMorris  @UPMC @UPMCCareers @vstpgh #LovePGH #MightyBeautiful pic.twitter.com/OURnP1fjYW",3,0,4,True,"#PGH,#LovePGH,#MightyBeautiful"
UPMCCareers,2018-07-05,11:23:00,Make it happen! Check out our #UPMCHappenings page for a list of career events that could open a new door for you!,0,0,0,True,#UPMCHappenings
UPMCCareers,2018-07-04,11:00:05,Have a happy and safe #FourthofJuly! #IndependenceDay pic.twitter.com/45uHorpGSS,0,0,0,True,"#FourthofJuly,#IndependenceDay"
UPMCCareers,2018-07-03,13:10:20,"Are you looking for a new opportunity? Do you have a passion for caring for those in need? Join us for the Nursing Interview Event at Western Psychiatric Institute and Clinic of UPMC on Monday, July 16th. Learn more:  https://bit.ly/2MKJsch  pic.twitter.com/cXinDAsgKB",0,0,0,True,
UPMCCareers,2018-07-02,11:00:09,Do you see a nursing career as a clinical research coordinator in your future? Find out what it takes from these UPMC CRCs. http://bit.ly/2MHUNtg  pic.twitter.com/irqpgWA147,0,0,0,True,
UPMCCareers,2018-06-28,10:03:00,Wondering if there's a UPMC career event in your field happening soon? Take a look a the #UPMCHappenings page to see all our upcoming events!,0,0,0,True,#UPMCHappenings
UPMCCareers,2018-06-27,11:00:09,"My oncology experience gave me a greater sense of compassion for all humankind, and I am grateful. - Susan, #UPMCLifelongLifeChanger  http://bit.ly/2yPyjEW  pic.twitter.com/peIiunAUyi",2,0,2,True,#UPMCLifelongLifeChanger
WPXI_Courtney,2018-06-26,13:11:40,"DNA genome sequencing machines!Super interesting, behind-the-scenes stuff today @UPMCMore info 4 patients & doctors 4 better treatments! pic.twitter.com/udmRaOA32w",27,4,9,True,
UPMCEnterprises,2018-06-27,08:55:06,Meet Mac! He is a year and a half old Golden Retriever who works in K-9 Acquisition #doggiedays #puppies http://ow.ly/ebaU30kF1pd ,1,0,1,True,"#doggiedays,#puppies"
UPMCCareers,2018-06-26,11:00:02,Join us at our #AllAccessDay for College Students on July 13! Our recruiters will give you the inside scoop on all the opportunities for students in both clinical and non-clinical fields.  https://www.surveymonkey.com/r/UPMCAllAccess ,0,0,0,True,#AllAccessDay
UPMCCareers,2018-06-26,11:00:01,Want to learn more about the opportunities in HR at UPMC? Join us on July 19 at the UPMC Human Resources Networking event! Managers from all areas of HR will be available to chat with you! #UPMCHappenings,1,0,0,True,#UPMCHappenings
UPMCCareers,2018-06-26,07:00:10,Just a few more days left to apply to qualify for our sign-on bonus offer for histotechnologists and cytotechnologists! Take a look at the opportunities!  http://bit.ly/2KpkVfd  pic.twitter.com/u0FwnfY19p,0,0,1,True,
UPMCEnterprises,2018-06-20,07:25:04,Meet our Summer Associates - Class of 2018! #summer #interns #UPMCInnovates http://ow.ly/rPs530kxRyl ,8,0,4,True,"#summer,#interns,#UPMCInnovates"
ChildrensPgh,2018-06-21,15:40:18,Our Patient Champions tell us why they are walking this Saturday at #WalkforChildrens! Join them and many others by registering at  http://walkforchildrens.com  pic.twitter.com/Enr8b0UZOT,20,0,7,True,#WalkforChildrens
UPMCCareers,2018-06-21,11:31:00,Take a look at what's coming up! Our UPMC Happenings page is where you can find all our upcoming #careerfairs and #networking events.,1,0,0,True,"#careerfairs,#networking"
UPMCCareers,2018-06-20,11:05:21,"During Deborah's 44 years at UPMC, we went through a lot of changes, like the transition from paper to electronic records. Deborah learned and adapted right along with us! #UPMCLifelongLifeChanger  http://bit.ly/2JVUdva  pic.twitter.com/QsoyNd219E",0,0,1,True,#UPMCLifelongLifeChanger
UPMCCareers,2018-06-19,10:35:00,"Don't miss the Second Annual #UPMCAPPInnovationExpo! We'll be covering a range of topics, from advancing your career to pain management. And you'll get to participate in a #careerfair with our hiring managers! #UPMCHappenings",0,0,0,True,"#UPMCAPPInnovationExpo,#careerfair,#UPMCHappenings"
CityofEriePA,2018-06-18,11:08:41,"@UPMC UPMC introducing their new AURIS Monarch Platform. This technology helps to diagnose lung cancer in the early stages, earlier than any other technique. @upmc is the first in the country to have this advanced technology. pic.twitter.com/xCHehN9P01",35,0,12,True,
UPMCnews,2018-06-18,11:27:04,"UPMC Hamot is the first hospital in the U.S. to use a new, innovative robotic technology to detect lung cancer earlier. Learn more.  http://bit.ly/upmc_bronch  #UPMCinnovates pic.twitter.com/nNivk7GtX4",7,0,4,True,#UPMCinnovates
UPMCCareers,2018-06-18,11:00:00,"Join us at our #CareManagement Networking Event to explore exciting opportunities at UPMC. Meet our recruiters and hiring managers, network with professional care managers at UPMC hospitals, and enjoy refreshments on us! #UPMCHappenings",0,0,0,True,"#CareManagement,#UPMCHappenings"
UPMCCareers,2018-06-15,10:15:31,"Our UPMC #APPInnovationExpo is back by popular demand! This year, hear from APP experts during several educational sessions, participate in a career fair, and enjoy great food and networking!",0,0,0,True,#APPInnovationExpo
UPMCCareers,2018-06-14,11:00:15,Today we'd like to thank our nursing assistants for all their hard work and dedication to caring for others and changing lives. #NursingAssistantsWeek pic.twitter.com/Rtn7vscDRf,2,0,3,True,#NursingAssistantsWeek
GMA,2018-06-14,08:30:00,These nurses at @UPMCnews sing to patients and staff to cheer them up in music therapy program ❤️  https://gma.abc/2lacy8Q  pic.twitter.com/iXglbNW6yK,92,3,32,True,
UPMCCareers,2018-06-13,11:00:09,"Like mother like daughter! Kristi's mom suggested she work at Children's Hospital of UPMC while attending college, and Kristi loved it so much she never left — just like her mom! #UPMCLifelongLifeChanger  http://bit.ly/2LO8CpM  pic.twitter.com/qTS4Y3lgkl",3,0,3,True,#UPMCLifelongLifeChanger
UPMCEnterprises,2018-06-12,10:55:10,"Meet one of our remote employees, Cooper! #Pets #DoggieDays #Bringyourdogtowork http://ow.ly/xYbO30ki2L0 ",1,0,1,True,"#Pets,#DoggieDays,#Bringyourdogtowork"
UPMCCareers,2018-06-12,11:00:08,"For a limited time, we're offering sign-on bonuses up to $12,500 for full-time histotechnologists and cytotechnologists. Look for the $ sign for opportunities with sign-on bonuses, and apply by the end of this month to qualify!  http://bit.ly/2HHbZfT  pic.twitter.com/IVS2BQL9Bx",0,0,0,True,
UPMCCareers,2018-06-11,17:30:01,@BREWERIE Our APP Networking Night is coming up in just a few days! Join us at @brewerie at Union Station to meet with recruiters and hiring managers! #careerfair #networking,0,0,0,True,"#careerfair,#networking"
UPMCEnterprises,2018-06-11,08:15:12,"We are looking for a Sr Software Test Engineer to take ownership of testing strategy, including planning, designing, and executing of tests in an Agile/SCRUM based software dev. model. Apply Now:  http://ow.ly/HCoD30ki1bu  pic.twitter.com/Jepsubdykz",5,0,3,True,
UPMCCareers,2018-06-10,15:36:36,We had a great time marching out there today! Thanks to all the UPMC employees who participated. Happy Pride! #PittsburghPride2018 #BElieveinYOUrself #BeYouUPMC pic.twitter.com/Se7CvWon63,16,0,2,True,"#PittsburghPride2018,#BElieveinYOUrself,#BeYouUPMC"
ChildrensPgh,2018-06-10,13:02:38,Children’s Hospital is supporting Health Care Equality for All. #PittsburghPride2018 pic.twitter.com/KgD9nLrST0,26,0,1,True,#PittsburghPride2018
UPMC,2018-06-10,10:35:15,Today is the day! UPMC employees rally together at #PittsburghPride2018 #BElieveinYOUrself pic.twitter.com/IX9LnDVOxm,16,0,3,True,"#PittsburghPride2018,#BElieveinYOUrself"
UPMCCareers,2018-06-10,10:25:10,We’re all showing our colors and letting our flags fly! #PittsburghPride2018 #rainbow #BeYou pic.twitter.com/oLOgZGoEXN,6,0,2,True,"#PittsburghPride2018,#rainbow,#BeYou"
UPMCCareers,2018-06-10,10:14:49,We’re getting ready to march in the #PittsburghPride2018 EQT Equality March! #BeYou pic.twitter.com/9bWcJzxCIj,13,0,3,True,"#PittsburghPride2018,#BeYou"
UPMCpolicy,2018-06-07,11:00:00,"UPMC believes that each patient, employee, and @UPMCHealthPlan member should feel comfortable and at home when seeking care. Our engagement with #PittsburghPride2018 and @deltafoundation signifies our commitment to pursuing inclusion for all. #PrideMonth #Pride2018 pic.twitter.com/JslZyaAEOe",10,0,8,True,"#PittsburghPride2018,#PrideMonth,#Pride2018"
UPMC,2018-06-08,10:30:11,"""Diversity is how we achieve our mission and how we grow our business. We remain steadfast in our resolve to enhance equitable health care in those communities we are so privileged to serve.”  https://upmc.me/2HzTJoq  #PittsburghPride2018 #PrideMonth",268,15,45,True,"#PittsburghPride2018,#PrideMonth"
UPMCCareers,2018-06-08,07:24:08,"Our UPMC #APPInnovationExpo is back by popular demand! This year, hear from APP experts during several educational sessions, participate in a #careerfair, and enjoy great food and networking!",0,0,0,True,"#APPInnovationExpo,#careerfair"
UPMCCareers,2018-06-07,11:00:01,Summer is a time for fresh starts! See what's on the horizon at UPMC on the UPMC Happenings page! #careerfair,0,0,0,True,#careerfair
UPMC,2018-06-07,10:52:37,"Kind, caring, compassionate. That's Clyde. #UPMCLifeChangers pic.twitter.com/QZ4LU8r5CS",2,0,1,True,#UPMCLifeChangers
ImaginePgh,2018-06-07,07:00:12,ATTN NURSES! @UPMC is looking for a CRNA for their UPMC Presbyterian location. Apply here:  https://imaginepittsburgh.com/job/?id=2084178  @UPMCCareers pic.twitter.com/xToXaf1bYa,1,0,2,True,
UPMCCareers,2018-06-06,11:00:07,"""I had to learn what it means to earn the trust and respect of my patients and how to deal with stress and loss."" - Georgia Colangelo, #UPMCLifeLongLifeChanger  http://bit.ly/2LrFpRd  pic.twitter.com/3ZlJdusUXL",0,1,0,True,#UPMCLifeLongLifeChanger
UPMC_Pinnacle,2018-06-04,17:53:07,UPMC Pinnacle employees at Polyclinic enjoyed the annual picnic. Thank you for all that you do for our patients and their families! pic.twitter.com/38eC35zapH,6,0,1,True,
UPMCCareers,2018-06-05,11:00:00,"Join us on Friday at our #AllAccessDay for College Students! It's a great way to network with recruiters, get application tips, and learn all about working at UPMC and UPMC Enterprises!",1,0,0,True,#AllAccessDay
UPMCCareers,2018-06-05,10:13:24,Want to learn more about working at @UPMCEnterprises ? Ask a product manager anything! https://twitter.com/UPMCEnterprises/status/1003622638005182464 …,1,0,0,True,
steelers,2018-06-04,15:22:02,Our rookies spent some time with some of our biggest fans at @ChildrensPgh. pic.twitter.com/HZM71Y4Ckx,832,7,157,True,
UPMCCareers,2018-06-04,17:30:09,"Nurses, join us on Wednesday at @parkinn in Sharon from 12 to 5 to meet with hiring managers and enter to win an Apple Watch! #careerfair #networking  http://bit.ly/2JoW36K  pic.twitter.com/aLaFqM0QFX",0,0,0,True,"#careerfair,#networking"
UPMCCareers,2018-06-03,11:00:10,"Today we celebrate those who have fought and won their battles against cancer. We're taking a look back at a story about our UPMC Hillman Cancer Center volunteers, many of whom are cancer survivors, who are paying it forward. #NationalCancerSurvivorsDay.  http://bit.ly/2LXb7Hk  pic.twitter.com/d76BAZ6jil",9,0,5,True,#NationalCancerSurvivorsDay
UPMCCareers,2018-06-01,17:00:11,"For a limited time, we're offering sign-on bonuses up to $12,500 for full-time histotechnologists and cytotechnologists. Learn more and apply by the end of this month to qualify!  http://bit.ly/2LaWezR  pic.twitter.com/PRidb3esRI",0,0,0,True,
UPMCEnterprises,2018-05-30,09:05:08,"Interested in #ProductManagement? Join our very own @KristaKrebs in an #AMA on June 5th hosted by @productschool. Go ahead, ask her anything!Get tickets today: http://ow.ly/BRWy30keoa7 ",7,0,4,True,"#ProductManagement,#AMA"
UPMCnews,2018-05-30,17:11:05,WATCH. UMPC Hamot recently hosted its annual luncheon to thank first responders.  http://bit.ly/upmc_firstr  via @JET24FOX66 pic.twitter.com/LASLxMJZAK,4,0,3,True,
UPMCCareers,2018-05-30,12:06:01,"We were proud to be the first featured employer at @eCenterLP's #CollegeConnector Day, connecting students and grads with local employers! Would you like to know more about careers at UPMC? We also host All Access Days every month!  https://www.surveymonkey.com/r/UPMCAllAccess  https://twitter.com/RasuShrestha/status/1000096222701608961 …",2,0,1,True,#CollegeConnector
UPMCCareers,2018-05-30,11:00:07,"A lot can happen in 40 years, and for Helen Fries, many of life's milestones have happened at UPMC. #UPMCLifelongLifeChanger  http://bit.ly/2ss8Jza  pic.twitter.com/NILMz4W1HN",1,0,0,True,#UPMCLifelongLifeChanger
UPMCCareers,2018-05-30,09:56:00,@TheBrewerie Are you an APP in the Erie area looking for your next career move? Join us at our APP Networking Night at @thebrewerie!,0,0,0,True,
UPMCCareers,2018-05-29,12:18:20,Are you interested in working at the front desk in one of our emergency departments? You could be perfect for one of our patient access representative or patient services representative positions! Learn more about open positions here:  http://bit.ly/2soJFZM  pic.twitter.com/29oEsCQHQG,1,0,1,True,
UPMCCareers,2018-05-24,13:47:06,"The cookies are holding strong and so is our team. We’re hanging out here for a few more hours and can’t wait to meet you! Come chat with us, network with managers, and enter for your chance to win an iPad.  http://bit.ly/2kieWtV  pic.twitter.com/V5npgujgWz",0,0,0,True,
UPMCCareers,2018-05-24,10:49:38,We have live career workshops happening throughout the day. Want your chance to hear from leaders in the region? Stop by the UPMC Insurance Services Division Spring #CareerFair. We’re here until 7 p.m. pic.twitter.com/t17NOflm7e – at Pittsburgh Marriott City Center,0,0,0,True,#CareerFair
