username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UPMCEnterprises,2018-07-24,11:45:05,"This week we are highlighting the newest #FeaturedPet of @UPMCEnterprises: Cocoa! She is a liver nose Rhodesian Ridgeback, never heard of this breed? Learn all about her on our blog: http://ow.ly/TZy830l6b7C ",5,0,1,True,#FeaturedPet
IHAConvene,2018-07-20,13:14:45,Excellent article about how @UPMCEnterprises turned innovation into a healthcare enterprise....#hcldr #Payers #providers #technology https://twitter.com/UPMCpolicy/status/1020313186946383873 …,2,0,3,True,"#hcldr,#Payers,#providers,#technology"
PghBizTimes,2018-07-20,14:12:46,".@UPMCEnterprises to expand at @BakerySquarePgh, via @PBT_Tim: http://bizj.us/1pnr3o ",0,0,1,True,
UPMCEnterprises,2018-07-20,13:57:25,How @UPMC Turned Innovation Into an Enterprise via @HealthLeaders #UPMCInnovates  http://ow.ly/aZQP30l35LQ ,2,0,0,True,#UPMCInnovates
UPMCEnterprises,2018-07-20,07:05:06,"Hear from @CuraviHealth's CEO, Alissa Meade, on how she took a action to seize opportunity and how to balance her role as a leader.#WomeninHIT http://ow.ly/VsfH30kYe0S ",5,0,4,True,#WomeninHIT
UPMCEnterprises,2018-07-19,07:01:11,"Read what Robin Hill, Chief Clinical Officer @VivifyHealth, had to say on the newest CPT Code for #remotemonitoring and #telehealth http://ow.ly/znWf30kYdQj ",0,0,1,True,"#remotemonitoring,#telehealth"
UPMCEnterprises,2018-07-18,10:35:05,"""Transforming Health Care from the Ground Up"" via @HarvardBiz http://ow.ly/8UI130kZrSy ",0,0,0,True,
UPMCEnterprises,2018-07-18,08:01:38,We are looking for a Sr Software Engineer to work within the full #SDLC and have mastery of all areas within it. This person will be tasked with leading the orchestration of the overall system #design. #jobs #werehiring  http://ow.ly/W2Tn30kYcj9 ,0,0,2,True,"#SDLC,#design,#jobs,#werehiring"
UPMCEnterprises,2018-07-17,13:20:17,"Tomorrow night join @UPMCEnterprises Scrum Master, Ed Wiancko, at the @PittAgile #Meetup! Discussing ""Collaborative Release Planning with Large and Small Teams"" #PittAgile  http://ow.ly/RP8U30kZqnI  pic.twitter.com/U8CH8IAeRr",0,0,0,True,"#Meetup,#PittAgile"
UPMCEnterprises,2018-07-17,07:40:05,"Our first FLIGHT event was a success and we're already looking forward to our next in September. To tide you over until then, check out a few bonus questions with panelist Alissa Meade, CEO of @CuraviHealth #WomeninHIT http://ow.ly/b7uW30kYcff ",9,0,4,True,#WomeninHIT
UPMCEnterprises,2018-07-16,08:40:04,"We asked  @VivifyHealth, a portfolio company, about the implications the newest CPT Code has in #telehealth and #remotemonitoring. Take a look at our latest blog post: http://ow.ly/hvs330kYbPa ",4,0,1,True,"#telehealth,#remotemonitoring"
UPMCEnterprises,2018-07-13,08:35:06,Missed last month's FLIGHT event? Find out what female leaders in #HIT discussed in this panel #womeninHIT http://ow.ly/IoLv30kLCrG ,0,0,0,True,"#HIT,#womeninHIT"
connectedmed,2018-07-11,08:07:53,@AllofUsPA #Precisionmedicine is changing the standard of #healthcare. @MylyndaM of @AllofUSPA explains how healthcare professionals are beginning to use #genomic data to implement personalized care and the challenges the practice faces #RiseOfGenomics  https://bit.ly/2u9bvuU  pic.twitter.com/Pmi078CjRB,15,0,6,True,"#Precisionmedicine,#healthcare,#genomic,#RiseOfGenomics"
VivifyHealth,2018-07-11,14:53:11,"Are current health care reforms finally changing the game for remote patient monitoring?@UPMCEnterprises interviewed our very own Robin Hill, Chief Clinical Officer to explain the answer. http://bit.ly/2L1xo9e #remotepatientmonitoring #reimbursement #CPT99091",3,0,1,True,"#remotepatientmonitoring,#reimbursement,#CPT99091"
UPMCEnterprises,2018-07-12,06:30:21,We're hiring a lead #designer to be responsible for full product design of the latest innovations coming out of @UPMCEnterprises. Learn how #UPMCInnovates - apply now:  http://ow.ly/c87w30kLCiJ  pic.twitter.com/hydRO0dKmi,9,0,5,True,"#designer,#UPMCInnovates"
aaronmartinfc,2018-07-09,14:25:30,"Article in @modrnhealthcr about  AI/ML in scheduling, rev cycle, and other use cases. Great insights from Tal Heppenstall, Joe Kvedar and @EricTopol from @UPMCEnterprises, Partners, and @ScrippsHealth @psjh @ProvInnovation #AI #healthcareinnovation  https://lnkd.in/gWMZsGu  pic.twitter.com/IPTpHIroNO",15,0,4,True,"#AI,#healthcareinnovation"
UPMCEnterprises,2018-07-11,12:30:32,"Meet Eric Burd, Executive In Residence, at UPMC Enterprises. Read our latest post in the 'Meet the Expert' blog series: http://ow.ly/9BgS30kLCfL ",5,1,3,True,
UPMCEnterprises,2018-07-10,07:20:06,"@cavulus We asked one of our portfolio companies, @Cavulus, for their thoughts on the recent findings that 27% of U.S. health systems plan to launch a Medicare Advantage program. See what they have to say: http://ow.ly/zHyg30kLCau ",3,0,2,True,
