username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UPMC_Pinnacle,2018-07-23,17:46:01,"Furman was told by two hospitals that there was no hope to help him – and sent him home to die. That’s when his youngest son suggested getting another opinion at UPMC Pinnacle. He went to see Hemal Gada, MD, and got a second chance at life. See his story  http://bit.ly/2NEiWSg  pic.twitter.com/kakvHxbd18",2,0,2,True,
UPMC_Pinnacle,2018-07-23,10:02:13,"Our new UPMC Pinnacle Neurosurgery is now open to help patients with complex brain, spine, and peripheral nerve conditions. Find out more:  http://bit.ly/2LdQVEa . pic.twitter.com/S24Wv1qnll",6,0,3,True,
UPMC_Pinnacle,2018-07-20,16:22:01,"Curious about your cancer risk? Tune in to Taking Care of Business on WHP 580 tomorrow, July 21, at 7 a.m. to hear from Meagan Smith, MS, LCGC, and learn how genetics affect your chances of developing cancer in your lifetime. pic.twitter.com/EKleHMCjpg",3,0,4,True,
UPMCPinnNews,2018-07-18,08:09:47,"Rebecca Brown, UPMC Pinnacle transplant coordinator, and Dr. William Hoffman, nephrologist and director of Living Donor Program, UPMC Pinnacle on @witfnews Smart Talk now talking about living donation. pic.twitter.com/Nj0t8r7CTn",0,0,0,True,
UPMCPinnNews,2018-07-11,11:43:39,Dr. Brian Oommen @UPMC_Pinnacle Neurologist on @GoodDayPA now talking about epilepsy. pic.twitter.com/KwYl6BjHal,3,0,1,True,
UPMCPinnNews,2018-07-05,15:01:23,Mosquitoes with West Nile have been found in central PA. Tune into @fox43 tonight at 10 pm to hear from Dr. John Goldman from @UPMC_Pinnacle about what you need to know. @Jack_Eble @lyndsay_barna pic.twitter.com/VsrvpSW6pl,7,0,3,True,
CPBJ,2018-06-30,14:15:05,.@UPMC_Pinnacle opens liver transplant clinic  http://www.cpbj.com/article/20180629/CPBJ01/180629866/upmc-pinnacle-opens-liver-transplant-clinic … #healthcare #hepatology,1,0,1,True,"#healthcare,#hepatology"
UPMCpolicy,2018-06-29,16:30:01,"With 15,000 people on a wait list and only 2,700 transplants happening per year, living donor liver transplants are a viable option that people should be aware of and consider.Learn more about the new Liver Transplant Evaluation Clinic at @UPMC_Pinnacle:  https://fox43.com/2018/06/28/upmc-pinnacle-harrisburg-adds-liver-tranplant-clinic-to-services/ … pic.twitter.com/Nj9b2Q2Uu8",4,0,2,True,
UPMCPinnNews,2018-06-28,13:36:25,"“With the new evaluation clinic, we are giving our patients access to the country’s leading experts in living-donor liver transplants close to home,” said Philip Guarneschelli, president and CEO, UPMC Pinnacle. Learn more about the new UPMC clinic at  http://bit.ly/2yQFgp1 .",1,0,2,True,
UPMC_Pinnacle,2018-06-25,16:19:01,The Emergency Department nurses at UPMC Pinnacle Harrisburg have a great bond with the Harrisburg Police Department. They hosted the 3.2 to Protect the Blue 5K race to raise funds to purchase trauma vests like the one Officer Cook wore when he was shot.  http://bit.ly/2MTKMKy  pic.twitter.com/9pQndJNk1v,4,0,3,True,
