username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UPMC,2018-07-02,12:30:00,Did you know there are different types of migraines?,231,8,101,True,
UPMCSusquehanna,2018-07-17,22:12:50,"""[Preparing for trauma center designation] raises the overall expertise, and the scope of services we provide at Williamsport is expanding,” - UPMC Susquehanna COO Jan Fisher, via @WmsptSunGazette  http://bit.ly/2NWUTyN  pic.twitter.com/RrAQREfu68",1,0,1,True,
UPMC_Pinnacle,2018-07-17,11:14:02,Emojis started with healthcare (Wong-Baker FACES Pain Rating Scale).  What emoji would you add to the pain scale? Post your answer in the comments below! #WorldEmojiDay pic.twitter.com/MfLB8RQAck,4,1,2,True,#WorldEmojiDay
UPMCpolicy,2018-07-13,12:46:42,Helping those who help us. @UPMCSusquehanna presented “Go Bags” that contain lifesaving medical supplies to the Williamsport Bureaus of Police and Fire.💻:  https://www.northcentralpa.com/news/wmspt-police-receive-medical-go-bags-from-upmc/article_e069fb3a-85e7-11e8-9301-3f82a45b47b9.html … pic.twitter.com/GbI78zN7Vz,1,0,2,True,
UPMCSusquehanna,2018-07-11,15:23:05,"Does your family know how to stay connected if disaster strikes? Annalisa Negrea, RN, injury prevention coordinator, explains the importance of having your in case of emergency contact labeled in your phone.  http://bit.ly/2N7Su37  pic.twitter.com/WefDWAwwvS",3,0,3,True,
UPMC,2018-07-10,09:26:57,"Learn what it means when a product is labeled ""low-fat."" pic.twitter.com/5Bt84KCNKm",0,0,2,True,
UPMCSusquehanna,2018-07-09,11:10:05,"UPMC Susquehanna is offering the American @LungAssociation 's Freedom From Smoking® program in Williamsport. This free, 8-class series is held every Tuesday at UPMC Susquehanna Divine Providence beginning Aug. 7.  http://bit.ly/2N04KCB  pic.twitter.com/EiC6SEGk2s",2,0,1,True,
UPMCSusquehanna,2018-07-06,08:23:18,Check out the healthy events we have scheduled for the month of July:  http://bit.ly/2MTL1ol ,1,0,0,True,
UPMCSusquehanna,2018-07-02,09:47:08,Be safe this #Independence Day! https://twitter.com/UPMC/status/1013452241607512069 …,3,0,1,True,#Independence
crosscutters,2018-06-30,12:10:06,"#CoverYourBases!  Melanoma skin cancer can often be found early, when it might be easier to treat.  Get your skin checked! pic.twitter.com/ykiOHrkTsh",2,0,1,True,#CoverYourBases
