username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UPMC_Pinnacle,2018-07-24,16:26:02,Immunizations are important for children and adults. See why from Dr. Lindsay Michael below! pic.twitter.com/WuIOJAxe6v,0,0,0,True,
UPMC_Pinnacle,2018-07-24,10:50:40,Follow us to receive #healthy tips and event info! pic.twitter.com/pOkbp7bNOO,1,0,0,True,#healthy
UPMC_Pinnacle,2018-07-23,17:46:01,"Furman was told by two hospitals that there was no hope to help him – and sent him home to die. That’s when his youngest son suggested getting another opinion at UPMC Pinnacle. He went to see Hemal Gada, MD, and got a second chance at life. See his story  http://bit.ly/2NEiWSg  pic.twitter.com/kakvHxbd18",2,0,2,True,
UPMC_Pinnacle,2018-07-23,16:18:02,"In case you missed her on Taking Care of Business on WHP 580, listen to Meagan Smith, MS, LCGC, explain how genetics affect your chances of developing cancer in your lifetime.  https://ihr.fm/2zZyTQZ  pic.twitter.com/wVKdhL7Fyt",0,0,0,True,
UPMC_Pinnacle,2018-07-23,10:02:13,"Our new UPMC Pinnacle Neurosurgery is now open to help patients with complex brain, spine, and peripheral nerve conditions. Find out more:  http://bit.ly/2LdQVEa . pic.twitter.com/S24Wv1qnll",6,0,3,True,
UPMC_Pinnacle,2018-07-22,11:29:01,"Replace the sugar in your mojito and save a whole lot of calories. Instead of using sugar, use a wooden pestle or a big spoon to gently crush cubes of watermelon with fresh mint leaves. Add rum and sparkling water for a sweet mojito with half the usual calories. #SundaySpoonful pic.twitter.com/zoEqo7aMqp",0,0,0,True,#SundaySpoonful
UPMC_Pinnacle,2018-07-21,13:06:02,Uncontrolled blood pressure? Here are eight negative effects you should know about!  http://bit.ly/2Lx0WIF  pic.twitter.com/YdLh71qI3K,0,0,0,True,
UPMC_Pinnacle,2018-07-20,18:22:01,"Watch Michael Link, MD, electrophysiologist and Nikhil Jaik, MD, cardiovascular surgeon at UPMC Pinnacle, discuss hybrid ablation, which combines catheter ablation and surgical ablation, to treat atrial fibrillation.  http://bit.ly/2Nv8wUM  pic.twitter.com/fM7jrgadEe",1,0,0,True,
UPMC_Pinnacle,2018-07-20,16:22:01,"Curious about your cancer risk? Tune in to Taking Care of Business on WHP 580 tomorrow, July 21, at 7 a.m. to hear from Meagan Smith, MS, LCGC, and learn how genetics affect your chances of developing cancer in your lifetime. pic.twitter.com/EKleHMCjpg",3,0,4,True,
UPMC_Pinnacle,2018-07-20,13:38:07,"UPMC Pinnacle may not have won first place, but you can always count on our employees to show some spirit and support their friends! pic.twitter.com/afneG2E3pW",8,0,0,True,
UPMC_Pinnacle,2018-07-20,10:53:36,The UPMC Pinnacle team is having a blast at the United Way Trike Race! All proceeds benefit the @UnitedWayCapReg! pic.twitter.com/kkFaAiwuRI,7,0,1,True,
UPMC_Pinnacle,2018-07-20,10:49:54,And they’re off! The United Way Trike Race has begun! Watch as our employees race their tricycles to benefit the United Way. pic.twitter.com/bFGpgLfLfr,2,0,0,True,
UPMC_Pinnacle,2018-07-20,10:21:53,Ready to race! Our employees are getting ready to race in the United Way Trike Race at the PA Farm Show Complex. Stop by to watch as our employees race their tricycles in support of the United Way! pic.twitter.com/rfiFrymQgJ,7,0,0,True,
UPMC_Pinnacle,2018-07-18,16:27:05,"Meet our future employees! Our clinical departments hosted Girls on the Run Capital Area to give them a sneak peak at what it is like to work for UPMC Pinnacle. The girls learned about imaging services, lab processes, and how to operate the robot used in robotic-assisted surgery. pic.twitter.com/0sr7GDDIDQ",3,0,0,True,
SmartTalkWITF,2018-07-18,08:16:25,What is the difference between living organ donations and cadaver donations? Dr. William Hoffman and Rebecca Brown from @UPMC_Pinnacle discuss the differences and importance of both. Listen live: http://go.witf.org/qEtr30l0ukk ,2,0,1,True,
UPMC_Pinnacle,2018-07-17,11:14:02,Emojis started with healthcare (Wong-Baker FACES Pain Rating Scale).  What emoji would you add to the pain scale? Post your answer in the comments below! #WorldEmojiDay pic.twitter.com/MfLB8RQAck,4,1,2,True,#WorldEmojiDay
UPMC_Pinnacle,2018-07-17,09:24:59,"Dr. Christian Caicedo, MD, MBA, CPE, FACHE, preparing to present at the 2018 Central Penn Business Journal Healthcare Symposium. He presented on the importance of data and communication in hospitals. #CPBJHCS pic.twitter.com/t0GDduSV0J",4,0,0,True,#CPBJHCS
CPBJEvents,2018-07-17,08:21:55,"Now, Dr. Christian Caicedo of @UPMC_Pinnacle is talking about the wealth of data available today about patients and how doctors can effectively and respectfully make decisions about care based on that data. #CPBJHCS pic.twitter.com/driRu8JxnD",5,0,4,True,#CPBJHCS
amysp,2018-07-17,08:36:39,Dr. Christian Caicedo of @UPMC_Pinnacle ⁩speaks at #CPBJHCS about data and communications in hospitals. ⁦@CPBJ⁩ pic.twitter.com/HSlGI7lH18,7,0,2,True,#CPBJHCS
UPMC_Pinnacle,2018-07-16,16:35:02,The summer sun can cause serious heat. Follow these tips to prevent heat illness! pic.twitter.com/WPaV2G1nrH,1,0,1,True,
UPMC_Pinnacle,2018-07-16,13:29:58,"Youth sports can provide your child with many benefits. However, it’s important to choose a sport that is the right fit for your child, your family’s schedule, and your budget. See the benefits of youth sports and decide which one is right for your child:  https://bit.ly/2HEIGum  pic.twitter.com/PzbVAx0Hje",0,0,0,True,
UPMC_Pinnacle,2018-07-15,13:03:01,"Spending your weekend in the sun? Quench your thirst with some watermelon. Based on its name, it’s no surprise that it is made up of 92% water! But its salt, calcium and magnesium is what makes it ideal for rehydration. It also a good source of potassium, vitamin A and vitamin C. pic.twitter.com/KUHwcEvyGf",3,0,1,True,
UPMC_Pinnacle,2018-07-14,11:01:04,Do you know the symptoms of high blood pressure?  http://bit.ly/2L88CEw  pic.twitter.com/5NA0bC4Cr3,0,0,0,True,
UPMC_Pinnacle,2018-07-13,16:09:02,"Swimming is a fun and great way to stay healthy, but pools can house more germs than you think! Follow these tips for safe and healthy swimming! pic.twitter.com/KQYN6wNrny",0,0,0,True,
UPMC_Pinnacle,2018-07-12,17:35:01,"Congratulations to our favorite CFO, Bill Pugh, for being named among the ""150 Hospital and Health System CFOs to Know"" by Becker's Hospital Review for the third year in row!  Learn more and see the full list at  http://bit.ly/2L98VyE . pic.twitter.com/Mq6RqFGBbv",8,0,0,True,
UPMC_Pinnacle,2018-07-12,16:17:02,"Tropical storms can cause a lot of damage, but they can also cause dangerous rip currents! Know how to break the grip of the rip! pic.twitter.com/jfugXUC6Up",1,0,0,True,
UPMC_Pinnacle,2018-07-11,17:56:02,"Congratulations to Brigite, RN, our May DAISY Award recipient. Brigite, who works on the 4th floor at UPMC Pinnacle West Shore, was recognized by a co-worker. Thank you Brigite for all that you do for our patients and their families! Read her nomination at  http://bit.ly/2LamsTE  pic.twitter.com/QjXdQ24fZo",8,0,2,True,
UPMCPinnNews,2018-07-11,11:43:39,Dr. Brian Oommen @UPMC_Pinnacle Neurologist on @GoodDayPA now talking about epilepsy. pic.twitter.com/KwYl6BjHal,3,0,1,True,
UPMC_Pinnacle,2018-07-11,09:52:47,"Epilepsy is the fourth most common neurological disorder, causing unpredictable seizures and affecting people of all ages. Tune in to Good Day PA today at 12:30 p.m. to hear Dr. Brian Oommen, UPMC Pinnacle Neurologist, answer questions about epilepsy diagnosis and management. pic.twitter.com/CADGPxQR5z",7,0,1,True,
UPMC_Pinnacle,2018-07-10,16:24:02,Many people think of arthritis as a condition that only affects older people. But the truth is that it can affect children too. Learn more about the signs and symptoms of JRA here:  https://bit.ly/2y1JB8C  pic.twitter.com/iEWqI5hcA1,0,0,0,True,
UPMC_Pinnacle,2018-07-09,15:31:01,Are you protected from Lyme Disease? Find out  http://bit.ly/2L1tzgV  pic.twitter.com/LdWD4vEuYW,0,0,0,True,
UPMC_Pinnacle,2018-07-09,13:35:02,"Join the Pinnacle Health Auxiliary in collecting travel-size items for guests of Bailey House, our home away from home near UPMC Pinnacle Harrisburg. We are collecting basic toiletry and household cleaning items. For donation information, please call 717-231-6320.",2,0,2,True,
UPMC_Pinnacle,2018-07-07,13:09:03,Looking for some healthy summer recipes to share at your next summer barbecue?  http://bit.ly/2Num5ok  pic.twitter.com/1kUjtPBjf5,2,0,2,True,
UPMC_Pinnacle,2018-07-06,16:07:02,"Save the can tabs! Don’t toss your drink, pet food or soup can before you pull the tab! The Auxiliary recycles these tabs, earning money to support the Bailey House. Contact the Auxiliary office at 717-231-6320 for more information or to arrange delivery after your collection. pic.twitter.com/0tOTtmYpDa",1,0,0,True,
UPMC_Pinnacle,2018-07-06,15:00:48,"Today is International Kissing Day! Learn how kissing affects your health from Julie LaRue, CRNP! pic.twitter.com/Hsn3okAm3X",3,0,1,True,
UPMCPinnNews,2018-07-05,15:01:23,Mosquitoes with West Nile have been found in central PA. Tune into @fox43 tonight at 10 pm to hear from Dr. John Goldman from @UPMC_Pinnacle about what you need to know. @Jack_Eble @lyndsay_barna pic.twitter.com/VsrvpSW6pl,7,0,3,True,
UPMC_Pinnacle,2018-07-05,16:13:36,Our employees at UPMC Pinnacle Harrisburg enjoyed the annual picnic by the river. Thank you for all that you do for our patients and their families! See all of the photos on our Facebook page:  http://bit.ly/2u9jmb0  pic.twitter.com/Ss4yZG08By,1,0,0,True,
UPMC_Pinnacle,2018-07-04,13:22:02,UPMC Pinnacle would like to wish you and your family a happy and safe Fourth of July! pic.twitter.com/8AAJbu2LVg,5,0,1,True,
UPMC_Pinnacle,2018-07-03,13:17:01,"Defensive driving means more than just driving safely; it means keeping an eye on other drivers, too. These tips can help you reduce your risk of being involved in a motor vehicle accident:  https://bit.ly/2rZmDZz  pic.twitter.com/aIjAnCZpXg",2,0,1,True,
UPMC_Pinnacle,2018-07-02,17:29:01,"Thousands of Americans, many of them children, are injured each year in incidents associated with fireworks. Follow these safety tips to keep your family safe this summer:  http://bit.ly/2KsSGsU . pic.twitter.com/6FfMVcq5li",1,0,0,True,
UPMC_Pinnacle,2018-07-02,16:13:01,"Sepsis, one of the leading causes of death in U.S. hospitals,  is a blood infection and an equal-opportunity invader, having the greatest impact on seniors and children. Learn the symptoms of sepsis at  http://bit.ly/2tOelV8 . pic.twitter.com/71jO0R5IyV",1,0,2,True,
UPMC_Pinnacle,2018-06-30,13:18:02,"As a parent, how can you recognize the signs of depression in your child? There are new guidelines to help  https://bit.ly/2tPjP1T . pic.twitter.com/2NpkqSfCGd",6,0,2,True,
UPMCpolicy,2018-06-29,16:30:01,"With 15,000 people on a wait list and only 2,700 transplants happening per year, living donor liver transplants are a viable option that people should be aware of and consider.Learn more about the new Liver Transplant Evaluation Clinic at @UPMC_Pinnacle:  https://fox43.com/2018/06/28/upmc-pinnacle-harrisburg-adds-liver-tranplant-clinic-to-services/ … pic.twitter.com/Nj9b2Q2Uu8",4,0,2,True,
UPMC_Pinnacle,2018-06-29,17:08:02,"Mental health conditions are treatable illnesses — not signs of weakness. If you are a man who is experiencing symptoms of a mental health condition such as anxiety disorder, depression, or PTSD, don’t be afraid to seek help. Learn more:  https://bit.ly/2IPalxc  pic.twitter.com/nCyc9JAv6O",0,0,0,True,
UPMC_Pinnacle,2018-06-29,14:05:06,"Skin cancer comes from exposure to UV rays, mostly from exposure to sun. And the exposure accumulates over a lifetime. Take steps to protect yourself with a sunscreen, a hat and sunglasses. Stay out of the sun during peak times. Learn more  http://bit.ly/2spO0uQ  pic.twitter.com/yXBFBA6b1O",0,0,0,True,
UPMCpolicy,2018-06-29,13:14:36,"As a national leader in living donor liver transplants, UPMC is bringing world-class care and expertise to @UPMC_Pinnacle through a new Liver Transplant Evaluation Clinic in Harrisburg.Read and watch:  https://fox43.com/2018/06/28/upmc-pinnacle-harrisburg-adds-liver-tranplant-clinic-to-services/ … pic.twitter.com/AgfBPuUzAP",4,0,2,True,
UPMC_Pinnacle,2018-06-29,11:57:53,"Scleroderma affects around 300,000 Americans and is four times more common in women than in men. Learn more  http://bit.ly/2s46h3p  pic.twitter.com/HqcZQO7uSp",0,0,1,True,
UPMC_Pinnacle,2018-06-28,16:21:02,"Make sure your pool area is childproof before opening for the season. Fencing, gates, a pool alarm. Learn more  http://bit.ly/2Kt3Lxo . pic.twitter.com/sVEnaiuzIE",0,0,0,True,
UPMC_Pinnacle,2018-06-28,13:36:17,"“With the new evaluation clinic, we are giving our patients access to the country’s leading experts in living-donor liver transplants close to home,” said Philip Guarneschelli, president and CEO, UPMC Pinnacle. Learn more about the new UPMC clinic at  http://bit.ly/2yQFgp1 .",2,0,1,True,
fox43,2018-06-28,11:00:01,There’s a new option for local patients with liver disease in Harrisburg today. UPMC Pinnacle has opened a new Liver Evaluation Clinic. We will talk to doctors about how this new facility expects to help patients on FOX43 News First at Four. http://via.fox43.com/sKnmT ,2,0,2,True,
UPMC_Pinnacle,2018-06-27,16:16:03,"Thank you to those who came out to support the Pinnacle Health Foundation at the 27th Annual Mary Jane & Cleve J. Fredricksen Golf Tournament. With your support, we were able to raise over $70,000 to benefit the expansion of maternity services at UPMC Pinnacle Harrisburg. pic.twitter.com/KHOJdtVscy",6,0,2,True,
UPMC_Pinnacle,2018-06-27,13:30:56,"The CDC recommends HIV testing at least once for everyone between the ages of 13 and 64. If you are at high risk of getting HIV, you should get tested more often. Talk to your healthcare provider about HIV testing or learn more about our services here:  https://bit.ly/2IxQgI1  pic.twitter.com/LmgVToNQOy",0,0,0,True,
UPMC_Pinnacle,2018-06-26,18:36:03,Last week we welcomed graduate nurses during an event held at Autobahn Indoor Speedway. The event was held to celebrate the students’ accomplishments and jump start their career at UPMC Pinnacle! pic.twitter.com/JSMKrCDDhx,3,0,1,True,
UPMC_Pinnacle,2018-06-26,16:52:02,"Finding the right treatment path for back, neck, and spine treatment can be very confusing. You may have a lot of questions about your treatment plan and the next steps for managing your pain. The nurse navigators are here to guide you through the process.  http://bit.ly/2tHrKOL ",0,0,0,True,
UPMC_Pinnacle,2018-06-25,18:30:09,Our employees at UPMC Pinnacle Community Osteopathic enjoyed the annual picnic. Thank you for all that you do for our patients and their families! See all of our photos on our Facebook page:  http://bit.ly/2Kn9lkH  pic.twitter.com/sXDOmt9vSC,0,0,0,True,
UPMC_Pinnacle,2018-06-25,16:19:01,The Emergency Department nurses at UPMC Pinnacle Harrisburg have a great bond with the Harrisburg Police Department. They hosted the 3.2 to Protect the Blue 5K race to raise funds to purchase trauma vests like the one Officer Cook wore when he was shot.  http://bit.ly/2MTKMKy  pic.twitter.com/9pQndJNk1v,4,0,3,True,
UPMC_Pinnacle,2018-06-25,11:09:03,Headed to the beach? See our safety tips to escape the grasp of a rip current! pic.twitter.com/s5uSv6ov82,4,0,2,True,
UPMC_Pinnacle,2018-06-24,11:10:03,"When it comes to cleaning sponges, many of us just rinse them with water, which is not sufficient to remove harmful bacteria. Wash your sponges by throwing them in the HOT cycle of your dishwasher or heat them in the microwave for one minute to kill over 99% of bacteria. pic.twitter.com/NSA1ZQ5TQt",1,0,1,True,
UPMC_Pinnacle,2018-06-23,13:05:01,What do the new high blood pressure guidelines mean for you?  http://bit.ly/2MLwOdA  pic.twitter.com/2wBCqluRwc,1,0,0,True,
UPMC_Pinnacle,2018-06-22,17:18:02,"There are many myths about lightning. Do you know the facts? To stay safe during stormy summer weather, check out the National Weather Service’s website to learn the truth about lightning:  https://bit.ly/2Lfb2y4  pic.twitter.com/KHqm3PKU0Q",2,0,1,True,
UPMC_Pinnacle,2018-06-22,13:37:02,"Cataracts can cause blurry or cloudy vision, light sensitivity, trouble reading, difficulty driving at night. If you have blurry vision, talk to your eye care specialist. Find out more about cataracts and how they are treated here:  https://bit.ly/2LfMuoF  pic.twitter.com/VlxdhCl42g",0,0,0,True,
UPMC_Pinnacle,2018-06-21,17:59:01,"The staff from the Bone and Joint Center at UPMC Pinnacle enjoyed the Big 33 FanFest last Saturday, June 16 at Landis Field in Harrisburg. They provided information on concussions and non-surgical orthopaedic services during the game. pic.twitter.com/3j9W179hz0",4,0,1,True,
UPMC_Pinnacle,2018-06-21,16:12:01,Summer is here and so are the bees! Here are some tips to treat your bee stings this season. pic.twitter.com/MxdcJJ4itn,1,0,0,True,
UPMC_Pinnacle,2018-06-21,15:02:56,"We're enjoying the sun in Mechanicsburg at Jubliee Day! If you're enjoying the event, stop by and see us! pic.twitter.com/vhqduwOEzw",0,0,0,True,
UPMC_Pinnacle,2018-06-20,16:26:01,"Recently, the ACS came out with new guidelines lowering the recommended age for colon cancer screening. See what colon and rectal surgeon, Dr. Andrew Richards says about the recent change.  http://bit.ly/2M4Hp2f ",3,0,1,True,
UPMC_Pinnacle,2018-06-20,13:16:01,More than 6 million men suffer from depression each year in America—but a reluctance to seek help could mean the real number is much higher. Learn the symptoms  http://bit.ly/2K6Db9W . pic.twitter.com/PYEvZpa82s,2,0,1,True,
UPMC_Pinnacle,2018-06-20,11:04:03,"Everyone feels irritable or “down” from time to time, but it is common for people who have Alzheimer’s to experience more dramatic changes in their personality and behavior. Learn more about the early signs:  http://bit.ly/2I7TlOm  pic.twitter.com/r36KtFgUU9",0,0,0,True,
UPMC_Pinnacle,2018-06-19,17:55:03,Our employees at UPMC Pinnacle Lancaster and UPMC Pinnacle Lititz enjoyed the annual picnic. Thank you for all that you do for our patients and their families! See all of the photos from the picnics on our Facebook page:  http://bit.ly/2JRoFGG  pic.twitter.com/7QYIY3P85F,0,0,0,True,
UPMC_Pinnacle,2018-06-19,16:04:03,"According to CDC estimates, sickle cell disease affects approximately 100,000 people in the U.S. Take this quiz to learn more about sickle cell disease:  https://bit.ly/2rVT771  pic.twitter.com/rPvjL04Qmp",0,0,0,True,
UPMCPinnNews,2018-06-19,12:12:44,"Tonight at 5:30 pm, hear more about nitrous oxide as a pain management option for women in labor @UPMC_Pinnacle @abc27News @mruizreports pic.twitter.com/bSElWZXyf9",2,0,5,True,
UPMC_Pinnacle,2018-06-19,11:05:06,UPMC Pinnacle is enrolling patients in clinical trial to treat persistent atrial fibrillation. Learn more about this study:  http://bit.ly/2JZMBXM ,0,0,0,True,
UPMC_Pinnacle,2018-06-18,17:29:01,Looking for tips to beat the summer heat?  http://bit.ly/2JTjamW  pic.twitter.com/NZcHgmnYnu,0,0,0,True,
UPMC_Pinnacle,2018-06-17,13:06:02,"Eating frequently might sound counter-intuitive if you're trying to lose weight, but aiming for 3 healthy meals and 2 small snacks a day means you're eating something every 3 hours or so, so you'll never let yourself get too hungry, preventing overeating later. #SundaySpoonful pic.twitter.com/x3Pn6irnnj",3,0,1,True,#SundaySpoonful
UPMC_Pinnacle,2018-06-17,11:30:15,"This Father's Day, we would like to recognize all fathers at UPMC Pinnacle. To celebrate, our employees recognize their fathers and children today. We hope you all have a wonderful day with your families! See all of our employee submissions on Facebook:  http://bit.ly/2LYVqhT . pic.twitter.com/wULPsKb9E8",4,0,2,True,
UPMC_Pinnacle,2018-06-16,13:05:01,What do you need to know about dry drowning? Find out in our blog!  http://bit.ly/2LSZq3u  pic.twitter.com/vCDZruSO2t,1,0,0,True,
UPMC_Pinnacle,2018-06-15,15:50:00,"We all know someone who has been affected by discomfort or appearance of varicose and spider veins. Tune in to Taking Care of Business on WHP580 tomorrow, June 16, at 7 a.m. to hear Robert E. Martin, MD, from the Vein Center clear up some myths about varicose and spider veins.",0,0,0,True,
UPMC_Pinnacle,2018-06-15,13:12:01,"If you think you might be at risk for prostate cancer, it’s important to talk to your healthcare provider. Your healthcare provider can help you decide if prostate cancer screening is right for you. Learn more about risk factors for prostate cancer here:  https://bit.ly/2rTx01B  pic.twitter.com/FO2A5j8Xl7",0,0,0,True,
UPMC_Pinnacle,2018-06-14,19:04:02,"If you haven't voted yet, there is still time! Harrisburg Magazine’s Simply the Best Voting is back. Please take a few minutes to complete the survey and show your support for the community and UPMC Pinnacle! Click here to cast your vote:  http://bit.ly/2JXhqJS  pic.twitter.com/vPABBJKQcz",0,0,0,True,
UPMC_Pinnacle,2018-06-14,16:42:01,"Warm weather brings fun outdoor activities, backyard barbeques, and pool parties. It can also lead to more trips to urgent care or the ER. Watch as Dr. Jonathan Ortiz discusses top injuries and illnesses doctors see and where to seek the appropriate care.  http://bit.ly/2JBFSE2 ",0,0,0,True,
UPMC_Pinnacle,2018-06-14,16:22:54,Getting ready to run! UPMC Pinnacle nurses are out and ready to race. Come out and see them run at City Island for the 3.2 to Protect the Blue! pic.twitter.com/zqNg5Iy3vb,1,0,0,True,
UPMC_Pinnacle,2018-06-14,11:06:01,"In the event of a disaster, having an emergency response plan can help keep your family safe. Learn more about how to create a disaster plan for your family here:  https://bit.ly/2IDrdE0  pic.twitter.com/qV2xKdtU5o",0,0,0,True,
UPMC_Pinnacle,2018-06-13,15:53:12,"What is hypofractionation? Listen to Joella Wilson, MD explain her role in your radiation therapy treatment called hypofractionation. pic.twitter.com/8ql4YDXxHs",0,0,0,True,
UPMC_Pinnacle,2018-06-12,16:13:01,"Dr. Venkateswarlu Muvva recently participated in the Tour de Belt, a bike race hosted by the Capital Area Greenbelt Association, an organization that works to maintain the Capital Area Greenbelt trail in Harrisburg. Dr. Muvva was UPMC Pinnacle proud in his purple gear! pic.twitter.com/E3tlkd2b9W",1,0,0,True,
