username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UPMCnews,2018-07-24,10:09:10,"Sepsis kills; prompt care saves kids’ lives, @PittCCM-led study of controversial #sepsis mandate reports in @JAMA_current.  https://upmc.me/2LmCcXK  pic.twitter.com/r76LBAmmvv",5,0,2,True,#sepsis
UPMCnews,2018-07-24,14:11:04,"A recent study found that a third of cardiac arrest survivors who received adrenaline ended up in a vegetative state or were unable to walk and care for themselves. Dr. Clifton Callaway, who was not involved in the study, discusses.  https://upmc.me/2NF4adS  via @Newsweek pic.twitter.com/ZOPycjYI1O",0,0,1,True,
UPMCpolicy,2018-07-24,12:52:01,"UPMC applauds the @HouseFloor for passing #HR1676 yesterday. The bill would improve care for patients facing serious illness by expanding workforce, awareness, and research. #PCHETA now moves on to a @SenateFloor vote. pic.twitter.com/c3wzd6L2v8",2,0,1,True,"#HR1676,#PCHETA"
UPMC_Pinnacle,2018-07-23,17:46:01,"Furman was told by two hospitals that there was no hope to help him – and sent him home to die. That’s when his youngest son suggested getting another opinion at UPMC Pinnacle. He went to see Hemal Gada, MD, and got a second chance at life. See his story  http://bit.ly/2NEiWSg  pic.twitter.com/kakvHxbd18",2,0,2,True,
ChildrensPgh,2018-07-24,08:23:12,"Mckinlee was born with Transposition of the Great Arteries and sadly, lost her battle on May 2, 2017. July is Bereaved Parents Awareness Month, and Haley, Mckinlee’s mom, shares her thoughts and feelings of losing a loved one.  http://www.childrenspgh.org  pic.twitter.com/oGcGhCAujD",21,1,5,True,
UPMCnews,2018-07-24,08:53:04,"Cardiac Arrest, Neurosurgery, Marijuana: Headlines from UPMC and the University of Pittsburgh for July 24, 2018.  http://upmc.me/2KJdW0E  #UPMCinnovates #H2P pic.twitter.com/tzD8hNMD74",1,0,1,True,"#UPMCinnovates,#H2P"
UPMCnews,2018-07-24,06:47:05,"Americans seem to have developed a very rosy view of marijuana that isn’t backed up by science, a new study suggests. Dr. Ajay Wasan weighs in.  https://upmc.me/2v3fngA  via @Reuters pic.twitter.com/916AME6drv",0,0,1,True,
UPMCnews,2018-07-23,14:11:07,"Tolani Olonisakin, a student in @PittHealthSci's Medical Scientist Training Program, recently discussed her research on infection and “superbugs” with Nobel laureates at their annual meeting in #Germany. Learn more.  https://upmc.me/2LfEOGE  via @PittTweet pic.twitter.com/lxr3SlNdmg",4,0,5,True,#Germany
UPMCCareers,2018-07-23,11:00:05,Got the interview jitters? Hear from our recruiters on application and interview tips!  http://bit.ly/2LKr56T  pic.twitter.com/IEEFydOTLP,1,0,2,True,
UPMC_Pinnacle,2018-07-23,10:02:13,"Our new UPMC Pinnacle Neurosurgery is now open to help patients with complex brain, spine, and peripheral nerve conditions. Find out more:  http://bit.ly/2LdQVEa . pic.twitter.com/S24Wv1qnll",6,0,3,True,
UPMCnews,2018-07-23,10:37:05,Sue Mascia has sewn bags for patients in the inpatient rehabilitation unit at UPMC Passavant for the past four years. The bags are meant for patients who need to use a walker but also want to take items like phones and books with them.  https://upmc.me/2Li6dHZ  pic.twitter.com/2XJ0nWeKHI,16,1,5,True,
