username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UPMCpolicy,2018-07-24,14:36:55,"With a growing need for trained neurology specialists in Central PA, @UPMC_Pinnacle has opened a new #neurosurgery practice that specializes in care for patients with complex brain, spine, and peripheral nerve conditions.Read more:  http://www.cpbj.com/article/20180723/CPBJ01/180729990/upmc-pinnacle-opens-neurosurgery-practice-in-harrisburg … pic.twitter.com/mmDa8MAYN1",2,0,0,True,#neurosurgery
UPMCpolicy,2018-07-24,12:52:01,"UPMC applauds the @HouseFloor for passing #HR1676 yesterday. The bill would improve care for patients facing serious illness by expanding workforce, awareness, and research. #PCHETA now moves on to a @SenateFloor vote. pic.twitter.com/c3wzd6L2v8",2,0,1,True,"#HR1676,#PCHETA"
UPMCpolicy,2018-07-23,14:38:43,"New #artificialintelligence software being utilized at UPMC helps rule out #Alzheimers disease from scans, a new study suggests.Read more about the innovative #AI:  https://www.healthdatamanagement.com/news/ai-software-helps-rule-out-alzheimers-disease-from-scans … pic.twitter.com/E5IKGVJHJ8",0,0,4,True,"#artificialintelligence,#Alzheimers,#AI"
Aligning4Health,2018-07-23,11:56:18,"""While the very definition of chronic homelessness is tied to one’s health, housing and health authorities continue to grapple with the issue in silos.""A @safetynetplans report highlights creative #SDoH work by @UPMCpolicy, @caresource and @AmidaCareNY.  https://bit.ly/2A5kyCE ",6,6,5,True,#SDoH
IHAConvene,2018-07-20,13:14:45,Excellent article about how @UPMCEnterprises turned innovation into a healthcare enterprise....#hcldr #Payers #providers #technology https://twitter.com/UPMCpolicy/status/1020313186946383873 …,2,0,3,True,"#hcldr,#Payers,#providers,#technology"
UPMCpolicy,2018-07-20,12:40:54,UPMC’s Dr. David Brent joined researchers from the @UTSWNews Brain Institute in a study that utilizes a personalized app to help adolescents cope with recurring thoughts of suicide after hospitalization.Read more:  https://eurekalert.org/pub_releases/2018-07/usmc-abi071918.php … pic.twitter.com/3u5JxtTiDQ,1,0,0,True,
UPMCpolicy,2018-07-20,09:23:14,"@HealthLeaders Tal Heppenstall, president of @UPMCEnterprises, joined @imjackobrien to discuss value-based care, #HealthIT, and how UPMC turned innovation into an enterprise.More from @healthleaders:  https://www.healthleadersmedia.com/innovation/how-upmc-turned-innovation-enterprise … pic.twitter.com/qSuyDv6XFy",6,0,7,True,#HealthIT
UPMCpolicy,2018-07-19,10:50:18,Follow the @UPMC_Pinnacle York progress and get the latest news and updates here:  http://upmcpinnacle.com/thefuture ,1,0,0,True,
UPMCpolicy,2018-07-19,10:50:17,We hope you’re as excited as us about the new @UPMC_Pinnacle York construction that will have environmentally-friendly design components like three miles of walking trails around the campus to promote community health and wellness. pic.twitter.com/NoS3xx5DZt,4,1,6,True,
UPMCpolicy,2018-07-19,09:52:56,"The UPMC GR team is glad to be joined by @RepGrove, @repkristin, @RepStanSaylor, @RepHillEvans, and the office of @RepScottPerry for a briefing on the new @UPMC_Pinnacle York hospital construction. 🏗️ pic.twitter.com/rnycDfLeSE",4,1,6,True,
UPMCpolicy,2018-07-19,09:20:03,"Thank you @RepKateKlunk, Rep. Dan Moul, and the offices of @SenRichAlloway and @RepScottPerry for joining us on a tour of UPMC Hanover and the great discussion around critical health care issues such as the #opioidcrisis. pic.twitter.com/6mmA4cjJDY",8,0,3,True,#opioidcrisis
UPMCpolicy,2018-07-19,07:19:59,Thank you to @RepARavenstahl for yesterday's discussion around the #opioidcrisis and what the @ChildrensPgh SMART Choices program is doing to prevent substance abuse and addiction.,1,0,1,True,#opioidcrisis
UPMCnews,2018-07-18,15:16:06,Statement on today’s Pennsylvania Supreme Court decision regarding Medicare Advantage. More here.  https://upmc.me/2uLauc9  pic.twitter.com/ejaNuEaHv6,1,0,2,True,
UPMCpolicy,2018-07-18,15:38:52,"With thousands of Pennsylvanians on organ wait lists, Dr. William Hoffman and Rebecca Brown of @UPMC_Pinnacle discuss UPMC’s Living Donor Program with @SmartTalkWITF guest host, @Pritchett_abc27. Listen:  https://features.witf.org/stpodcast/?powerpress_pinw=363-podcast … #OrganDonation pic.twitter.com/6d4xNYSryT",2,0,2,True,#OrganDonation
UPMCpolicy,2018-07-18,12:48:24,UPMC Government Relations is happy to be at @UPMC_Pinnacle Carlisle for a team tour and briefing! 🏥 pic.twitter.com/pO3LtcCtsA,3,0,0,True,
UPMCpolicy,2018-07-18,11:09:41,"UPMC researchers were part of a team that has potentially discovered a way for clinicians to administer accurate, noninvasive brain imaging to improve surgery for patients with #epilepsy.More on the groundbreaking study:  https://medicalxpress.com/news/2018-07-insight-incision-advances-noninvasive-brain.html … #UPMCinnovates pic.twitter.com/PgadJuHEfi",0,0,0,True,"#epilepsy,#UPMCinnovates"
UPMCpolicy,2018-07-17,16:00:02,It was great to meet with @SenatorKimWard today as we discussed the #opioidcrisis and what the @ChildrensPgh SMART Choices program is doing to prevent substance abuse and addiction.,0,0,0,True,#opioidcrisis
UPMCpolicy,2018-07-17,14:38:08,Want to learn more about #WearableTech? UPMC’s Dr. Van Eck believes it can encourage commitment and result in better patient outcomes.📗 #Wearable’s impact factors on surgery:  https://www.healio.com/orthopedics/business-of-orthopedics/news/print/orthopedics-today/%7B394f7844-da42-4ea5-85ab-0d32cd24642a%7D/how-do-you-foresee-devices-that-monitor-individual-patient-parameters-will-impact-factors-such-as-risk-of-rehospitalization-infection-and-revision-surgery …📙 Interest expands as wearable technology advances:  https://www.healio.com/orthopedics/business-of-orthopedics/news/print/orthopedics-today/%7B38f24428-4e49-4dba-9f01-202e9090937e%7D/interest-expands-as-wearable-technology-advances?_id=38F244284E494DBA9F01202E9090937E&_z=z … pic.twitter.com/PNhVLa3Ia5,5,0,3,True,"#WearableTech,#Wearable"
danielgilman,2018-07-17,14:05:25,It was my honor today to represent Mayor @billpeduto today at the ribbon cutting of a new Matt's Maker Space in Children's Hospital. A remarkable space for kids in honor of Matt Conover https://twitter.com/UPMCpolicy/status/1019288072654065665 …,26,0,4,True,
UPMCpolicy,2018-07-17,13:29:48,"Today, @danielgilman, Mayor @billpeduto's Chief of Staff, spoke on behalf of the mayor in celebration of the new Matt's Maker Space at @ChildrensPgh - an area to engage patients in science, technology, engineering, art, and mathematics (STEAM) problem-solving. pic.twitter.com/ReGhKoqtpu",14,0,6,True,
