username,date,time,tweet,likes,replies,retweets,retweet,hashtags
DrJenniferWiler,2018-06-23,11:37:50,Excellent interviews with our visionary partners!@uchealth @CUInnovations https://twitter.com/healthscholars1/status/1009220694238871552 …,4,0,0,True,
DrJenniferWiler,2018-06-19,22:24:05,Great example of why we need digital partners to help create evidence based clinical decision support tools! @JulieReisetter @uchealth @CUInnovations https://twitter.com/aliraja_md/status/1008738218924236800 …,8,0,2,True,
HealthScholars1,2018-06-19,18:10:15,At @MEDIUM_FILMS with @TheOpteraGroup capturing new video footage for the release of Fire in the OR Virtual Reality Simulation. #VR #firesafety #patientsafety #MedEd pic.twitter.com/dYsJjc05i9,4,0,4,True,"#VR,#firesafety,#patientsafety,#MedEd"
RxRevu,2018-06-15,14:53:37,Dr. Toby Cosgrove of Cleveland Clinic Joins RxRevu Board - Link:  http://bit.ly/2tctIGK  pic.twitter.com/A036C4CGbH,6,0,3,True,
Cascadia,2018-06-13,13:59:00,"@catalyst @uchealth ""We are unequivocally putting a stake in the ground that innovation is our future.” Richard Zane @UCHealth will open innovation lab in Denver's @Catalyst HTI (Health Tech Innovation) building#healthinnovation https://dpo.st/2JGE8oV  pic.twitter.com/h4PVYAzeQh",11,0,9,True,#healthinnovation
mikebiselli,2018-06-13,15:44:52,Thank you @modrnhealthcr for your coverage of @CatalystHTI and @uchealth AND all the wonderful things we are doing TOGETHER in #Denver to reimagine #healthcare! #pinksocks #healthtech #innovation #hcldr #gsd https://twitter.com/modrnhealthcr/status/1006963131116081171 …,11,1,4,True,"#Denver,#healthcare,#pinksocks,#healthtech,#innovation,#hcldr,#gsd"
PaulaFreund,2018-06-13,08:21:08,"Great news from @uchealth and @CatalystHTI for patients and the future of health care delivery, via @denverpost! #innovation #HealthCareIT #digitalhealth #AI https://www.denverpost.com/2018/06/13/uchealth-to-open-innovation-lab-in-catalyst-hti-building-in-denvers-rino-neighborhood/ …",10,0,5,True,"#innovation,#HealthCareIT,#digitalhealth,#AI"
DrJenniferWiler,2018-06-13,17:24:18,Can’t wait to change the world with @uchealth @mikebiselli @JulieReisetter ! https://twitter.com/mikebiselli/status/1006907224470401024 …,12,0,3,True,
DrJenniferWiler,2018-06-13,17:22:51,Important work for EM. Honored to work with such talented health services researchers @Dr_BrendanCarr @M_Lin @JSchuurMD and team https://twitter.com/jschuurmd/status/1006909583963631617 …,2,0,0,True,
RBlount,2018-06-13,08:02:10,So incredibly proud and excited for my friends in #Denver @uchealth @JulieReisetter @CatalystHTI @mikebiselli  https://dpo.st/2JEJxgd  via @denverpost #Healthcare #innovation,22,0,6,True,"#Denver,#Healthcare,#innovation"
DrJenniferWiler,2018-06-13,17:20:19,Excited to announce our partnership to create the innovation hub of the west! https://twitter.com/healthfurther/status/1006895026725679104 …,0,0,0,True,
mrjonathanallan,2018-06-12,12:16:26,"Great feature on our company @agilemd and our partners @uchealth! Thanks, #HCbiz! https://twitter.com/dflee30/status/1006530144155160576 …",6,0,1,True,#HCbiz
DrJenniferWiler,2018-06-12,14:55:04,Glad to be there to stand in support representing EM physicians https://twitter.com/almannixmd/status/1006248766100426752 …,2,0,0,True,
Surgeon_General,2018-06-11,14:15:19,"I joined the AMA 20 years ago as a medical student, and helped me develop a taste for advocacy... being a part of this community provided me with the knowledge, network, resources and mentorship that made me into the physician I am today #AMAmtg @AmerMedicalAssn #healthequity pic.twitter.com/2UhGPcADLF",114,6,57,True,"#AMAmtg,#healthequity"
AtulGupta_MD,2018-06-10,16:32:13,"“Telling doctors to eat granola, do yoga and be more resilient isn’t going to address this problem.” #EHRreform via @WSJ@RichDuszak @CMichaelGibson @RasuShrestha https://www.wsj.com/articles/hospitals-address-widespread-doctor-burnout-1528542121 … via @WSJ",107,9,60,True,#EHRreform
drnic1,2018-06-10,08:45:10,"How Fitbit is trying to transform healthcare, and itself #wearables http://bit.ly/2Hvks5v ",4,0,2,True,#wearables
DrJenniferWiler,2018-06-10,08:37:33,Thanks to the wonderful work of my friend @Surgeon_General Dr. Jerome Adams to help improve the health of ALL Americans! pic.twitter.com/Sb0bLcP1vd,31,1,8,True,
JulieReisetter,2018-05-31,18:35:16,Thanks to @dflee30 and @The_HCBiz for taking time to chat with two of our awesome @uchealth #innovation partners @HealthScholars1 and @agilemd today!  That was fun! #HITExpo pic.twitter.com/V3mLdSRpx7,17,2,7,True,"#innovation,#HITExpo"
DrHowardLiu,2018-05-25,14:58:29,Thrilled to meet @ctlin1 and to hear his philosophy of making clinical informatics relevant to providers through a commitment to “extraordinary relationships” rather than technical skills. Truly a giant in healthcare transparency and patient empowerment! @AAMCtoday #healthIT pic.twitter.com/pQEJF4ND5L – at Poynter Hall - UNMC,32,1,14,True,#healthIT
drhew,2018-05-21,22:55:31,@AppliedVRhealth 50% reduction in pain with #VR. Huge congrats to @BrennanSpiegel @CedarsSinai @appliedVRHealth @freethinkmedia for an incredibly insightful and inspiring piece on how #TherapeuticVR may be used to help battle the #OpioidEpidemic  https://lnkd.in/gTdAW9q  https://lnkd.in/gbBh658 ,90,0,53,True,"#VR,#TherapeuticVR,#OpioidEpidemic"
DrJenniferWiler,2018-05-11,19:00:42,Looking forward to sharing the great work of our co-dev partners! @uchealth @CUInnovations @UCHealthInnov https://twitter.com/juliereisetter/status/994580856978075650 …,8,0,4,True,
DrJenniferWiler,2018-05-11,18:57:46,Glad to have such a talented partner at the UCHealth CARE Innovation Center! @uchealth @CUAnschutz @CUInnovations https://twitter.com/juliereisetter/status/994730500274221056 …,9,0,2,True,
JulieReisetter,2018-05-07,19:16:39,"Unpacking another wicked healthcare problem... Reluctance and unwillingness to discuss death and dying... Thank you Dr. Kutner for sharing your mother’s story and giving us hope that a solution exists.  Snoopy was, again, right...💖@101010net pic.twitter.com/kxr3jhumAr",17,0,11,True,
JulieReisetter,2018-05-01,11:28:25,The unique assets at @CUAnschutz +  #VR experts like @WalterGreenleaf @NMHIC_CU + industry partners = 🙌🏻  Exciting stuff! @uchealth @CUInnovations https://www.cuanschutztoday.org/conversion-to-immersion-medical-campus-poised-as-leader-in-bringing-vr-to-health-care/ …,20,2,7,True,#VR
SMoeschlerMD,2018-04-27,11:03:12,Put women & minorities on the stage. To deliver science. Every session. Every Panel. Every day. Every Society. #nomoremanels #PROWD @PROWDWomen https://www.becomebraveenough.com/blog/2018/4/26/put-women-and-minorities-on-the-stage …,80,3,32,True,"#nomoremanels,#PROWD"
DrJenniferWiler,2018-04-27,20:27:34,So proud to work with some of the best! https://twitter.com/fosgoss/status/989327726946402304 …,18,1,5,True,
mikebiselli,2018-04-21,08:47:09,"I’m so lucky to be surrounded by amazing friends who are changing the world! 2 examples just this morning: @JulieReisetter in #Vietnam & @nickisnpdx in #India! With friends like this, I know I’m in good hands! “Love more, fear less” #pinksocks #bethechange pic.twitter.com/ghnLPy2JZ2",68,5,17,True,"#Vietnam,#India,#pinksocks,#bethechange"
CUInnovations,2018-04-23,18:41:38,"Congratulations to Richard Zane, MD of UCHealth who was recently identified as one of the 30 top chief innovation officers at leading healthcare organizations. https://www.healthdatamanagement.com/list/30-key-chief-innovation-officers-at-healthcare-organizations#slide-30 …",17,0,5,True,#slide
