username,date,time,tweet,likes,replies,retweets,retweet,hashtags
COwildernessMED,2018-07-24,13:34:47,We are in Costa Rica with our July Pre-Med class! The students are learning about spinal immobilization. #emergencymedicine #wildernessmedicine,1,0,0,True,"#emergencymedicine,#wildernessmedicine"
COwildernessMED,2018-07-24,10:43:18,Morning trip to the beach...#purevida https://www.facebook.com/ColoradoWM/videos/2124494164464937/ …,2,0,0,True,#purevida
COwildernessMED,2018-07-24,10:11:49,Welcome back from ziplining! https://www.facebook.com/ColoradoWM/videos/2124452281135792/ …,0,0,0,True,
COwildernessMED,2018-07-24,09:09:21,Back in Costa Rica with our students!,1,0,0,True,
COwildernessMED,2018-07-23,11:50:04,"Medical Monday: What if my grades are not good enough to get into medical school? Dr. Vaughn Browne, Associate Professor of Emergency Medicine and Chairman of the School of Medicine Admissions committee, discusses... https://www.facebook.com/ColoradoWM/videos/2113385038909183/ …",1,0,0,True,
COwildernessMED,2018-07-20,11:16:10,Are you worried you do not have good enough grades to get into medical school? Take a look at our second blog in our Getting Into Medical School:Tips and Tricks series. This articles discusses what options you... https://www.coloradowm.org/blog/making-grade-academics-med-school/ …,1,0,1,True,
COwildernessMED,2018-07-19,12:12:32,"Dr. Martin Musi, Dr. Vaughn Browne, Dr. Julia Dixon, Dr. Mariana Guerrero, and Joel Vaughan EMT from the University of Colorado were invited to the University of Panama Facultad de Meidicina to teach an Emergency Procedures and Processes course for graduating medical students. pic.twitter.com/TCIxM4ln16",6,0,1,True,
COwildernessMED,2018-07-18,15:10:44,"How do you prevent burnout?We have created a new question and answer series! We asked undergraduate students if they had the opportunity to   ask a physician or nurse one question, what would it be? We will... https://www.coloradowm.org/blog/medical-question-answer-series/ …",4,0,2,True,
COwildernessMED,2018-07-18,11:34:12,"Save the Date: Come join us September 22, 2018 for CU Pre-Health Day from 7:30 AM - 5:00 PM! This event will provide you with the resources you need to ensure a successful admissions process into the health-related field of your choice! Registration link will be coming soon! pic.twitter.com/TaPXG0PAzZ",0,0,0,True,
AnneLibbyPhD,2018-07-16,18:44:47,"@CWHR_CUAnschutz Read Dr. Cecilia Sorenson & @JayLemery @COwildernessMED and @DenverEMed @CUAnschutz describe impacts of climate change for women's health #womenshealth, contributing to work @cwhr_CUAnschutz http://dx.plos.org/10.1371/journal.pmed.1002603 …",12,0,5,True,#womenshealth
