username,date,time,tweet,likes,replies,retweets,retweet,hashtags
drmehrarohit,2018-04-27,09:37:40,"Honored and excited to see our #KidneyCancer study @UMichPath featured on the cover of 30th year/issue of @ModernPathology , official journal of @TheUSCAP  https://www.ncbi.nlm.nih.gov/m/pubmed/28840857 … @UMRogelCancer @sska_path @MLabsUM pic.twitter.com/taJsLK99Ku",38,0,10,True,#KidneyCancer
UMichPath,2018-07-13,13:26:23,"A: Rhabdoid tumor of kidney (RTK). AGGRESSIVE! Infants (median: ~1 yr). Discohesive; large cells w/eccentric large vesicular nuclei, big nucleoli; +LVI. IHC: -INI1; patchy +EMA/CK. Molec: hSNF5/INI1 inactivation on 22q11; germline a/w concurrent RTK & AT/RT. #UMichPath #PediPath pic.twitter.com/eNKoLgPd6U",27,1,18,True,"#UMichPath,#PediPath"
UMichPath,2018-07-13,08:58:18,Our newest issue of Inside Pathology is out and it's all about patient-focused pathology. Read the feature article about our Patient and Families Advisory Council here:  https://www.pathology.med.umich.edu/news/629 You can also download the magazine as a PDF:  https://www.pathology.med.umich.edu/static/apps/InsidePathology/InsidePathology2018.pdf … #UMichPath pic.twitter.com/kUaizUGsax,6,0,3,True,#UMichPath
JeffreyHaren,2018-07-14,12:29:14,"#Microtubules in a human MDA-231 cell (interphase). Highly dynamic! #Spinning_Disk_Microscopy, #cell_biology pic.twitter.com/EMHKZM0wI3",673,13,263,True,"#Microtubules,#Spinning_Disk_Microscopy,#cell_biology"
ValaAfshar,2018-07-15,09:47:13,Croatia 🇭🇷 is one of the smallest nations to ever reach the #WorldCupFinal #CROFRA  http://wef.ch/2md6bCh  pic.twitter.com/3XOYA3Y8ZY,414,10,232,True,"#WorldCupFinal,#CROFRA"
UMichPath,2018-07-15,06:55:04,"🔬 Pediatric #Pathology, Day 5➡️ What’s your #DailyDx of this proximal extremity mass from a teenager?➡️ With what genetic aberrancies are these associated?➡️ We’ll tweet the answers and some quick facts tomorrow! #UMichPath #PediPath pic.twitter.com/izgIUuNugB",45,10,24,True,"#Pathology,#DailyDx,#UMichPath,#PediPath"
HHamnvag,2018-07-14,20:20:10,"Histopathology of psoriasis: Hyperkeratosis, uniform acanthosis with elongated rete ridges, focal loss of granular layer, suprapapillary thinning over elongated dermal papillae, perivascular infiltrate with occasional neutrophils. #PathElective @kmirza  http://www.pathologyoutlines.com/topic/skinnontumorpsoriasis.html … pic.twitter.com/Iya48kVKmz",43,3,20,True,#PathElective
drmehrarohit,2018-07-02,13:06:36,Malakoplakia of the urinary bladder with histiocytic infiltrate and MG bodies (concentric basophilic inclusions)- one of the highest number of MG bodies I have seen in any case! #bladder #Pathology @UMichPath pic.twitter.com/pSE0odryFB,144,5,75,True,"#bladder,#Pathology"
UMichPath,2018-07-11,14:49:51,"🔬 Pediatric #Pathology, Day 2➡️ What’s your #DailyDx of this abdominal mass?➡️ With what syndrome(s) are these related?➡️ We’ll tweet the answers and some quick facts tomorrow! #UMichPath #PediPath pic.twitter.com/XGZxRE47Mn",42,5,28,True,"#Pathology,#DailyDx,#UMichPath,#PediPath"
UMichPath,2018-07-10,16:09:01,🔬 #DailyDx theme this week: Pediatric #Pathology➡️ What’s your diagnosis of this soft tissue mass?➡️ What testing would you order to confirm?➡️ We’ll tweet the answers and some quick facts tomorrow! #UMichPath #PediPath pic.twitter.com/LmB6t5miXJ,41,10,20,True,"#DailyDx,#Pathology,#UMichPath,#PediPath"
