username,date,time,tweet,likes,replies,retweets,retweet,hashtags
alexshoushtari,2018-07-16,22:35:18,Couldn't agree more. We oncologists must ask and include if they ever had a loved one die of cancer or if they were/are a caregiver. Their new diagnosis will be viewed rightly or wrongly through that lens and we must understand it. https://twitter.com/emily_fri/status/1019026439226707968 …,5,0,2,True,
CancerCytopath,2018-07-16,12:05:06,Cytopathologic features of SMARCB1 (INI‐1)‐deficient sinonasal carcinoma  https://onlinelibrary.wiley.com/doi/full/10.1002/cncy.22020 … pic.twitter.com/eR941Letlp,12,0,11,True,
JonathanMerritt,2018-07-16,12:52:19,"Have you ever watched @drunkhistory? I want to do Drunk Theology. I mean, don’t you want to see what NT Wright or @flemingrut say after three glasses of Merlot? This may be the best idea on the Internet right now tbh.",831,125,59,True,
jdahlmd,2018-07-16,11:31:57,Great points - @WillowCreekCC @hpmemphis https://twitter.com/wad3mullen/status/1018824581023457285 …,6,0,1,True,
NatureNews,2018-07-15,08:00:11,Evidence in mice suggests that the food that cancer patients eat could influence how well their cancer drugs work. https://go.nature.com/2JnIyjO ,150,3,88,True,
Xiaonan0705,2018-07-14,22:05:53,"My lab has funding (a NSERC project) to hire a new postdoc in food/molecular microbiology, with a preference in WGS, NGS, gut microbiome and food microbiome. We hope the candidate can start this coming fall/winter or very early next year.",12,0,22,True,
jdahlmd,2018-07-14,05:28:11,"While #SBC churches are autonomous, the culture is learned. @jdgreear and @albertmohler - will you counsel @StevePreach? https://twitter.com/juleswoodson11/status/1017956250368106504 …",4,0,2,True,#SBC
jdahlmd,2018-07-13,14:55:23,Andy savage and Chris Conlee have resigned.  Will @hpmemphis now finally share the report? @rmaxey1,5,2,2,True,
jdahlmd,2018-07-13,14:54:19,Isn’t this interesting? Scott Fredreicks is Cantey hanger - who did the investigation of @andysavage at @hpmemphis had this to say regarding Mark Aderholt and IMB. pic.twitter.com/ynfrmvxrpe,5,1,0,True,
jdahlmd,2018-07-13,10:24:38,The importance of choosing your words carefully.  What if all of these headlines were already following that guideline and chose these words intentionally? https://twitter.com/TaranaBurke/status/1017746933618757632 …,3,0,1,True,
jdahlmd,2018-07-12,18:49:31,"Thank you, @HappySonship. https://twitter.com/HappySonship/status/1017121641590087686 …",1,0,0,True,
jdahlmd,2018-07-12,18:48:22,Very grateful to have received this message while a fellow nearly 2 decades ago.  Thank you Raj Kapur https://twitter.com/marenwhymd/status/1017387088386371584 …,4,1,0,True,
jdahlmd,2018-07-12,15:27:14,Looking forward to this new location! https://twitter.com/MLabsUM/status/1017503875375489024 …,3,0,0,True,
jdahlmd,2018-07-12,14:23:38,It is a privilege to work with people far more intelligent and accomplished than I ever will be! https://twitter.com/UMichPath/status/1017488199290179586 …,3,0,0,True,
jdahlmd,2018-07-11,22:39:07,"While @hpmemphis is taking time to consider their words, issuing “no comment” - the remaining members and former members alike have hope for a new beginning after the violation of trust by Conlee and Savage. https://twitter.com/3onyourside/status/1017251021079433218 …",8,1,2,True,
jdahlmd,2018-07-11,22:23:40,"@WillowCreekCC Please, @willowcreekcc @HeatherJLarson - heed these words https://twitter.com/wad3mullen/status/1017049360033599488 …",13,0,2,True,
jdahlmd,2018-07-11,11:19:22,Looping in @UMichPath https://twitter.com/CArnold_GI/status/1017063210728546304 …,1,0,0,True,
jdahlmd,2018-07-11,10:35:32,Congratulations to Dr. Nusrat - who is both a scientist and also still provides clinical diagnostic care! https://twitter.com/UMichPath/status/1017067789901803525 …,1,0,0,True,
jdahlmd,2018-07-11,06:54:26,Great example and hitting the main points in this topic.  What say you @TeamCaptainJohn https://twitter.com/labthology/status/1016385722998280192 …,0,0,0,True,
jdahlmd,2018-07-10,21:57:09, http://www.darrellpuls.com/images/AACC_2015_Paper_NPD_in_Pastors.pdf …,6,1,1,True,
