username,date,time,tweet,likes,replies,retweets,retweet,hashtags
MLabsUM,2018-07-18,15:38:56,"Why Consistent Testing Methods Are Crucial for Liquid Biopsies: A new study helps set standards for RNA sequencing, improving standard practice and laying the foundation to move the field forward. #MichiganMedicine  https://goo.gl/yLG8Cf  pic.twitter.com/DhRo4KZToi",1,0,0,True,#MichiganMedicine
MLabsUM,2018-07-17,15:25:14,"High-Stakes Cellular Process Critical to Small Intestine Development: An intricate cellular dance during embryonic development is critical for normal bowel growth, a new Michigan Medicine study in mice finds. #MichiganMedicine https://goo.gl/ST6Pt7 ",0,0,1,True,#MichiganMedicine
MLabsUM,2018-07-12,15:20:02,The Department of Pathology and MLabs at Michigan Medicine has moved! Check us out.  https://goo.gl/Pc971y  pic.twitter.com/M35fEtehdv,6,0,2,True,
MLabsUM,2018-07-11,15:33:50,"More than 100 coroners, medical examiners, death investigators, first responders and others gathered on May 10-11 for the 9th annual Advances in Forensic Medicine and Pathology Conference. Find the conference recap here ~  https://goo.gl/pEUiVu  #ForensicMedicine pic.twitter.com/LofZkiHHwM",0,0,0,True,#ForensicMedicine
MLabsUM,2018-07-10,15:17:52,"Football Head Impact Raises Biomarkers for Brain Injury:Even without symptoms of concussion, researchers studying high school football players found two elevated biomarkers that are associated with brain injury.  https://goo.gl/QeEpKH  pic.twitter.com/irgPrbRgNq",0,0,0,True,
MLabsUM,2018-07-05,13:47:05,"Massive diagnostic testing facility opens at U-M, engineered for advanced patient care: New Clinical Pathology location serves #MichiganMedicine patients and more.  https://goo.gl/XiET9H  pic.twitter.com/WgbRZMMr2T",7,0,5,True,#MichiganMedicine
MLabsUM,2018-07-03,14:14:18,How Targeting Metabolism Can Defeat Cancer Stem Cells:New research explains why stem cells become resistant to cancer treatment and opens a clever new way to go after them. #MichiganMedicine  https://goo.gl/8fspkA  pic.twitter.com/wnBxwHTWEA,0,0,0,True,#MichiganMedicine
MLabsUM,2018-07-02,15:27:00,A Common Bacterium’s Weapon System Tied to Its Adaptability: The battle for survival makes pneumococcus a formidable foe.  https://goo.gl/7Mc6aS  pic.twitter.com/LenY5jSc2U,2,0,0,True,
MLabsUM,2018-06-29,15:32:35,What Makes Dogs Man’s Best Friend?A comparison of dog and wolf DNA reveals interesting genetics behind domestication. The new study is a step toward a deeper understanding of evolution for dogs and humans alike.  https://goo.gl/YaTdsz  pic.twitter.com/LGo2UaD3Rn,1,0,0,True,
MLabsUM,2018-06-27,14:50:40,Structural Cells Help Spread HIV Within Lymphoid Organs:U-M researchers discover that the very cells that make up lymphoid organs may help HIV spread to T cells more efficiently. #MichiganMedicine  https://goo.gl/MY1wDm  pic.twitter.com/ZK3mCw3wZZ,0,0,0,True,#MichiganMedicine
MLabsUM,2018-06-26,15:28:39,Waking Up Is Hard to Do: Reversing Deep Unconsciousness. Michigan Medicine researchers explore the role of the prefrontal cortex in wakefulness. #MichiganMedicine  https://goo.gl/4T13Yr  pic.twitter.com/RTkof066U6,1,0,0,True,#MichiganMedicine
MLabsUM,2018-06-22,10:37:20,"MLabs with Michigan Medicine’s Anatomic and Clinical Pathology Divisions are relocating to a new state of the art facility! :MLabs administrative offices will be moving to the new NCRC facility during the week of July 2, 2018.See more here:  https://goo.gl/Awuymx  pic.twitter.com/JfckS9dIWy",5,0,0,True,
drmehrarohit,2018-06-20,13:44:45,Extensive involvement of periurethral ducts by prostate cancer (intraductal growth pattern)- somewhat uncommon but classic! #prostatecancer @UMichPath #pathology pic.twitter.com/oJp8tJ3CP2,23,1,12,True,"#prostatecancer,#pathology"
MLabsUM,2018-06-20,15:52:10,What Neuroscience Tells Us About Family Separation: A psychiatrist and scientist describes what he’s observed in both the animals he studies and the traumatized children he treats. #MichiganMedicine #FamilySeparation  https://goo.gl/oF7HXm  pic.twitter.com/BeISWaDmKL,0,0,0,True,"#MichiganMedicine,#FamilySeparation"
MLabsUM,2018-06-19,15:09:39,Delivering Cancer Treatment on a Nanodisc Helps Eliminate Tumors:  The novel platform for chemoimmunotherapy eliminated colon cancer in 85 percent of treated mice. #MichiganMedicine #ColonCancer #Chemoimmunotherapy  https://goo.gl/kQWC3v  pic.twitter.com/YCuEIq4uH1,1,0,1,True,"#MichiganMedicine,#ColonCancer,#Chemoimmunotherapy"
MLabsUM,2018-06-18,13:38:18,An international study identifies inherited factors that may increase a child’s risk for developing nephrotic syndrome — and could also help target better care. #MichiganMedicine #KidneyDisease  https://goo.gl/Lx4rH7  pic.twitter.com/cwVdVVyV3c,0,0,0,True,"#MichiganMedicine,#KidneyDisease"
MLabsUM,2018-06-15,13:39:30,"An online tool designed to help people care for loved ones with dementia, and avoid or minimize the troubling behaviors that the condition can spark, has had a promising initial test run. #MichiganMedicine https://goo.gl/qrRJU2  pic.twitter.com/AEmS5h6Zzk",0,0,0,True,#MichiganMedicine
MLabsUM,2018-06-14,13:03:05,"Researchers Pinpoint New Subtype of Prostate Cancer:Tumors with alterations in the CDK12 gene were more responsive to immunotherapy, suggesting a precision medicine approach. #MichiganMedicine #ProstateCancer https://goo.gl/johxsc  pic.twitter.com/7u5v6o0pAq",1,0,0,True,"#MichiganMedicine,#ProstateCancer"
MLabsUM,2018-06-13,13:55:46,What Moms-to-Be Should Know About Prenatal Genetic Testing ~Many parents choose to know if their unborn child might have birth defects. A Michigan Medicine genetic counselor explains the tests that can inform them.  https://goo.gl/vVFuoS  pic.twitter.com/bvQ7ePbHsh,0,0,0,True,
MLabsUM,2018-06-11,14:42:35,Probing Why Cancer Outcomes Are Worse for Minority Kids:A new multi-institutional project is studying cancer biology and care to identify why minority children have worse cancer outcomes compared to their white peers.  https://goo.gl/jcD4uq  pic.twitter.com/9IAMkWazZ5,0,0,0,True,
MLabsUM,2018-06-07,11:19:22,"Informatics and imaging are changing pathology Learn more about the Pathology Informatics Summit 2018, which was held May 21-24 in Pittsburgh, PA. Learn more here:  https://goo.gl/j3LyFL  pic.twitter.com/tyFGkQJrdw",3,0,1,True,
MLabsUM,2018-06-07,11:17:34,"Informatics and imaging are changing pathology Learn more about the Pathology Informatics Summit 2018, which was held May 21-24 in Pittsburgh, PA. Learn more here: https://goo.gl/j3LyFL ",0,0,0,True,
PMWCintl,2018-06-06,13:30:08,"#PMWC18, 2:30pm, Track 1: Arul Chinnaiyan @UMich explains the application of integrative #sequencing for #precisiononcology#URecord #PrecisionMedicine https://www.pmwcintl.com/arul-chinnaiyan-2018mich/ … pic.twitter.com/FQetNpl5Pe",7,0,4,True,"#PMWC18,#sequencing,#precisiononcology,#URecord,#PrecisionMedicine"
MLabsUM,2018-06-05,12:23:05,Researchers identify a lncRNA that provides insight into a key driver of prostate cancer — and a potential target for future therapy.  https://goo.gl/egEgvy  pic.twitter.com/wFe8RpDY9t,0,0,0,True,
jdahlmd,2018-06-01,11:22:35,Very proud to see our own @sska_path highlighted @UMichPath @umichmedicine https://twitter.com/ASCP_Chicago/status/1002243110204821506 …,4,0,3,True,
MLabsUM,2018-05-31,15:10:09,"While gut bacteria have been credited with boosting the body’s immune system, bacteria in the lungs may play a more direct role in protecting their own backyard.  https://goo.gl/Z4hoqF  pic.twitter.com/2VxyemHeU8",0,0,0,True,
MLabsUM,2018-05-29,12:51:27,Researchers identify a lncRNA that provides insight into a key driver of prostate cancer -- and a potential target for future therapy. Arul M Chinnaiyan MD   https://goo.gl/qN8sXj  pic.twitter.com/CFrSmSaNe9,7,0,2,True,
UMichPath,2018-05-29,07:56:41,Dr. Ulysses Balis was awarded the 2018 API Lifetime Achievement Award for his exemplary support and tireless work on behalf of the field of Pathology Informatics. Read more about his award and the strong #UMichPath presence at the conference here:  https://www.pathology.med.umich.edu/news/605  pic.twitter.com/NVdb2Ga4re,9,0,4,True,#UMichPath
MLabsUM,2018-05-24,13:08:59,"A Cascade of Immune Processes Offers Insights to Triple-Negative Breast Cancer: Researchers have discovered the process that allows immune suppressor cells to develop, suggesting a potential new way to bolster immunotherapy treatment. #BreastCancer  https://goo.gl/ZS6Bqy  pic.twitter.com/TzKhaVF1ys",0,0,0,True,#BreastCancer
MLabsUM,2018-05-23,11:58:29,Unsure About tPA to Treat Stroke? Call an Expert.  https://goo.gl/mJSLBD  pic.twitter.com/lyOaU18D5w,0,0,0,True,
UMichPath,2018-05-23,08:01:09,"It's almost time for us to move into our new space at NCRC! We're having an open house next Friday and..YOU'RE INVITED! Join us and tour @umichmedicine 's first full-scale Lean Facility Design project.📆: June 1⌚️: 3-5pm 📍: Lobby, Bldg 32🔗:  http://bit.ly/2x8IvHK  pic.twitter.com/NUfKYbfcNk",12,0,5,True,
MLabsUM,2018-05-22,12:59:29,How Nurses Influence and Excel in Academic Research.  https://goo.gl/dj9qUf  pic.twitter.com/MRZuWQnCOw,0,0,2,True,
MLabsUM,2018-05-18,13:51:59,Flu Virus Evolution Can Be Unexpectedly Slow and Inefficient~Where will the next seasonal flu virus come from? Michigan researchers look at how the virus evolves inside sick people for clues.  https://goo.gl/6Kqt1L  pic.twitter.com/2nr1qHgm1p,0,0,0,True,
MLabsUM,2018-05-16,15:46:23,Cellphones at Summer Camp: Research Explores the Effects and A new study probes the benefits and drawbacks of digital media use among child and teen  http://campers.goo.gl/spNEcm  pic.twitter.com/h6uKi72gbD,0,0,0,True,
MLabsUM,2018-05-15,14:47:40,"OSA in Older Adults: Often Present, Seldom Investigated:Research finds that more than half of Medicare beneficiaries have a high risk of obstructive sleep apnea, but few have been assessed for the sleep disorder.  http://goo.gl/XVFmgr  pic.twitter.com/iDghKu9uOD",0,0,0,True,
MLabsUM,2018-05-14,14:56:01,How Signals Get Inside Cancer Cells and Spur Aggressive Growth: A surprising finding explains how a crucial cancer gene impacts cell signaling to drive cancer growth.  http://goo.gl/2dNQ6A  pic.twitter.com/DjN6B1m3z1,2,0,0,True,
MLabsUM,2018-05-08,09:51:12,"Blocking the Molecular Source of Idiopathic Pulmonary Fibrosis.Successfully tested in mice, targeted drug and gene therapies might one day benefit patients with a deadly lung disease, new U-M research finds. #MichiganMedicine #IdiopathicPulmonaryFibrosis  https://goo.gl/Yx2sGw  pic.twitter.com/zNoz1vk2lW",3,0,0,True,"#MichiganMedicine,#IdiopathicPulmonaryFibrosis"
MLabsUM,2018-05-03,11:25:48,"Medication for diabetic eye disease is crucial, but it’s hard to tell in advance when and how often patients might need it. New research aims to provide insight. #MichiganMedicine  https://goo.gl/gwVBh4  pic.twitter.com/yK8EZp70hH",1,0,0,True,#MichiganMedicine
