username,date,time,tweet,likes,replies,retweets,retweet,hashtags
UM_OHEI,2018-07-10,13:16:21,"Compared with the general population, few physicians have disabilities. But don't tell that to one @umichmedicine doctor, @Okanlami, M.D., M.S. Learn more about @UM_OHEI's very own inspiring director of medical student programs here!  #DisabusingDisability  https://www.mmheadlines.org/2018/07/disabusing-disability-a-doctors-paralyzing-injury-brings-new-perspective/?utm_campaign=Newsletter&utm_source=Newsletter_20180710&utm_medium=email …",6,0,0,True,#DisabusingDisability
_UMGHDI,2018-07-15,12:25:51,This week students started their clinical immersion at Komfo Anokye Teaching Hospital in Kumasi Ghana! They will be working with students from @_KNUST_  to identify and define unmet needs in #MaternalHealth and #emergency medicine that can be addressed with #design. #globalhealth pic.twitter.com/OUFPrgP7s3,8,0,5,True,"#MaternalHealth,#emergency,#design,#globalhealth"
Okanlami,2018-07-14,20:13:24,"@TheRock @mat_fraser I’d love to discuss this (and our work/plans @UMich, @umfamilymed, @UM_OHEI, & @umichmedicine) with Mat, Dwayne, @JayRuderman, or anyone at @RudermanFdn or @FordFoundation. #DisabusingDisability #DocsWithDisabilities",2,0,1,True,"#DisabusingDisability,#DocsWithDisabilities"
Okanlami,2018-07-18,02:43:39,Looking forward to being part of this interview day representing @UM_OHEI. “It’s great to be a Michigan Wolverine!” #GoBlue @umichmedicine @UMichMedAdmiss https://twitter.com/umichmedadmiss/status/1018928222216605697 …,3,1,1,True,#GoBlue
Okanlami,2018-07-14,22:23:02,You are on a roll soon-to-be Dr. @tsaiduck77! I will be giving Grand Rounds at Brown in October. Would love to connect while I’m there if you are around. @UM_OHEI @umichmedicine https://twitter.com/tsaiduck77/status/1017140599475064837 …,1,1,1,True,
UM_OHEI,2018-06-21,13:16:02,"Following a transformative experience volunteering in Haiti after a devastating earthquake, Yolaine Civil, M.D., had ambitions to make a difference in Africa. Read about this recent Fulbright Scholarship recipient's journey in @umichmedicine's #Headlines:  https://www.mmheadlines.org/2018/06/a-global-scholar-fulbright-recipient-tackling-health-disparities-in-africa/?utm_campaign=Newsletter&utm_source=Newsletter_20180621&utm_medium=email …",2,0,1,True,#Headlines
MeeksLisa,2018-07-13,06:10:33,Kudos to Nicole Agaronnik for her valuable contribution to JAMA and Medicine! Using Wheelchair Ballroom Dance in Disability Education  https://ja.ma/2LaKkX1  #DocsWithDisabilities #AccessInMedEd,8,0,4,True,"#DocsWithDisabilities,#AccessInMedEd"
drcheritweets,2018-07-12,17:34:26,"@StacyCJones @fullerenes @Okanlami @CheriBlauwetMD @LoggheMD @DisabilityFdn @DisVisibility @Diversability @LurieInstitute @CAPD_ca @PamLiaoMD @UM_IHPI @UM_OHEI @umichmedicine @umfamilymed @MeeksLisa Thanks for creating #DocsWithDisabilities ! I was diagnosed with a mental health disability during my residency and have had a rough ride of it since then- neither my program nor I knew what to do in terms of accommodation and support. Good to see other, positive stories.",22,1,7,True,#DocsWithDisabilities
Okanlami,2018-07-14,20:15:58,"Thank you for this. I’d love to discuss this, and our work/plans @UMich, @umfamilymed, @UM_OHEI, & @umichmedicine with @TheRock @JayRuderman, or anyone at @RudermanFdn or @FordFoundation. #DisabusingDisability #DocsWithDisabilities #DisabilityIsDiversity https://twitter.com/jayruderman/status/1017427606533279746 …",12,0,4,True,"#DisabusingDisability,#DocsWithDisabilities,#DisabilityIsDiversity"
tsaiduck77,2018-07-12,12:17:37,"It's painful to watch inspiring people feel doubt about being their entire, beautiful selves. Recently, @BostonGlobe, @natlwc4bl, & @guardian wrote abt #diversity in healthcare. But what abt inclusion? It's time for D&I offices to earn their ampersand. https://blogs.scientificamerican.com/voices/diversity-and-inclusion-in-medical-schools-the-reality/ …",46,1,23,True,#diversity
Okanlami,2018-07-14,22:04:15,"This was wonderfully written. The stories shared in this piece are unfortunately still realities in many (most) places. We, @umichmedicine, @umfamilymed, & @UM_OHEI are working to change that. Thank you for your work @tsaiduck77. https://twitter.com/tsaiduck77/status/1017457968198176768 …",4,0,2,True,
