username,date,time,tweet,likes,replies,retweets,retweet,hashtags
Drug_Free_Sport,2018-07-17,09:34:06,"Going from eating at home to eating at college can be tough. With our athlete friendly recipes on AXIS you can find something to eat whether you live in an apartment or a dorm!Log in to AXIS then visit the ""Athlete Recipes"" tab to find delicious & healthy recipes! pic.twitter.com/KuCltsqKEt",17,0,15,True,
Aths_Connected,2018-07-16,09:05:26,Do what makes you happy. #MondayMotivation pic.twitter.com/krFySJxRS4,10,0,3,True,#MondayMotivation
UMichAthMed,2018-06-24,12:50:24,Some collaboration between our past years fellows and new fellows during our continuing education training this past week. pic.twitter.com/5Fs7Eqv98m,9,0,0,True,
UMichAthMed,2018-06-24,11:30:28,"Join us in welcoming our post-grad fellows for the 2018-19 year! L to R:  Cody Zink (AT/T&F), Beca Maynor (AT/aquatics), Dana Friske (AT/rowing), Jessica Reitmeyer (AT/tennis), Kayleigh Best (nutrition), Allison Corcino (AT/T&F) and Mario Rusnak (strength & conditioning). pic.twitter.com/Oe7oCYWsfn",51,1,5,True,
UMichAthMed,2018-06-22,13:11:20,"Congratulations to Michigan alumnus Jim Berry, selected as 2018 Most Valuable AT by Training & Conditioning! pic.twitter.com/J7BSh8poaz",17,1,1,True,
UMichAthMed,2018-06-22,12:58:04,"Really thankful that Don Reordan from Mulligan Concept took the time over the last two days to teach the Lower Quarter Course. Very lucky to be able to host this course for our staff, come back any time @mcta_DRus ! #GoBlue pic.twitter.com/o4BQubzMeL",20,0,2,True,#GoBlue
UMichAthMed,2018-06-02,20:11:13,Michigan Special Olympics 2018! What a blast this weekend was for former and current staff and students. Thanks to those who attended! #SpecialOlympics50 pic.twitter.com/vjQLczIKxv,29,1,1,True,#SpecialOlympics50
UMichAthMed,2018-05-31,13:09:56,"Starting off the mid afternoon session with Meniscus Injury Management, presented by Dr. Asheesh Bedi.",4,0,0,True,
UMichAthMed,2018-05-31,09:11:33,"Picking up our mid morning session with one of our favorite people, and we're lucky to have had him on campus often, Dr. Hainline. He is starting the trend of wellness talks. (NCAA, NHL, NFL)",6,0,1,True,
UMichAthMed,2018-05-31,08:20:33,"Closing the early morning sessions with a Go, No Go panel discussion with a phenomenal group (Bedi, Kuhn, Freehill, Altcheck) pic.twitter.com/KQPDjqM7J5",9,0,2,True,
UMichAthMed,2018-05-31,07:32:51,"We're underway with this year's symposium, looking forward to what's on tap this year! pic.twitter.com/XZqdse1Dw0",14,0,1,True,
UMichAthMed,2018-04-21,22:57:01,"Happy Birthday Bill Shinavier, Senior Associate Athletic Trainer.  We hope you had a great birthday, and want to thank you for dedication and service to @umichsoccer team. pic.twitter.com/x7dWf8Ujrm",28,0,0,True,
UMSAATC,2018-04-17,19:28:46,Enjoy your STRUGGLE ~ Phil Johnson. #athleticmedicinebanquet,4,0,1,True,#athleticmedicinebanquet
UMichAthMed,2018-04-17,13:58:04,"As the year comes to an end we are treated to a couple traditions in our department. Yesterday was the annual SAHW Clinical Symposium. Our GAs and Fellows get to show off, and this year the theme was Recovery. We get to formally thank them and our ATS this evening at our banquet. pic.twitter.com/g1pzF3Ykkh",12,0,2,True,
UMichAthMed,2018-04-13,19:13:08,Happy Birthday to Senior Associate Athletic Trainer Jeremy Marra. Our staff is thankful for your leadership and dedication to all student athletes. pic.twitter.com/AIqfveudl4,48,0,5,True,
UMichAthMed,2018-04-04,10:12:55,"Wishing a very Happy Birthday to our fellow with track & field, Reynaldo! Thanks for all you do for us! pic.twitter.com/4n4yXmiu9R",41,0,2,True,
UMichAthMed,2018-03-31,16:26:46,"A hard working group of athletic trainers who work long, hard hours to keep  @UMichFootball on the field.  #TheTEAM #GoBlue https://twitter.com/umichfootball/status/980124462342340613 …",27,0,1,True,"#TheTEAM,#GoBlue"
UMichAthMed,2018-03-30,21:04:35,"Hey we know them!!!!  Thank you @umichrowing for the shout out, we sure like them too! https://twitter.com/umichrowing/status/979727222264270849 …",6,0,0,True,
UMichAthMed,2018-03-30,09:56:46, pic.twitter.com/b6w3kaoX1r – at Knockerball,11,0,1,True,
UMichAthMed,2018-03-30,09:56:44,"Studies show that if you place athletic trainers in athletic competition settings, DOMS will last much longer then 2 days. To celebrate #NATM2018 our staff enjoyed some “friendly” games of knockerball. Good news, we all passed concussion testing! @NATA1950 pic.twitter.com/oNA9pILzqh – at Knockerball",120,3,9,True,#NATM2018
UMichAthMed,2018-03-29,13:33:37,Happy Birthday to our colleague athletic trainer Vahan Agbabian. Thanks for all the work that you do for the student athletes at UM. pic.twitter.com/galrsgvkyA,210,2,32,True,
UMichAthMed,2018-03-28,10:32:32,Sign up now as spots are filling up quickly! A great chance to learn from some of the leading experts around. https://www.eventbrite.com/e/sports-medicine-symposium-head-shoulders-knees-and-toes-tickets-41998695228?aff=eac2 … pic.twitter.com/XPUlw1kODW,7,1,6,True,
Aths_Connected,2018-03-28,08:34:37,Good morning! We hope everyone takes advantage of the great #mentalhealthawareness events around campus today. We're proud to be a part of the yoga session tonight at Oosterbaan.  http://whocanrelate.org/events  #BreakTheStigma #EndTheStigma pic.twitter.com/GpIWZa9x1P,11,0,6,True,"#mentalhealthawareness,#BreakTheStigma,#EndTheStigma"
umichhockey,2018-03-24,18:04:03,"MICHIGAN WINS!! Wolverines advance to the 2nd Round, and we’ll face Boston University here tomorrow.#GoBlue pic.twitter.com/wIxnKS41JA",2881,33,922,True,#GoBlue
UMichAthMed,2018-03-23,14:38:24,"If you want to know what makes Michigan the Leaders and the Best, here’s a great example of how collaboration between staff athletic trainer @lmhatc and @UMengineering  came together for the betterment of the student athlete.  @NATA1950 #NATM2018 https://twitter.com/umichwgym/status/977229374930989057 …",14,0,6,True,#NATM2018
UMichAthMed,2018-03-17,20:22:32,"Happy Birthday to Senior Associate AD and Chief Health & Welfare Officer, Darryl Conway! Yesterday Darryl presented on pharmacological agents in the pre-hospital patient. @MichATSociety @D4updates pic.twitter.com/zF69HJiUeT",40,0,2,True,
UMichAthMed,2018-03-12,13:06:56,"Finalized times and dates have been set for our spring symposium! We have leading physicians from across the country coming to speak and educate our audience on various orthopedic, neurology, and sports medicine topics. Visit  http://medsport.eventbrite.com  for registration and details. pic.twitter.com/sLns8mESIR",20,0,12,True,
CATA_AT,2018-03-01,13:54:05,"Dr. James Andrews is one of the founding members of the Andrews Sports Medicine and Orthopedic Center in Birmingham, Alabama.  Dr. Andrews has been a great supporter of athletic training.  He knows what he is talking about.#NATM2018 https://www.youtube.com/watch?v=HzO1n_B3jhE&feature=youtu.be …",30,1,12,True,#NATM2018
