username,date,time,tweet,likes,replies,retweets,retweet,hashtags
HeyDrNik,2018-07-17,08:29:05,"Thanks to @doctoRoblivious for opening his house up to us for our monthly Ultrasound Research Group! Excellent food, excellent company, and research accountability! @UMichiganEM pic.twitter.com/dusX06bE2Q",6,1,1,True,
SAEMEBM,2018-07-13,14:21:01,@StrohCunningham Derived at 2007 @AcademicEmerMed Consensus Conference on Knowledge Translation  https://www.ncbi.nlm.nih.gov/m/pubmed/17967963/ … @SAEMonline @SAEM_RAMS @EddyLang1 @AEM_ETOnline @klinelab @WUSTL_EM @UMichiganEM @UCLAEMRes @MassGeneralEM @ProfBEEM @EBMplus @ImplementSci @ImplementCollab @MoAcep @ENAorg,3,0,3,True,
CHsu1012,2018-07-11,20:43:30,Check out the newly published 2nd Edition @emresidents Fellowship Guide. Congrats to @Krystle0905 for spearheading this tremendous effort again! @UMichiganEM @acepccmsection #EMRACritCare https://twitter.com/emresidents/status/1017133753653776384 …,9,0,3,True,#EMRACritCare
LHopson13,2018-07-06,10:46:23,Resus in the resident room? ⁦@UMichiganEM⁩ pic.twitter.com/Hhswb5v6rG,15,2,1,True,
CharmsFitDoc,2018-07-11,11:25:08,Learning from Dr Brian Fuller @UMichiganEM resident conference. Very interesting. #EM #EmergencyMedicine #residentconference #CME #lifelonglearning #scienceiscool #ventilationmanagement #MedEd #didactics pic.twitter.com/sH3bEnk6tM,4,0,2,True,"#EM,#EmergencyMedicine,#residentconference,#CME,#lifelonglearning,#scienceiscool,#ventilationmanagement,#MedEd,#didactics"
acepccmsection,2018-07-11,13:09:41,Interested in developing an ED-ICU in your department? Check out our #ACEP18 pre-conference workshop featuring @JohnGreenwoodMD from @UPennEM @KyleGunnerson @UMichiganEM & others! More info here:  https://www.acep.org/acep18/education/pre-conference-courses/#sm.0001pq72wpnegff9uzz1atp4bfjkv …,11,0,9,True,"#ACEP18,#sm"
JohnGreenwoodMD,2018-07-11,13:30:22,"Want to build an ED-ICU? Register for #ACEP18 Precon with nat'l leaders @UMichiganEM EC3 @UPennEM ResCCU @StonyBrookEM RACC, @StanfordEMED, & @MassGeneralEM Teaching you HOW to create a needs assessment, operations, billing, educational, & c-suite plan!  https://www.acep.org/acep18/education/pre-conference-courses/#sm.0001vp9f8qk7hdjzy4w1bu45n2bnx … pic.twitter.com/4esZwd9XBn",32,1,22,True,"#ACEP18,#sm"
UMichiganEM,2018-07-11,13:48:07,"Thank you, Dr. Brian Fuller, for an exceptional grand rounds presentation. Lung protection: chain of survival. Active management of the ventilator in the Emergency Department setting – knowledge gaps, variations, benefits, and how to operationalize. @WUSTL_EM",9,0,1,True,
LHopson13,2018-07-11,12:40:57,With appreciation to Brian Fuller @WUSTL_EM for his outstanding grand rounds on importance of lung protective ventilation strategies in the ED. @UMichiganEM,9,0,1,True,
UMichiganEM,2018-07-11,10:10:21,PGY2 Patrick Larabell discussing Rapid Fire Radiology - Acute Low Back Pain pic.twitter.com/MBEHiaEWVB,3,0,0,True,
UMichiganEM,2018-07-11,09:28:40,Welcome to our new interns! The first #EMConf of the year #DidacticsRevolution,8,0,2,True,"#EMConf,#DidacticsRevolution"
MBaker911,2018-07-02,08:06:37,Honored to be sharing a first day with so many enthusiastic interns. Their excitement was infectious through the emergency center. Thanks for a great day! @UMichiganEM,9,0,3,True,
hejewell,2018-06-28,07:54:33,"Proud to be a part of this great program that is changing the way we think about and treat Traumatic Brain Injury. Philanthropy can be a powerful thing and when done well, can create real change in the work that we live -  https://vimeo.com/276266188  @umichmedicine @UMichiganEM",9,0,3,True,
amnichol57,2018-06-28,07:30:10,@UMichiganEM @beakerdan Dr. Mattimore needs his own twitter handle for all of the pearls that are constantly dropped.,4,0,1,True,
beakerdan,2018-06-27,09:32:37,"Treating hyperkalemia is a shell game, you're playing ""Hide the Potassium"" @hapnerC @UMichiganEM #emconf #FOAMEd pic.twitter.com/2j6eMY82dy",9,1,6,True,"#emconf,#FOAMEd"
willmeurer,2018-06-25,09:31:45,"@emlitofnote @GitaPensaMD @SketchyEBM @DDxDino @AliRaja_MD @SAEMEBM @TheSGEM @SAEMonline @EMCases @AcademicEmerMed How much of a copayment for a head CT would you pay if you, yourself had a head injury with loss of consciousness, and 2 episodes of vomiting, but your exam now at 2 hours is normal with persistent moderate headache @Jonporath @UMichiganEM @kekocher (scenario not tested in paper)",7,5,6,True,
emresidents,2018-06-20,14:34:35,"There are no hard and fast rules for therapeutic thoracentesis in the ED - but John Joseph, Mary Haas & Ivan Co some best practices. @UMichiganEM Article: https://www.emra.org/emresident/article/thoracentesis/ …",4,1,3,True,
UMichiganEM,2018-06-20,20:29:39,Should you use antibiotics in addition to I&D of abscesses? Read our latest journal club summary on #WolverEM to find out!  https://wp.me/p8gBpi-9k  Thanks @ratherbclimbEM and JC crew for a great summary! #GoBlue,1,0,2,True,"#WolverEM,#GoBlue"
willmeurer,2018-06-18,18:47:38,@NIH @UMichResearch Here is an example of a project funded by @nih @NIMHD that we will be starting soon!  https://labblog.uofmhealth.org/health-tech/how-text-messaging-could-help-tackle-high-blood-pressure-at-risk-patients … #flint #NIHInYourState @UMichiganEM https://twitter.com/umichresearch/status/1008692093882175490 …,3,0,3,True,"#flint,#NIHInYourState"
kekocher,2018-06-13,12:42:09,"Ahh, the return of Ebola season... Our intrepid chair @neumar_robert @UMichiganEM taking one for the team demonstrating the art of #donning and #doffing pic.twitter.com/dRlNI8tN6H",14,1,1,True,"#donning,#doffing"
mtakecover,2018-06-09,10:16:33,Don't bring a butterknife to a swordfight. Thank you @doctoRoblivious @rosskess @HeyDrNik @UMichiganEM for your excellent mentorship and for the wonderfully absurd US fellowship graduation gifts. Engraved sword >>> diploma. pic.twitter.com/Rqr1jKzomR,36,0,8,True,
LHopson13,2018-06-08,20:41:55,Congratulations to the 2018 graduates! @UMichiganEM pic.twitter.com/PeEUwTlhpy,41,1,11,True,
kekocher,2018-06-08,20:40:43,Best moment of the @UMichiganEM calendar — congratulations to all the awesome EM4 graduates and best of luck in the next step of your bright futures! pic.twitter.com/sylusfOCBv,12,0,2,True,
HayleyWardEMMD,2018-06-08,08:01:18,@UMichiganEM at University of Michigan Leadership Summit for Women in Academic Medicine listening to @tdufu talk Dropping the Ball #wolverEMwomen pic.twitter.com/mX7UENzhz2,2,0,1,True,#wolverEMwomen
