username,date,time,tweet,likes,replies,retweets,retweet,hashtags
umhsENT,2018-01-05,15:34:19,Listen to the full interview with Kresge Hearing Researcher Dr. Susan Shore on Sunday at 2 p.m. on @MichiganRadio https://twitter.com/scifri/status/949380188625952769 …,1,0,0,True,
umichmedicine,2018-01-05,08:25:02,"TODAY on @scifri: Listen to Dr. Susan Shore of @umhsENT talking about her team's #tinnitus research, live at 3:40 p.m. ET online (or listen Sun. at 2 on @MichiganRadio):  http://michmed.org/En7RB  pic.twitter.com/ULm47R8dxm",11,1,3,True,#tinnitus
umhsENT,2018-01-04,10:15:39,Researchers at our Kresge Hearing Research Institute are making strides to develop a device that could help millions of Americans suffering from #tinnitus https://twitter.com/umichmedicine/status/948634072254959616 …,3,1,0,True,#tinnitus
umhsENT,2017-11-30,12:14:35,"Successful and accomplished residents, faculty and alumni who continue to exceed the highest standards of patient care, education and research #BlackMenInMedicine @DrCharlesBoyd @DrMonteHarris https://twitter.com/UM_OHEI/status/936293376432967681 …",1,0,0,True,#BlackMenInMedicine
umhsENT,2017-11-30,12:11:05,Diversity makes us all stronger #BlackMenInMedicine https://twitter.com/UM_OHEI/status/936292785736572929 …,2,1,0,True,#BlackMenInMedicine
umhsENT,2017-11-28,15:15:58,"Are you passionate about programs that prepare ENT residents to exceed the highest standards of patient care, like our annual Simulation Boot Camp? Click here to give:  http://victors.us/2xIwog7  #GivingBlueday pic.twitter.com/6k8lJ0yAqY",0,0,0,True,#GivingBlueday
umhsENT,2017-11-28,09:27:55,"Are you passionate about research that translates from the lab to the bedside, like finding new causes and treatments for hearing loss? Click here to give:  http://victors.us/2xIwog7  #GivingBlueday pic.twitter.com/8UCTCZokui",0,0,0,True,#GivingBlueday
umhsENT,2017-11-28,08:06:35,"Are you passionate about patient care that transcends precedent, like novel treatment options for patients with #microtia? Click here to give all day:  http://victors.us/2xIwog7  #GivingBlueday pic.twitter.com/SrsbqfrOMK",0,0,0,True,"#microtia,#GivingBlueday"
umhsENT,2017-10-26,10:22:43,Congratulations to Drs. Jenna Devare and Carl Truesdale for their proposal accepted for @acgme #BacktoBedside initiative! #leadersandbest https://twitter.com/acgme/status/923550424279519240 …,14,1,4,True,"#BacktoBedside,#leadersandbest"
umhsENT,2017-10-20,09:33:22,Dr. David Zopf talks #pediatric otolaryngology and #3Dprinting at Michigan Medicine: http://www.undifferentiatedmedicalstudent.com/ep-057-pediatric-otolaryngology-with-dr-david-zopf/ …,2,0,1,True,"#pediatric,#3Dprinting"
umhsENT,2017-10-19,10:33:10,"#Tbt On Oct. 7, when 126 Wolverines and Spartans gathered to support @ScottAMcLean and the Victors Melanoma Research Team. #GoBlue pic.twitter.com/gE22AGCUm7",2,0,1,True,"#Tbt,#GoBlue"
umhsENT,2017-10-13,10:11:59,Recent research from rhinologist suggests #Coblation may not be preferable to a #Tonsillectomy. Read more:  http://michmed.org/EPKqv  https://twitter.com/MHealthLab/status/918839444823613441 …,2,0,2,True,"#Coblation,#Tonsillectomy"
umhsENT,2017-09-28,10:01:10,"There is still time to join us and @ScottAMcLean for the ""Tailgate to Tackle Melanoma!""  http://bit.ly/2g1qrG5  pic.twitter.com/i69Z6bY1DU",0,0,0,True,
umhsENT,2017-09-19,09:36:45,"This fall, @ScottAMcLean is teaming up with former U-M football captain to tackle melanoma. Read more:   http://bit.ly/2hd7Ice  pic.twitter.com/1BhHJHkDOH",10,3,7,True,
umhsENT,2017-09-04,12:50:21,"Happy #LaborDay to those who spend their careers providing expert care, advancing research and training the next generation of leaders! pic.twitter.com/oAkii9RAyF",3,0,1,True,#LaborDay
umhsENT,2017-08-24,08:38:54,"News to Use: Summer 2017 News and Notes, highlighting recent advances and accomplishments in Michigan OTO-HNS.  http://bit.ly/NewsandNotes  pic.twitter.com/nYWB6l9iJn",3,0,1,True,
umhsENT,2017-08-21,13:56:35,We had a pretty impressive crowd gather outside clinic for the #SolarEclipse2017 pic.twitter.com/1EBSsismHw,3,0,1,True,#SolarEclipse2017
umhsENT,2017-08-08,07:57:02,"Thanks to the innovation and excellence of our employees, we are now #6 in the nation for ear, nose and throat care! #LeadersandBest pic.twitter.com/GchAD6aJVz",6,0,5,True,"#6,#LeadersandBest"
umhsENT,2017-07-27,08:13:47,Thank you to the incredible team of dedicated physicians in our Division of Head and Neck Oncology #WhNCDay2017 @UMCancerCenter pic.twitter.com/bV97oyo3ab,5,0,6,True,#WhNCDay2017
umhsENT,2017-07-22,13:14:30,"""No, you be the attending."" #Simulation #bootcamp #otolaryngology pic.twitter.com/1gqh3c6LBp",4,0,0,True,"#Simulation,#bootcamp,#otolaryngology"
umhsENT,2017-07-22,11:36:16,That's one good looking group of ENT surgeons #otolaryngology #simulation #boot camp pic.twitter.com/wuyuUZoDQs,3,0,1,True,"#otolaryngology,#simulation,#boot"
umhsENT,2017-07-22,08:17:15,Our simulation boot camp is officially underway! #otolaryngology #Simulation pic.twitter.com/dX9XqW6Qet,8,0,2,True,"#otolaryngology,#Simulation"
umhsENT,2017-07-19,11:56:19,"Welcome our newest pediatric ENT surgeon, Dr. Aaron Thatcher! #LeadersAndBest #pediatrics #Otolaryngology pic.twitter.com/SunDi5QWj1",2,0,0,True,"#LeadersAndBest,#pediatrics,#Otolaryngology"
umhsENT,2017-07-13,09:10:16,#tbt 2013 #otolaryngology #simulation Boot Camp with Drs Zacharek and Harvey. Sign up to be a guest instructor here:  http://bit.ly/2017ORLBootcamp  pic.twitter.com/Y46yaI4mgf,0,0,0,True,"#tbt,#otolaryngology,#simulation"
