username,date,time,tweet,likes,replies,retweets,retweet,hashtags
umich_MJM,2018-05-17,13:23:47,"We are proud to announce the release of our third issue of the Michigan Journal of Medicine! All written, reviewed, and edited by @umichmedicine students! Overseen by Editors-in-Chief @dcron09 and @joseph_linzey. Thank you to all who made this possible! #MedEd pic.twitter.com/cSntWe1LuA",23,1,15,True,#MedEd
umich_MJM,2018-05-17,14:13:24,Direct link is here:  https://tinyurl.com/yac557ry ,2,0,1,True,
dcron09,2018-05-17,12:56:51,Michigan Journal of Medicine publishes third issue  http://www.mmheadlines.org/2018/05/michigan-journal-of-medicine-publishes-third-issue/?utm_campaign=Newsletter …,7,0,1,True,
dcron09,2018-05-12,19:30:26,"@UMich I am proud and humbled to graduate medical school and take the Hippocratic Oath. 3 degrees later & my time at @umich & @umichmedicine has been transformative. I am grateful for the endless support of family, friends, and mentors. Forever #GoBlue pic.twitter.com/qsiR9ugNrF",59,2,3,True,#GoBlue
tjaffe,2018-05-11,13:03:35,Great chatting with @vivek_murthy and the inaugural health policy path of excellence class prior to #commencement pic.twitter.com/3NiqIllJWz,23,1,5,True,#commencement
umich_MJM,2018-05-11,07:28:32,"A big congrats to all our graduating M4s today. Remember: wherever you go, go blue! #medschool #commencement #goblue @umichmedicine @UMichMedAdmiss @UM_IHPI @UMich pic.twitter.com/9iyy3Crh2d",44,0,10,True,"#medschool,#commencement,#goblue"
JAMA_current,2018-04-17,17:00:02,"In this week's A Piece of My Mind, researchers from @umichmedicine discuss how to #mentor #millennials. Read more  http://ja.ma/2qCJYQS  #medhumanities pic.twitter.com/LDpTvqDNje",56,0,48,True,"#mentor,#millennials,#medhumanities"
dcron09,2018-04-02,17:19:48,Gameday in Ann Arbor and @klcarrier and I got on @WOODTV! #GoBlue pic.twitter.com/1ybmOGDvOS,24,0,2,True,#GoBlue
tjaffe,2018-03-30,10:27:57,Beyond grateful for the education and mentorship both inside the classroom and out @umichmedicine @UMichMedAdmiss #gobluemed #NationalDoctorsDay – at University of Michigan Medical School,23,0,4,True,"#gobluemed,#NationalDoctorsDay"
umich_MJM,2018-03-30,10:42:44,Couldn’t have created a student-run journal without the support from our amazing faculty @umichmedicine. Big thanks to @MichaelEnglesbe and the rest of the docs in Ann Arbor! @UMichMedAdmiss #NationalDoctorsDay #gobluemed,16,0,2,True,"#NationalDoctorsDay,#gobluemed"
UM_IHPI,2018-03-22,13:34:35,"One of @Surgeon_General's medical school classmates, @drchadb now co-leads the MIchigan Opioid Prescribing and Engagement Network, aimed at helping surgeons and dentists prescribe fewer #opioids :  http://michigan-open.org/  #ihpi18",4,0,2,True,"#opioids,#ihpi18"
Gudu101,2018-03-22,12:45:30,Pumped for this lecture from @Surgeon_General!! Thanks to #ihpi18 for putting this on pic.twitter.com/3VSrBhxbBQ – at Michigan Ross School of Business,6,1,1,True,#ihpi18
Surgeon_General,2018-03-22,08:54:57,Thank you @UM_IHPI for hosting a roundtable discussion on opioids. I had an insightful conversation about the great working @UMich is doing to combat the #opioidepidemic. Together we can turn the tide on this epidemic. pic.twitter.com/ixChOy3zZy,60,0,26,True,#opioidepidemic
krchhabra,2018-03-16,14:13:39,Congrats and welcome! Can't wait to work and learn with you. @BWHSurgery #BT https://twitter.com/bwhsurgery/status/974692700925685762 …,4,0,1,True,#BT
tjaffe,2018-03-16,13:24:13,What a day! So excited to spend the next four years training in Emergency Medicine @EMRES_MGHBWH! pic.twitter.com/iMFa5a1C5l,88,10,5,True,
JAMA_current,2018-03-03,08:00:01,"What are the comparative effects of meropenem-vaborbactam vs piperacillin-tazobactam for treatment of complicated urinary tract infection, including acute pyelonephritis? Find out via University of Michigan Medical School's Keith S. Kaye, MD, MPH et al.  http://ja.ma/2BWw8zn  pic.twitter.com/XwBaF5PUXt",42,1,26,True,
RahaelG,2018-02-26,10:06:34,"Moved to tears by the bravery of the @umichmedicine students, residents, and faculty who participated in our film. Hopeful that physicians can lead the fight against stigma @AmerMedicalAssn Physicians Connected  https://youtu.be/Xtfsrqp9XH4  via @YouTube",22,0,8,True,
Mdkappy12,2018-02-26,07:24:42,Still beaming with pride and admiration for @RahaelG while re-reading her eloquent and vulnerable piece in @JAMA_current. Let's keep the conversation going.  https://jamanetwork.com/journals/jama/fullarticle/2672635 …,14,0,3,True,
tjaffe,2018-02-21,07:13:52,Woke up to a nice video from a classmate. In honor of the final day for certifying our rank list...#TheMatch #RankList #MedEd @TheNRMP @UMichMedAdmiss https://youtu.be/59Hj7bp38f8 ,8,0,2,True,"#TheMatch,#RankList,#MedEd"
VNikolian,2018-02-20,15:11:47,"Here are a few slides from my talk yesterday, discussing how #SoMe can help maximize your academic career. A lot of credit to my mentors & colleagues who have effectively integrated social media into their academic careers. #UMichSurgJC #GenSurgConsults #quickcase #VisualAbstract pic.twitter.com/UaWmGL3cvV",95,3,41,True,"#SoMe,#UMichSurgJC,#GenSurgConsults,#quickcase,#VisualAbstract"
umich_MJM,2018-02-15,12:35:39,"@UMich Courageous piece by @RahaelG, med student @umichmedicine featured in @JAMA_current regarding #depression in medical training.  https://jamanetwork.com/journals/jama/fullarticle/2672635 …. Please check out  http://physiciansconnected.org  for more information and a video by students, residents, and faculty @umich pic.twitter.com/9Tk8RCBEhx",11,0,3,True,#depression
