username,date,time,tweet,likes,replies,retweets,retweet,hashtags
umichmedicine,2018-03-29,07:38:26,Richard and Susan Rogel are on a mission to boost innovative cancer research and develop the next generation of cancer pioneers - and they are committing $150 million to the @UMCancerCenter to realize that vision:  http://michmed.org/Rogel  #ThankYouRogels pic.twitter.com/WgM0StUaDJ,76,1,16,,#ThankYouRogels
NDP1001,2018-07-18,19:49:13,A Spike In Liver Disease Deaths Among Young Adults Fueled By Alcohol https://n.pr/2L6PMyp ,8,0,8,True,
umichmedicine,2018-07-18,18:21:48,"Health experts have been cautioning about the dangers of alcohol for years, but it may take more action to discourage problem boozing, says @ebtapper and @NDP1001. https://www.nbcnews.com/health/health-news/deaths-liver-disease-are-surging-drinking-blame-n892521 …",1,0,1,,
umichmedicine,2018-07-18,18:06:19,Study by @MichiganLiver shows new generation of Americans is being afflicted by alcohol misuse. https://www.washingtonpost.com/news/to-your-health/wp/2018/07/18/alcohol-related-liver-deaths-have-increased-sharply/?noredirect=on&utm_term=.198be7ebc0f9 …,7,0,4,,
umichmedicine,2018-07-18,14:34:00,"Kenneth Jamerson, M.D., tells @readersdigest that systolic pressure of 130 mm Hg can increase your risk of stroke or heart disease up to 50 percent. Read more: http://bit.ly/2uz8GDD ",3,0,0,,
MottChildren,2018-07-18,10:08:33,Our developmental behavioral expert Dr. @jennyradesky talks to @NPR about new research that finds a link between screen time among teens and #ADHD symptoms: http://michmed.org/EOVR8 ,6,0,5,True,#ADHD
MottChildren,2018-07-18,09:12:15,Study: #Palliativecare benefits mothers of babies with high-risk heart disease:  http://michmed.org/Er93q  #CHD pic.twitter.com/EeUDM1nBZO,8,0,4,True,"#Palliativecare,#CHD"
umichmedicine,2018-07-17,20:40:18,ICYMI: Our researchers have uncovered some troubling findings about #type1diabetes and #healthinsurance gaps. Read more here:  http://michmed.org/Er9X9  pic.twitter.com/058t4yX0PV,12,0,4,,"#type1diabetes,#healthinsurance"
umichmedicine,2018-07-17,17:39:00,"Our patients are getting faster diagnoses with the most up-to-date #pathology techniques in the country, thanks to this new facility featured in @annarbornews: http://michmed.org/Qkbkv ",6,0,5,,#pathology
umichmedicine,2018-07-17,14:01:01,@UM_IHPI What makes a #healthcare team perform at its best? What can we learn from them to improve our own teams? Learn more in a July 25 #webcast from @nejmcatalyst in partnership with our @um_ihpi:  http://michmed.org/EOV08  pic.twitter.com/d533T9PgoI,3,0,3,,"#healthcare,#webcast"
EricTopol,2018-07-17,11:04:22,"So much is written about liquid biopsy DNA sequencing for #cancer, yet RNA-seq is important, w/o standardization. Credit @TewariLab @umichmedicine + 8 other lab consortium for taking the field forward https://www.nature.com/articles/nbt.4183 … @NatureBiotech pic.twitter.com/fqrHMxGmTN",87,1,47,True,#cancer
umichmedicine,2018-07-17,12:21:39,On #WorldEmojiDay we salute all who make our academic medical center great!👩🏽‍⚕️👨🏾‍⚕️👩‍⚕️👨🏿‍⚕️caring for patients in our 🏥s & clinics👩🏿‍🔬👨🏻‍🔬👨🏿‍🔬👩🏻‍🔬 making 🔬🦠🧬🧪💊 discoveriesAnd 👨‍🎓👨🏽‍🎓👩🏿‍🎓👩🏽‍🎓who will lead ⚕️tomorrow.Thank you!,42,0,18,,#WorldEmojiDay
umichmedicine,2018-07-17,11:16:16,"What are eye floaters? Five vision problems you should never ignore, explained by Dr. Sayoko Moroi in @WomensHealthMag. https://www.womenshealthmag.com/health/a22121209/eye-health-problems/ …",3,0,1,,
