username,date,time,tweet,likes,replies,retweets,retweet,hashtags
sociedadsadec,2018-07-02,13:41:45,"El 8 y 9 de noviembre se realizará el 8vo Congreso Argentino de Arritmias. Ingresá a la web para inscribirte, enviar temas libres y más: http://www.congresoarritmias.com.ar  http://www.congresoarritmias.com.ar/ ",14,0,5,True,
FSilvestryMD,2018-07-02,09:46:56,Thrilled to welcome these 8 awesome physicians to our @PennMedicine Cardiovascular Fellowship training program. Welcome to the family!! #penncardiology #ACCFIT #timetogetontwitter #futureleaders pic.twitter.com/yOam3e3L0x – at Perelman Center for Advanced Medicine,61,5,8,True,"#penncardiology,#ACCFIT,#timetogetontwitter,#futureleaders"
DrFerminGarcia,2018-06-24,14:04:47,D. Marchlinski with @DavidBriceno_EP and @DrFerminGarcia  Vamos Colombia !! @drluissaenz @DRDIEGOQRS @JorgeERomeroMD pic.twitter.com/0iyUNIHAbq,55,5,9,True,
andresenriqueza,2018-06-23,14:33:44, https://www.heartrhythmcasereports.com/article/S2214-0271(18)30036-8/fulltext …,24,0,6,True,
DrRoderickTung,2018-06-22,16:17:27,An awesome day at work when you have Frank Marchlinski visiting @UChicagoMed ! #ablateVT pic.twitter.com/gfdWfVmKSt,74,1,9,True,#ablateVT
DrFerminGarcia,2018-06-17,14:09:17,Happy Father’s Day to all from Philadelphia! pic.twitter.com/QLFyTIUmJu,64,5,1,True,
DrFerminGarcia,2018-06-13,08:25:55,This morning had the honor of Dr Victor Bazan enlightening us with his lecture on unipolar mapping. Excellent job my friend!! @rdschaller @CMTschabrunn @GrauNria pic.twitter.com/oKvTzjeUrq,63,5,13,True,
MichaelParmacek,2018-06-08,17:05:29,@pennmed The nation's first Department of Medicine celebrates another class of graduating residents! @MichaelParmacek @PennMed pic.twitter.com/ezHIClz340,40,0,4,True,
narrowQRS,2018-06-03,13:35:44,"@BSCCardiology @charlesjlovemd @KennethEllenbo1 @Ed_Gerst @Zo_EP2 @DrFerminGarcia @drsuneet And the ability to submit questions real-time to the moderator, who can then adjudicate the questions and relay to the speaker on-the-fly. Was a huge hit with regard to lecture comprehension for the attendees!",10,1,2,True,
narrowQRS,2018-06-02,18:25:32,The EP101 course this weekend has been a tour-de-force !!! One more day to go!!Major props to Dr. Mark Estes for putting together another incredible program with amazing faculty! Including #EPeeps@DrFerminGarcia @Zo_EP2 @Ed_Gerst @KennethEllenbo1 @drsuneet @charlesjlovemd,46,5,5,True,#EPeeps
DrJCheungEP,2018-05-31,08:51:08,Two discrete RA-LA connections required targeting for right PV isolation.  Pacing was performed from posterior RSPV during mapping to avoid SVC far-field capture. Excellent discussion by @DrFerminGarcia on this topic in @CirculationEP  http://circep.ahajournals.org/content/7/6/1262 … pic.twitter.com/knJOTySjPR,36,1,20,True,
jskoruth,2018-05-30,16:05:10,Electroporation. What will it’s role be ? Good bye Point by point RF? pic.twitter.com/W1AenAWnvZ,24,4,9,True,
andreanatalemd,2018-05-29,22:03:56,@DrFerminGarcia @FSilvestryMD Totally agree,3,1,1,True,
FSilvestryMD,2018-05-29,13:52:51,"Thanks! Each imaging modalities strengths, weaknesses, and risks need to be factored in, as do imaging goals/objectives during any transcatheter procedure. We need to move beyond “I like x for y” and towards “this modality gets us where we need to be safely and effectively....” https://twitter.com/tiffchenmd/status/1001527427074543617 …",11,1,1,True,
netta_doc,2018-05-28,15:59:49,This ⤵️🛑 Non-recognition of signs of cardiac arrest🛑 AED application in only 3%🛑 CPR in only 17%🚫 No AED *or* CPR in nearly 50%Education is needed#EPeeps @HRSonline @American_Heart @ACCinTouch https://twitter.com/matthewjdouma/status/1001126015324770306 …,17,0,17,True,#EPeeps
CircAHA,2018-05-24,14:01:03,#InDepth: Use of intracardiac #ECHO in #IC: Working with the anatomy rather than fighting it. Learn more:  http://ow.ly/HkXq30k94fE  pic.twitter.com/BULmKixeKn,30,0,21,True,"#InDepth,#ECHO,#IC"
VP,2018-05-26,17:53:08,Very glad that Josh Holt is now back home with his family – where he has always belonged. Sanctions continue until democracy returns to Venezuela.,19826,1176,6785,True,
ftrae,2018-05-26,05:47:19,@MiguelVldrbno @ALFIEEP1 @DrFerminGarcia Agree 100% dilated aorta can be an issue here. We've found bipolar ablation effective in patients with similar morphology. And it can be done safely by taking a few precautions. Here's our abstract from #hrs2018  https://www.heartrhythmjournal.com/article/S1547-5271(18)30248-0/pdf … pic.twitter.com/HgxV1xA7IC,16,1,6,True,#hrs2018
OCanoPerez,2018-05-23,05:10:13,@scrnaonline @Sunnybrook @stereotaxis @aalahmadmd @EugeneCrystal2 LAD oclusion during PVC ablation at the antroseptal aspect of the RVOT a couple of years ago. Coronaries are really close! Since then always coronary angiogram in that area before burning as @DrFerminGarcia says pic.twitter.com/P1ahZaWlZ3,27,3,16,True,
