username,date,time,tweet,likes,replies,retweets,retweet,hashtags
RainaMerchant,2018-07-10,06:03:44,A Taste of Lime: Uber Invests in an Electric Scooter Company https://nyti.ms/2L5R3Bt ,0,0,0,True,
mlanefall,2018-07-09,15:52:18,Thanks so much for the invitation to speak at #RiseUCSF2018! https://twitter.com/KBibbinsDomingo/status/1016423554148020224 …,18,0,1,True,#RiseUCSF2018
NationalCSP,2018-07-09,09:20:03,Nothing but good luck this #FridayThe13th for our fifth #NCSPScholarFriday with current @ncspMICHIGAN scholar @ATaylorKelley!! Keep an eye on our account!  http://nationalcsp.org/scholars ,12,0,3,True,"#FridayThe13th,#NCSPScholarFriday"
kit_delgadoMD,2018-07-03,13:36:24,Huge congrats to @MiraMamtaniPenn and the @UPennEM residency leadership team @K_ScottMD @LaurenWConlon for landing a @CORD_EM @TheEMFoundation grant for a multi-center study of #gender bias in EM resident evaluations.  @PennMedNews @PennLDI #FOAMed @SAEMonline https://twitter.com/CORD_EM/status/1013847184700248069 …,32,0,6,True,"#gender,#FOAMed"
RainaMerchant,2018-07-04,08:00:19, https://www.nytimes.com/2018/07/03/technology/cambridge-artificial-intelligence.html …,0,0,0,True,
RainaMerchant,2018-07-03,06:25:15, https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2685091 …,1,0,0,True,
StaceyKallem,2018-07-02,07:53:21,"After 4 years of med school plus an extra year of research, 3 years of residency, & 2 years of fellowship, today I start my first real job at @PolicyLabCHOP and @PHLPublicHealth!",53,4,2,True,
Penn_MSHP,2018-07-02,15:01:17,It's that time of year again! MSHP Orientation kicked off today at 9:00. Lovely to meet the #classof2020. See everyone tomorrow! pic.twitter.com/nj8Q9n6Ebr,9,1,2,True,#classof2020
NCSP_Penn,2018-07-02,15:21:35,"After years of visionary guidance, Judith  Long is stepping aside as one of the NCSP directors in order to pursue a  new and exciting opportunity -- assuming the leadership of the Center  for Health Equity Research & Promotion, a Philadelphia VA HSR&D  Center of Innovation. pic.twitter.com/PbIiqI1LjO",20,0,3,True,
RainaMerchant,2018-06-29,18:55:17, http://www.sciencemag.org/news/2018/06/senate-panel-proposes-2-billion-54-increase-nih …,1,1,1,True,
RainaMerchant,2018-06-29,06:34:37, https://www.nytimes.com/2018/06/28/technology/facebook-twitter-political-ads.html …,0,0,0,True,
RainaMerchant,2018-06-29,06:33:45, https://www.nytimes.com/2018/06/28/business/dealbook/amazon-buying-pillpack-as-it-moves-into-pharmacies.html …,0,0,0,True,
katleemd,2018-06-22,09:27:53,@PennMedicine @PhilaStreets @FederalDonuts Recycle Pop-up in Rittenhouse to #keepphillybeautiful #delightphilly with @NGFlorist @federaldonuts @philastreets @pennmedicine#lovemyjob @ Rittenhouse Square  https://www.instagram.com/p/BkVI2MLhUkO6JDYliTM5z34L34DIXSNlk_8Wr80/?utm_source=ig_twitter_share&igshid=15uv3iwatfb1v …,3,0,2,True,"#keepphillybeautiful,#delightphilly,#lovemyjob"
rrosin,2018-06-23,08:55:05,Love the recycling art to #delightphilly. Awesome support from @NGFlorist and @FederalDonuts and great work by @PM_Innovation https://twitter.com/pennmedcdh/status/1010158331615424513 …,5,0,2,True,#delightphilly
RainaMerchant,2018-06-22,14:13:38,#delightphilly ⁦@PennMedCDH⁩ pic.twitter.com/5daQwb4zY3,3,1,0,True,#delightphilly
RainaMerchant,2018-06-22,12:44:29,#delightphilly ⁦@PM_Innovation⁩ pic.twitter.com/THuG3snHsV,3,0,0,True,#delightphilly
kevin_volpp,2018-06-22,12:28:46,Putting smiles on kids faces #delightphilly @PM_Innovation pic.twitter.com/ZbUH9Qv9cp,7,0,1,True,#delightphilly
dcgdarragh,2018-06-22,09:51:17,Drive through delight! #DelightPhilly #DelightfulDonors pic.twitter.com/rMTOZ1pgFK,7,0,1,True,"#DelightPhilly,#DelightfulDonors"
matt_vandertuyn,2018-06-22,11:02:59,Never to young to be rewarded for physical activity! #takingthestairs #sophilly #delightphilly @PM_Innovation pic.twitter.com/g1T0pRpsp9,9,0,2,True,"#takingthestairs,#sophilly,#delightphilly"
PennMedCDH,2018-06-22,08:51:28,Stop by and get a pic with your pup at our recycling pop-up collab with @NGFlorist @FederalDonuts #NationalTakeYourDogToWorkDay #keepphillybeautiful #delightPhilly pic.twitter.com/9v5kFMXVNX,9,0,3,True,"#NationalTakeYourDogToWorkDay,#keepphillybeautiful,#delightPhilly"
RainaMerchant,2018-06-22,08:15:34,#delightphilly ⁦@PennMedCDH⁩ pic.twitter.com/2mAQyjsxJg,11,1,0,True,#delightphilly
RainaMerchant,2018-06-19,15:17:04, https://techcrunch.com/2018/06/19/amazon-launches-an-alexa-system-for-hotels/ …,0,0,0,True,
RainaMerchant,2018-06-19,13:03:28,@nytimes Compulsive Video-Game Playing Could Be Mental Health Problem   via @NYTimes https://nyti.ms/2MCeeEL?smid=nytcore-ios-share …,0,0,0,True,
RainaMerchant,2018-06-18,11:22:22, https://www.nytimes.com/2018/06/17/business/media/amazon-twitch-video-games.html …,0,0,0,True,
mlanefall,2018-06-14,14:13:27,"Just submitted my first NIH R01 and should get scores on my first AHRQ R18 in the next few days. What's the word for when you're nauseated, excited, and delirious at the same time? Naucitious? Exdelcious?",76,11,2,True,
Penn_MSHP,2018-06-15,09:58:04,MSHP is gearing up for another fabulous Implementation Science Institute with @Rsbeidas @mlanefall  and #judyshea! We look forward to seeing everyone on 6/19. https://twitter.com/Rsbeidas/status/1007635422363766784 …,12,0,4,True,#judyshea
RainaMerchant,2018-06-08,15:58:57, https://hbr.org/2018/04/6-things-successful-women-in-stem-have-in-common …,3,0,1,True,
RainaMerchant,2018-05-19,13:05:19, https://www.theverge.com/tldr/2018/5/3/17316640/science-stock-photos-representation-fails-bad-stock-photos-of-my-job …,5,0,0,True,
RainaMerchant,2018-05-19,13:00:54, https://www.cnn.com/2018/05/14/health/trans-fats-who-2023-intl-bn/index.html …,1,0,0,True,
RainaMerchant,2018-05-19,13:00:16, https://www.nytimes.com/interactive/2018/05/16/magazine/health-issue-what-we-lose-with-data-driven-medicine.html …,7,0,2,True,
PennMedNews,2018-05-18,11:01:08,"Rounding out @PennMedicine & @UPennEM’s #SAEM18 presentations: Anish Agarwal reveals the main drivers behind online ratings of hospitals and providers + what patients value most in ED/urgent care experience. Get latest on #Machinelearning @ 12:50 PM, First Floor: 106 @SAEMonline",9,0,5,True,"#SAEM18,#Machinelearning"
NCSP_Penn,2018-05-18,10:13:48,"It was great for our scholars and Masters fellows to meet with @DrLeanaWen of @BMore_Healthy this morning. Speaking about different seasons of careers, she helped scholars understand how to maximize their impact, even early on in their careers. https://twitter.com/BMore_Healthy/status/997448122312769536 …",7,0,2,True,
MGreenwoodMD,2018-05-17,12:57:04,Dr. Michelle Lin of @MountSinai discussing her results on predictors of the wicked problem of Asthma ED admissions. #SAEM18 pic.twitter.com/ydJ1fLbl36,20,0,7,True,#SAEM18
AngelaMMills,2018-05-17,12:55:29,Congratulations to @SAEMonline for the LARGEST MEETING EVER! 🎉 #SAEM18 @AliRaja_MD @meganranney @choo_ek,58,0,18,True,#SAEM18
Novaleda,2018-05-17,14:54:49,Congratulations to @Amyjwal for winning the @SAEMAEUS resident ultrasound education award! #SAEM18 @UPennEM @PennUltrasound pic.twitter.com/AxZ1YcV2Ki,41,0,10,True,#SAEM18
