username,date,time,tweet,likes,replies,retweets,retweet,hashtags
LeeAFleisher,2018-06-18,20:29:38,When the Bully Is a Doctor https://nyti.ms/2MpC3Q7 ,7,1,3,True,
WolfForPA,2018-04-29,18:00:04,I expanded Medicaid because I believe people deserve access to quality health care. RT if you agree → pic.twitter.com/KnjMI1nDOJ,132,6,112,True,
IDstewardship,2018-03-28,16:05:50,Name changes from @CLSI_LabNews ...M100 available free here 👉🏼  http://em100.edaptivedocs.net/Login.aspx  ...Klebsiella aerogenes?... Cutibacterium acnes?... they aren’t making it easy on us! ...Was Propionobacterium acnes even cute? 😜 pic.twitter.com/OT4HHME3TZ,69,5,57,True,
nofishman,2018-03-03,18:02:42,Bass Pro Shop & Cabela's: Stop selling assault rifles. - Sign the Petition!  http://chn.ge/2FcQS8D  via @Change,0,0,0,True,
heyjimish,2018-02-22,08:07:27,#AntimicrobialStewardship pic.twitter.com/UWSpejT1yU,36,2,26,True,#AntimicrobialStewardship
DrFrieden,2018-02-12,20:12:45,"Last time CDC budget was as low as Administration has proposed was 2003 - Finding Nemo had just been released. Cutting programs that prevent cancer, heart disease, disease outbreaks would make US less safe and cost taxpayer dollars and American lives. pic.twitter.com/nDFhFKg3VX",171,5,158,True,
AndrewPaviaMD,2018-02-12,07:30:32,Opinion | The next pandemic will come sooner or later. The CDC needs money to prepare. http://wapo.st/2BU9mbZ?tid=ss_tw&utm_term=.440f408d13c7 …,6,0,8,True,
TheLancet,2018-02-11,04:17:31,Editorial: Year of reckoning for women in science #womeninscience #LancetWomen https://hubs.ly/H09Z4Vg0  pic.twitter.com/Atzy8BJktj,512,3,436,True,"#womeninscience,#LancetWomen"
ICHEJournal,2018-01-30,09:39:24,Check out our press release:  http://bit.ly/2Gy7XXS On a study published in @ICHEJournal firstview today:  https://doi.org/10.1017/ice.2017.263 …  Authored by practioners from @Carolinas pic.twitter.com/n0uUrwNChY,16,0,18,True,
PreetiNMalani,2018-01-23,10:32:00,The words we use matter...for our medical decision making and thus our patient's well being. Precision  of language and A Piece of My Mind  http://ja.ma/2E54cZb ,53,1,27,True,
janetiandrews,2018-01-15,08:23:43,"""Of all the forms of inequality, injustice in healthcare is the most shocking and inhumane""  - Martin Luther King Jr               #MLKDay pic.twitter.com/USAuDgLyxE",33,0,20,True,#MLKDay
HarvardChanSPH,2017-12-21,18:35:04,"We love this holiday message from @HarvardChanDean:""There is something better than science and that is science with a moral compass, science in the service of humanity, science that makes current needs responsive to future needs."" - William Foege, MPH '65 pic.twitter.com/TcjCUeRIHB",1233,11,810,True,
eliowa,2017-12-24,12:08:13,Prayer flags in the snow. Peace and prayers for all this holiday season pic.twitter.com/wy2pncPiy2,25,0,2,True,
SHEA_Epi,2017-11-13,19:38:19,T5: SHEA Choosing Wisely Suggestions:  http://www.choosingwisely.org/wp-content/uploads/2015/09/SHEA-Choosing-Wisely-List.pdf … #cdiff pic.twitter.com/EFfgFHMzgL,8,0,13,True,#cdiff
SHEA_Epi,2017-11-13,06:46:33,SHEA just launched a new antibiotic stewardship podcast: Changing the Culture of Culturing   https://soundcloud.com/user-788310625/changing-the-culture-of-culturing … #AntibioticAwarenessWeek#BeAntibioticsAware #WAAW17,32,0,19,True,"#AntibioticAwarenessWeek,#BeAntibioticsAware,#WAAW17"
JasonGNewland,2017-10-07,11:44:46,"Best quote of #IDWeek17- ""best simple low cost test for detecting allergy- a history"" Keith Hamilton",20,0,13,True,#IDWeek17
MaikenScott,2017-10-04,12:45:54,"So impressed with @PennMedicine Good Shepard Hospice for setting up a wedding ceremony for my friend, right on her floor pic.twitter.com/BOP7FH2O2B",48,1,8,True,
nofishman,2017-09-28,09:30:19,Flu season is coming! #FightFlu and protect yourself and your loved ones with a flu vaccine this season.  http://thndr.me/lNMA8z  pic.twitter.com/BIHgcduFiS,5,0,6,True,#FightFlu
scottfridkin,2017-09-05,09:29:10,Are “One-Offs” becoming the new HAI du jour?  I think they may be worth understanding better and not written off: http://haicontroversies.blogspot.com/2017/09/are-one-offs-becoming-routine.html …,7,0,5,True,
SallyQYates,2017-08-25,21:42:13,"With his pardon pen, POTUS reveals his own contempt for our Constitution, our courts, and our founding principles of equality and justice.",179124,7140,77424,True,
eliowa,2017-08-23,15:23:41,Didn't realize great again meant destroying everything and then relying on regression to the mean to bring us back to baseline,20,1,5,True,
deray,2017-08-11,21:14:15,If black folks were carrying torches on a college campus right now the administration would've already called the National Guard.,153785,1568,62930,True,
SenKamalaHarris,2017-08-11,14:04:26,We don’t want the Trump Administration to open up our country’s marine sanctuaries for offshore drilling. Retweet if you agree. pic.twitter.com/IF8Zvr4pCm,11814,337,17586,True,
DAGoldmann,2017-07-18,20:15:35,Real leaders don't hope for the worst & plan for healthcare to fall apart without lifting a finger. Appalling abrogration of responsibility.,16,0,6,True,
