username,date,time,tweet,likes,replies,retweets,retweet,hashtags
rdschaller,2018-07-08,13:47:17,"Hatred of immigrants is like religion. Everything right NOW is perfect. The US NOW is ""right"" - no need for more immigrants anymore; we're good. Humans NOW are perfect - god's image is current-day ""me"". With no appreciation for the arbitrary and relative nature of such thought. https://twitter.com/mindyfinn/status/1015232193067700224 …",11,2,2,True,
rdschaller,2018-07-06,10:48:05,"Consider this: You wake up tomorrow and discover that most people believe in and ritualistically pray to various superheroes, and utilize this scriptural justification for political decisions. Would you be shocked? Confused? Would you fight it? @rickygervais @RichardDawkins https://twitter.com/SamHarrisOrg/status/1015256789288288258 …",3,0,0,True,
rdschaller,2018-07-05,21:19:24,The great @gcshea has been introducing competitive eaters at Nathan’s Hot Dog Eating Contest for 20 years. This is his greatest work: pic.twitter.com/3XvSz0ywoE,10,1,1,True,
RBReich,2018-07-04,15:58:15,"True patriotism is rooted in our shared ideals: a commitment to our democratic institutions, to truth, to tolerance of our differences, to equal political rights and equal opportunity, and making necessary sacrifices for these ideals we hold in common. http://www.newsweek.com/robert-reich-fourth-july-celebrate-patriotism-not-trump-1003847 …",1665,45,643,True,
rdschaller,2018-07-04,11:58:29,Props @joeyjaws,0,0,0,True,
historylvrsclub,2018-07-03,09:58:57,This is how real men shoot animals by Chris du Plessis pic.twitter.com/tjQJENBYdP,11310,91,3501,True,
rdschaller,2018-06-30,22:25:22,This patient had an AV canal defect with repair at a young age. Hint was that the His was very low but it is difficult to appreciate in this CXR with a very large RA. She is young and had been pacing her RV with a QRS of 180 ms for 2 decades.,9,1,2,True,
rdschaller,2018-06-29,22:08:45,This patient got a HBP today. Anyone want to guess what type of congenital heart disease is present? Does anyone else have experience with HBP and congenital HD? Would be a nice series. #DontDisTheHis pic.twitter.com/ofVpYlntex,40,6,11,True,#DontDisTheHis
rdschaller,2018-06-29,07:31:34,Daughter thought a toilet paper bed might make her lightning bugs ‘wake up’. Not sure I can even deal right now. #ImWithHer pic.twitter.com/OA0JxkzWM7,22,2,3,True,#ImWithHer
rdschaller,2018-06-27,14:43:46,After lead extraction #Candida pic.twitter.com/MQALMnOmox,120,15,59,True,#Candida
rdschaller,2018-06-26,14:09:33,60 F with systemic Sarcoid undergoes PET/CT for tumor localization in setting of breast CA. Next step? pic.twitter.com/bl0GHnI1Dy,21,2,6,True,
rdschaller,2018-06-22,20:31:14,Answer: 80 votes with 15% correctly choosing “sinus rhythm” but maybe not for the right reason? Notice the ECG is double gained. These are all P waves with CHB & no escape. Can only imagine that there is seizure activity at the end. Here is his paced ECG: pic.twitter.com/sKOAYVQHUi,32,6,1,True,
rdschaller,2018-06-21,20:22:45,What’s the rhythm?,2,0,2,True,
rdschaller,2018-06-21,20:22:43,What’s the rhythm? pic.twitter.com/3juOIIdX1P,23,7,9,True,
rdschaller,2018-06-20,20:06:55, pic.twitter.com/jxGnjkJ625,15,1,2,True,
rdschaller,2018-06-20,20:03:21,Answer: 112 votes w/ 48% correctly answering fasc VT w/ “rsR” V1 morphology. Capture beat on ECG proved VT. Pt only inducible for single & double VT beats. Good pacemap on fasc & early on deca draped over post fasc. Pacemap on Pap predictably “qRr” morphology. Empiric RF done.,8,2,1,True,
rdschaller,2018-06-19,19:21:21,What is the rhythm?,4,1,1,True,
rdschaller,2018-06-19,19:21:19,Young man. NML EF. Mech AV. pic.twitter.com/s8CV3jxYTH,11,3,5,True,
rdschaller,2018-06-19,08:14:17,#cloudme @tweetcloudbot,0,1,0,True,#cloudme
rdschaller,2018-06-18,18:03:50,80 M CHB after TAVR. No His Bundle Capture. Any chance we accomplished what I hope we did? pic.twitter.com/IEsnkFFvN0,31,6,5,True,
leftbundle,2018-06-15,14:25:16,"#EPeeps: What % of your #AFib ablation patients with EF < 45% have an improvement in LV function 3- to 9-months post-ablation? (survey, not science but please retweet for reach). @EJSMD @nmarrouche @narrowQRS @drjohnm @PrashSanders @andreanatalemd",20,2,32,True,"#EPeeps,#AFib"
rdschaller,2018-06-04,07:35:32,"Although I’ll likely be buried in scrubs, I still wear a tie to clinic every week. Does it matter to patients? https://twitter.com/bradleyflansbau/status/1003605279219609601 …",9,6,1,True,
rdschaller,2018-06-02,17:06:13,"I’ve listened to hundreds and hundreds of hours of the @rickygervais podcast. He is not only a brilliant comedian, but is one of the clearest and most important voices of the modern atheist movement. Check it out: https://youtu.be/iUUpvrP-gzQ ",13,2,1,True,
rdschaller,2018-05-29,14:27:16,"Recent Pt: NS-HBP complicated by persistent RBBB. During threshold testing, there was conversion from NS-HBP to RV-only capture. 6-weeks later, RBBB resolves and now patient has only S-HBP. During threshold testing, goes from S-HBP with narrow QRS to S-HBP with rate-related LBBB.",15,2,4,True,
Dr_Lander,2018-05-29,09:17:33,@60Minutes @netta_doc @sgreenbergmd @gopi_gdanda1 @narrowQRS @adcaTicTocDoc @SergioPinski @rdschaller @howardlevitt @True_EP What we do in our Sports Cardiology program is start by educating the trainers - they are first line on the field. We then give talks to the parents and also give away AEDs to local schools and sports clubs along with the education piece.,6,0,1,True,
