username,date,time,tweet,likes,replies,retweets,retweet,hashtags
LGHealth,2018-07-24,11:30:14,"LG Health's ChildProtect program, which began in 1991 in response to a rubella outbreak, has become a lasting public health campaign. ChildProtect offers free vaccination clinics to children ages one month to 18 years:  https://bit.ly/2uHKVcH  pic.twitter.com/J6SykvOvuY",2,0,1,True,
LGHealth,2018-07-24,10:00:52,"The summer months put extra strains on our blood supply. If you are able, please consider making an appointment at the LG Health Blood Center at the Suburban Pavilion. Or help us spread the word by sharing this post.  http://lghealth.org/GiveBlood  pic.twitter.com/3C9VW11smt",0,0,1,True,
LGHealth,2018-07-17,11:24:51,"Thank you @SusquehannaStyl readers for voting us the ""Best of Lancaster."" #lancasterPA #lghealth pic.twitter.com/dCvZd2nT5U",2,0,1,True,"#lancasterPA,#lghealth"
LGHealth,2018-07-16,10:00:24,"Kiplinger’s Personal Finance names Lancaster as one of 10 small or midsized cities that offer “first-class health care.” Story mentions Penn Medicine and Lancaster General Health, noting LGH's 5-star Centers for Medicare and Medicaid Services  rating. https://bit.ly/2mmrOAr ",2,0,1,True,
LGHealth,2018-07-15,10:01:02,Stop by Lancaster General Hospital's James Street Lobby this week to hear performances by student musicians participating in the Lancaster International Piano Festival. LG Health is a sponsor of the annual event:  http://www.lancasterpianofest.com/  pic.twitter.com/bLkSDC9jE5,0,0,0,True,
LGHealth,2018-07-13,11:32:16,We’re proud to be the official Sports Medicine partner for the Inferno Rush. Good luck! https://twitter.com/InfernoRushFC/status/1017495196819447808 …,5,0,1,True,
LGHealth,2018-07-11,12:47:42,In case you missed it... LG Health Director of Community Health Alice Yoder authors an op-ed about the opioid epidemic. Alice chairs the Lancaster County Joining Forces coalition to combat opioid abuse. https://bit.ly/2uptYCD ,3,0,2,True,
LGHealth,2018-07-10,15:24:41,Thank you @LititzPolice for your ongoing support. https://twitter.com/LititzPolice/status/1011343606370783233 …,6,0,2,True,
LGHealth,2018-07-05,12:00:17,"Lancaster's successful revitalization efforts, including the Lancaster City Alliance, co-led by LG Health, are featured in the New York Times. #LancasterPA #lghealth https://nyti.ms/2KxSkFj ",1,0,0,True,"#LancasterPA,#lghealth"
LGHealth,2018-07-04,11:30:46, pic.twitter.com/Hfp4XktNJs,1,0,0,True,
LGHealth,2018-07-03,10:05:35,Keep your kids safe around water. #preventdrowning #4thofjuly #watersafety #lghealth #neverlookaway pic.twitter.com/yrtyNFVIY9,1,0,1,True,"#preventdrowning,#4thofjuly,#watersafety,#lghealth,#neverlookaway"
LGHealth,2018-07-03,10:05:18,"A refreshing dip in the pool or lake goes hand-in-hand with summer. However, along with the fun comes the potential for serious injuries. Before you take the plunge, listen to trauma surgeon Dr. Daniel Wu: http://owl.li/JcO430kIfPI ",1,0,1,True,
LGHealth,2018-07-02,10:01:25,Be careful today! #summerheat #stayhydrated #heatstroke #heatexhaustion #lghealth pic.twitter.com/nEGxeLyyim,1,0,0,True,"#summerheat,#stayhydrated,#heatstroke,#heatexhaustion,#lghealth"
LGHealth,2018-07-01,10:36:45,Congratulations Lancaster General Health Family Medicine Residency Program grads! #classof2018 #familymedicine #lghealth pic.twitter.com/QTuTE03dCY,4,1,3,True,"#classof2018,#familymedicine,#lghealth"
LancasterBHH,2018-06-29,09:46:20,"Thank you to all who joined us for our official ribbon cutting ceremony last night! We were honored to be joined by local officials, as well as our partners at @UHS_Inc and @LGHealth. We welcome everyone to join us tomorrow for our Community Open House:  http://bit.ly/LBHHOpenHouse  pic.twitter.com/oSrEHoaw3E",6,1,2,True,
LGHealth,2018-06-29,11:11:17,"Last evening leaders at @PennMedicine Lancaster General Health and Universal Health Services, Inc.​ cut the ceremonial ribbon, marking the opening of Lancaster Behavioral Health Hospital. The community is invited to an Open House June 30 from 10am-1pm.  http://bit.ly/2N9fHCI  pic.twitter.com/d3GivwGDTL",4,0,0,True,
LGHealth,2018-06-27,06:01:03,"An important reminder on #HIVTestingDay: Everyone between the ages of 13 and 64 should be tested for HIV. LG Health offers FREE, walk-in testing:  http://lghealth.org/gettested/  pic.twitter.com/W882FfYOkj",0,0,1,True,#HIVTestingDay
HerschelWalker,2018-06-16,10:38:27,"Looking forward to speaking at the @LancasterBHH Community Open House on June 30!!   Thank you @UHS_Inc and @LGHealth.If you're in the Lancaster, PA area…. please join us in welcoming this important new resource to the community:  https://www.facebook.com/events/185121958969142/ …",49,2,13,True,
LGHealth,2018-06-22,14:37:11,"The LG Health Blood Bank has an URGENT NEED for O+ blood. There are various ways to donate, including visiting the Blood Donor Center and attending community blood drives. View upcoming donation opportunities:  https://bit.ly/1JYKkVq  pic.twitter.com/2PrLSKhhGJ",2,0,2,True,
LGHealth,2018-06-19,10:22:41, pic.twitter.com/QfNqOSBQaF,1,0,0,True,
LGHealth,2018-06-18,07:17:34,HYDRATION is the key to preventing and treating heat-related illnesses. Dr. Ryan Wennell shares this and other important tips--including symptoms that mean you are in trouble--as the first HEAT ADVISORY of the season is issued today.       http://owl.li/XZL230kxNhA  #heatillness,1,0,0,True,#heatillness
LGHealth,2018-06-16,10:00:27,"If you’re like most men, you probably avoid going to the doctor unless you’re really sick. 3 REASONS that's not a good idea, according to Dr. Ben Snell, a family medicine physician with LG Health Physicians Twin Rose:  https://bit.ly/1DbS2oT  #MensHealthMonth pic.twitter.com/rXdwZHD7HC",0,0,1,True,#MensHealthMonth
LGHealth,2018-06-13,09:50:09,Recent celebrity suicide deaths highlight just how important it is to be able to recognize when someone is suffering and needs help.  https://bit.ly/1L3aOUR  pic.twitter.com/LeXby9zeLy,0,0,1,True,
LGHealth,2018-06-08,10:00:21,"We're proud to partner with Aspire Ventures, Capital BlueCross and Clio Health on the Smart Health Innovation Lab. Our first entrepreneurs are developing technologies to improve patients' lives in behavioral health and orthopedics.  http://owl.li/qAPR30kp1ww  #SmartHealthLab",3,0,1,True,#SmartHealthLab
LGHealth,2018-06-04,19:05:06,"Dr. Todd Wood, a cardiologist with The Heart Group of Lancaster General Health, says vascular diseases are referred to as ""silent killers"" because they often strike without warning and can have serious consequences. Find out who should be screened: http://owl.li/TLOY30kk8kW ",2,0,1,True,
LGHealth,2018-05-31,14:45:10,We are honored to be among a group of 25 Lancaster County employers recognized for exemplary efforts to support the health and well-being of employees.    https://bit.ly/2Lcj22h  pic.twitter.com/m28eZ7dhpG,4,1,2,True,
LGHealth,2018-05-22,07:45:16,"Pro golfer In Gee Chun donated $10,000 to the LG Health Foundation after winning the 2015 U.S. Women’s Open at Lancaster Country Club. Tomorrow she returns to Lancaster to launch a scholarship program to which she will contribute money and time. https://bit.ly/2GGvbK5 ",9,0,2,True,
LGHealth,2018-05-21,10:00:54, pic.twitter.com/RCa6RXBEQd,1,0,1,True,
LGHealth,2018-05-13,09:15:57, pic.twitter.com/Ny5ZBVA0cL,5,0,0,True,
