username,date,time,tweet,likes,replies,retweets,retweet,hashtags
Penn,2018-07-24,15:30:05,"Saif Khawaja has always thought outside of the box. As a @SachsArtsPhilly grant winner, he will be designing a piece of art that will emit light in response to sound.  http://whr.tn/2LIreIg  pic.twitter.com/HcHkimBho5",6,0,1,True,
Penn,2018-07-24,15:12:02,A cloudy Quad is still a beautiful Quad. #penn  https://ift.tt/2OdYI2P  pic.twitter.com/HKDz4V7Rr2,33,0,3,True,#penn
Penn,2018-07-24,13:31:42,"In the latest research on the effects of greening vacant lots,  researchers from @PennMedicine & @PennSAS found that people living within a quarter-mile of greened lots had a nearly 63% decrease in self-reported “poor mental health.”  http://bit.ly/2uM8Ibz  pic.twitter.com/zaW4A36NZu",9,0,3,True,
AcapellaPennyo,2018-07-22,14:49:28,"@PennBand  https://www.youtube.com/watch?v=BMBBYBlPrho …PennYo recently arranged, recorded, and shot a music video for the 2018 Hong Kong Ivy Ball! Enjoy our rendition of The Red and Blue, accompanied by @pennband!",9,0,3,True,
Penn,2018-07-24,10:56:00,Annual giving is a vital way that every member of the Penn community can make an impact at the University and contribute to the #PowerofPenn Campaign. Make your gift today: http://bit.ly/2ICOR2v ,2,0,0,True,#PowerofPenn
Penn,2018-07-24,10:41:30,Regina Salmons has been named a Division I Second-Team All-American by the Collegiate Rowing Coaches Association. Salmons is the fourth rower in @PennWRowing history to earn All-American status.  http://bit.ly/2JRNspn  pic.twitter.com/yX3rM6vHpN,9,0,1,True,
Penn,2018-07-24,09:15:47,"To reduce the number of collisions in scenic Lancaster County, Pa., @PennMedicine’s Lancaster General Hospital now provide basic tips for tourists when approaching buggies on the narrow roads.  http://bit.ly/2mECKcv  pic.twitter.com/YlvYlpR90J",12,1,3,True,
Penn,2018-07-23,18:11:52,"Growth and Change, one of many murals across our fair city. #penn @muralarts  https://ift.tt/2mBa7Nk  pic.twitter.com/BOx730AOUc",19,0,1,True,#penn
Penn,2018-07-23,17:45:03,"There are two bottom lines for impact investors: Making money and making the world a better place. On @whartonknows, David Musto discusses his latest work in the field, which examines how social impact can be written into contracts.  http://whr.tn/2LGQWN0  pic.twitter.com/NtwvgFtVXo",3,0,1,True,
Penn,2018-07-23,17:36:02,"@PennEngineering From ENIAC to today’s Electrical and Systems Engineering suite, the #PowerofPenn Campaign will help @Pennengineering reimagine its labs for the future: http://bit.ly/2LIcx7O ",4,0,0,True,#PowerofPenn
Penn,2018-07-23,15:30:02,"Adam Shiroff of @PennMedicine had seen many chest injuries, but a patient with a sneeze-induced rib fracture had plagued him for more than a year. With a 3D model & the latest surgical techniques, Shiroff was able to help the patient make a full recovery.  http://bit.ly/2uKTbIR  pic.twitter.com/IOM0LDxiih",9,0,3,True,
MikeOVPR,2018-07-23,11:44:21,Always a good day at @Penn when you get a view like this of our beautiful campus. pic.twitter.com/k6aW8YVrqj,89,3,12,True,
Penn,2018-07-23,13:15:04,"The existence of a presidential pardon is not controversial, but recent utilization of it is. Rogers Smith of @PennSAS looks at the constitutionality & legality of the pardon power.  http://bit.ly/2LI1887  pic.twitter.com/TzhHA1DX5r",5,0,2,True,
Penn,2018-07-23,10:45:05,"The principles of management guided the recent rescue of 12 boys & their coach from a flooded cave system in Thailand, according to Michael Useem. On @whartonknows, he examines the leadership that made the technical & human feat possible. http://bit.ly/2JLlUC8 ",8,0,0,True,
Penn,2018-07-23,09:15:06,"Anita Allen of @PennLaw & @PennSAS, and the vice provost for faculty, is the first female African-American president of the Eastern Division of the @apaphilosophy. Today she’s a leader & mentor, particularly to young women of color.  http://bit.ly/2Oc1rK6  pic.twitter.com/SjH80fsO2k",22,0,8,True,
Penn,2018-07-22,20:11:43,Visiting students keep the high rises full even through summer. #penn  https://ift.tt/2A0dcjB  pic.twitter.com/YklVPA18Hl,40,0,5,True,#penn
Penn,2018-07-22,16:11:43,Getting some mini golf on at RiverRink Summerfest. #penn #philadelphia  https://ift.tt/2uFZ21Z  pic.twitter.com/KgvbWtwl8C,19,0,5,True,"#penn,#philadelphia"
Penn,2018-07-22,13:15:01,"Within their first five years on the job, as many as half of teachers leave the profession. “It’s not a pretty statistic,” says Richard Ingersoll, a teacher-turnover expert in @PennGSE & @PennSAS, “but your best & brightest are more likely to quit.”  http://bit.ly/2Lf7wDy  pic.twitter.com/EJOzGf1c0z",13,0,4,True,
Penn,2018-07-22,11:05:02,The #PowerofPenn is coming to a city near you! See the full schedule of Campaign Kickoff Celebrations: http://bit.ly/2ILijnS ,4,0,2,True,#PowerofPenn
Penn,2018-07-22,09:15:04,"After a SCOTUS decision striking down mandatory union fees for some workers, a @PennLaw professor says that efforts to empower those employees to sue retroactively for refunds “would be very destabilizing” if applied beyond matters involving unions.  http://nyti.ms/2uAsu9G  pic.twitter.com/4fx6wz9Nme",6,0,3,True,
