username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PennDentalMed,2018-07-19,10:48:00,This summer has brought new facilities with the opening of the Schattner Pavilion and new leadership with the arrival of Dean Mark Wolff to @Penn  Dental Medicine. http://bit.ly/2uwHANy ,3,0,2,True,
PennDentalMed,2018-07-18,16:03:00,"The Best Multidisciplinary Dental Microscopy CE is in Philadelphia, September 28-30th. Early bird rates are available until August 1.  Register today for the  @AMEDtweets - @Penn Dental Microscopy Meeting 2018.  http://bit.ly/2upDNlc ",2,0,1,True,
PennDentalMed,2018-07-13,13:52:01,What's causes oral mucosal diseases in companion animals? @Penn Dental's newly established Dr. Thomas P. Sollecito One Health Fellowship will support study in this area. #pennonehealth  http://bit.ly/2LfMZyE ,2,0,1,True,#pennonehealth
PennDentalMed,2018-07-12,10:49:04,"What's up if ice cream and other cold summer treats are causing tooth sensitivity and ""brain freeze""? @Penn Dental's Dr. Yota Stathopoulou shares insight on sensitivity. #pennonehealth  http://bit.ly/2NGbfLY ",5,0,2,True,#pennonehealth
PennDentalMed,2018-07-06,15:46:44,Check out @Penn Dental student Tim Wang's @PennLDI blog on the importance of oral health services/policy research http://bit.ly/2zjfXMA ,10,0,4,True,
PennDentalMed,2018-06-20,16:59:01,Congratulations to Dr. Eric Stoopler on his promotion to Professor of Oral Medicine.  http://bit.ly/2I4YJln ,6,0,1,True,
PennDentalMed,2018-06-19,12:38:00,"A study from @Penn Dental's Dr. Helen Jeon and Dr. Dana Graves found cells that form the outer layer of skin and mucosa stimulate blood-vessel formation through the protein, Foxo1. http://bit.ly/2yjVxTp ",8,0,3,True,
PennDentalMed,2018-06-18,12:51:02,Congrats to @Penn Dental's Dr. Joan Gluch on receiving @TheNetterCenter 2018 Faculty-Community Partnership Award http://bit.ly/2Myay6W ,6,0,1,True,
PennDentalMed,2018-06-14,15:11:36,Penn Dental welcomed undergrad students from 20 schools to a predental workshop June 9.  http://bit.ly/2MtZ5Ft ,3,0,0,True,
PennDentalMed,2018-06-13,09:04:38,Great work in the community by our @Penn Dental students! #DayofService https://twitter.com/YSIPHILLY/status/1006893208570335232 …,13,0,3,True,#DayofService
