username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PennMDForum,2018-07-24,06:38:16,"Last month's Neuro-Onc Symposium covered topics like #CARTcell therapy for glioma, tractography, fluorescent imaging of brain tumors, and more. Watch presenter video interviews:  http://bit.ly/2N0BJYl  #PennCME pic.twitter.com/kzu6Ib6Ly7",4,0,3,True,"#CARTcell,#PennCME"
pennsurgery,2018-07-23,06:50:36,"Congratulations to Pavan Atluri, MD and his collaborators on their recent publication in @AATSJournals https://bit.ly/2NArfhU  pic.twitter.com/F4HlMBvqmQ",6,0,3,True,
PennAging,2018-07-24,11:37:05,". @PennMedicine 's John Q. Trojanowski, MD, PhD, director of the IOA, has just received the @alzassociation Khalid Iqbal Lifetime Achievement Award at this year's #AAIC18 https://twitter.com/alzwichita/status/1021785412644347907 …",3,0,2,True,#AAIC18
McMillanFTD,2018-07-24,10:52:31,"Congratulations to colleague, mentor, and rockstar of @PennAging and @PennMedicine, Dr John Q Trojanowski for his Lifetime Achievement Award from the Alzheimer’s Association #AAIC18 #Alzheimers #Penn pic.twitter.com/RjBOnQ0Pah",11,0,3,True,"#AAIC18,#Alzheimers,#Penn"
PennMedEVDCSO,2018-07-23,11:58:11,Congratulations to @RainaMerchant who was selected to the @AspenAGLN’s 2018 Class of Health Innovators! Proud of our @PennMedicine faculty who continue to make strong contributions nationally!  http://ow.ly/eJD030l51o9  pic.twitter.com/zuzfKJI6Jk,8,0,2,True,
PennMDForum,2018-07-23,15:17:26,".@PennMedicine's @DrORourke2 (Director, Human Brain Tumor Tissue Bank) discussed what #CARTcell studies have shown so far, the challenges that remain, and the long-term potential of the therapy for #glioblastoma:  http://bit.ly/2mvlKFS  #hemonc https://twitter.com/HemOncToday/status/1019237018126159877 …",3,0,1,True,"#CARTcell,#glioblastoma,#hemonc"
PennMDForum,2018-07-23,14:22:38,"Dr. @DavidFajgenbaum is both a patient and physician researcher leading the charge to cure Castleman Disease. Learn more about his 2017 @PennPrecisMed Accelerator Fund project: ""Treating IMCD: From Precision Medicine to Clinical Trial""  http://bit.ly/2Mmc6Ah  #cdday https://twitter.com/DavidFajgenbaum/status/1021398245182976000 …",5,0,2,True,#cdday
pennsurgery,2018-07-23,07:40:34,"Congratulations to Fenton H. McCarthy, MD, MS and Nimesh D. Desai, MD, PhD on their latest publication in @AATSJournals https://bit.ly/2NxI0dm  pic.twitter.com/uLAxhc0x8a",3,0,6,True,
PennNSG,2018-07-23,06:46:55,"Thank you to Dr. Marcotte (President) and Dr. Malhotra (Scientific Meeting Chair) for their leadership in the Pennsylvania Neurosurgical Society. Congrats to our speakers Drs. Grady, Ozturk, Ali, Piazza, and Miranda. And congratulations to the Dr. Lee lab! pic.twitter.com/yDyH9QiqYy",7,0,4,True,
PennMDForum,2018-07-23,06:35:00,Oncologists: @PennCancer is one of the few authorized Yescarta™ (#axicabtagene ciloleucel) administration sites in the US and the only administration site in the Philadelphia region. Call 215-316-5127 for a consult. #CARTcell #lymphoma,1,0,0,True,"#axicabtagene,#CARTcell,#lymphoma"
PennMDForum,2018-07-22,05:58:02,Are you concerned about patient attrition after weight loss surgery? There’s an app for that. @PennMedicine’s Penn Life Gained app helps patients manages pre- and post-surgical challenges after their bariatric surgery:  http://bit.ly/2LmGE86  #bariatrics #bariatricsurgery pic.twitter.com/6CthQ9wgk1,2,0,0,True,"#bariatrics,#bariatricsurgery"
PennMedNews,2018-07-19,14:45:06,"Congrats to Penn Medicine Woodbury Heights on earning the 2018 ""Best of Gloucester County Physician/Group"" award, as voted by citizens of Gloucester County! The honor was announced earlier this month by the @GCCCNJ  as the latest recognition of the excellent care delivered there. pic.twitter.com/4xISuHeMIP",3,0,1,True,
PennMDForum,2018-07-20,07:59:23,#ICYMI https://twitter.com/PennMDForum/status/1019601531455209472 …,0,0,0,True,#ICYMI
PennMDForum,2018-07-19,06:36:18,Dr June recently published an overview of #CARTcell therapy in @NEJM - includes a downloadable video interview. Read the article at: https://www.nejm.org/doi/full/10.1056/NEJMra1706169 …,2,0,2,True,#CARTcell
