username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PennMedEVDCSO,2018-07-24,14:01:16,Congratulations to the Penn Wissahickon Hospice and Caring Way program - recently awarded @ahahospitals Circle of Life award which celebrates innovative programs in end-of-life & #PalliativeCare. @PennMedicine @PennPCI  http://ow.ly/bsKt30l33FS  pic.twitter.com/S4rNpVrdtf,4,0,4,True,#PalliativeCare
PennMedEVDCSO,2018-07-24,11:41:58,Texting & driving w/the littlest passengers: Important research on #DistractedDriving from our colleagues at @ChildrensPhila & @PennNursing  http://ow.ly/8Uvg30l6bEL  pic.twitter.com/1tBRwo1AaN,1,0,0,True,#DistractedDriving
PennMedEVDCSO,2018-07-23,13:30:22,NIH Director's Blog: Decreasing risk of #stroke & heart failure- studies show a wearable wireless #EKG patch can be used to catch abnormalities sooner #WearableTech  http://ow.ly/1VLB30l33wM  pic.twitter.com/9LP5miUYvu,3,0,1,True,"#stroke,#EKG,#WearableTech"
PennMedEVDCSO,2018-07-23,11:58:11,Congratulations to @RainaMerchant who was selected to the @AspenAGLN’s 2018 Class of Health Innovators! Proud of our @PennMedicine faculty who continue to make strong contributions nationally!  http://ow.ly/eJD030l51o9  pic.twitter.com/zuzfKJI6Jk,8,0,2,True,
PennMedEVDCSO,2018-07-23,07:15:07,"Lyme disease, West Nile virus, #Zika, chikungunya, and dengue are among the vector-borne infections making headlines. Sara Cherry of @PennMicro sheds light on how to stay safe  http://ow.ly/zOOn30l33r9  pic.twitter.com/cCqp8ag8wf",1,0,0,True,#Zika
PennMedEVDCSO,2018-07-20,12:01:37,#happyfriday  http://ow.ly/ONfa30kWjV7  pic.twitter.com/rpvbAWi9Sm,1,0,0,True,#happyfriday
PennMedEVDCSO,2018-07-20,07:10:07,Summer heat giving your kids cabin fever? Visit @AcadNatSci this weekend for #ScientistSaturday.  This week focuses on some of the most biodiverse organisms in the world - insects  http://ow.ly/Yfqp30kWjGV  pic.twitter.com/kTzlHF8eWc,5,0,1,True,#ScientistSaturday
PennMedEVDCSO,2018-07-19,14:30:20,New study in @CellCellPress suggests mice -and maybe humans- can’t get past the two-cell stage of development without a particular type of jumping gene previously considered 'junk'  http://ow.ly/fA7U30kWjxY  pic.twitter.com/hoVh8wDyZ8,2,0,0,True,
PennMedEVDCSO,2018-07-19,08:20:08,#tbt to 1920 as Penn medical student (and soon to be doctor) William Gilmore Leaman catches some rays in #wildwood  http://ow.ly/1lVE30kWjq0  pic.twitter.com/tAvRJKiQco,1,0,0,True,"#tbt,#wildwood"
PennMedEVDCSO,2018-07-18,13:30:33,Did you know that your brain connectivity may be changed for several days after finishing a novel? #Penn professor @JulieSzymczak explores how conversation and storytelling play an important role in healthcare  #wednesdaywisdom  http://ow.ly/PqTT30kWjf5  pic.twitter.com/pcecNF97eB,12,2,3,True,"#Penn,#wednesdaywisdom"
PennMedEVDCSO,2018-07-18,11:35:11,"Congratulations to @IAmDrDex, recently awarded the 2018 Young Investigator Award for his work in the fight against #neuroblastoma https://twitter.com/PennMedBench/status/1019273421946081281 …",1,0,1,True,#neuroblastoma
PhilaEnergyGal,2018-07-18,09:24:36,"Very exciting step forward for @PennPCI and the @Pennovation Center and Philly!!--Penn, Johnson & Johnson team up to accelerate innovation  https://www.bizjournals.com/philadelphia/news/2018/07/18/penn-johnson-johnson-team-up-to-accelerate.html … via @PHLBizJournal",27,1,14,True,
