username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PennMedMag,2018-02-21,11:06:23,"We want to hear from you, our readers, so @PennMedMag can keep improving. Will you fill out our brief survey? Please respond and RT! https://www.pennmedicine.org/news/publications-and-special-projects/penn-medicine-magazine/winter2018/survey …",0,0,0,True,
Pennalumni,2018-07-06,12:49:03,"What lessons can comedy offer to psychiatry? Dr. Behdad Bozorgnia LPS’09, a fourth-year and chief resident in psychiatry at @PennMedicine explains. 🖱️ ▶️  http://bit.ly/2IZodB5  #pennalumni pic.twitter.com/PRUIVTY2zD",1,0,1,True,#pennalumni
PennMedNews,2018-07-05,07:30:13,The new inpatient Pavilion @PennMedicine is rising as a towering example of the value of behavioral research in health-care building design. A look into the design process in @PennMedMag:  http://bit.ly/2KDvOXv  pic.twitter.com/3NjEtnUjKz,6,0,2,True,
chrisbormann1,2018-06-28,19:23:28,"An amazing culmination of dedicated teamwork, innovative thinking, commitment to serving future generations of patients, and supporting discovery and cure at this incredible institution.  All brought about by Penn’s vision and the great work of the PennFIRST team. https://twitter.com/pennmedmag/status/1012042432979111937 …",7,0,2,True,
PennMedMag,2018-06-29,11:36:15,Gail Morrison led medical education at @PennMedicine for two decades and transformed the landscape. Now she’s focusing on one last piece of unfinished business: transforming medical education on the internet. Get to know her story:  http://PennMedicine.org/magazine/Morrison … #academicmedicine pic.twitter.com/OkHSDqfOxR,10,0,4,True,#academicmedicine
PennMedMag,2018-06-27,13:38:13,When it opens in 2021 @PennMedicine's new 17-story Pavilion will not only be Penn’s biggest building project. It will also be a towering example of the evolution of health-care facility design from art toward innovation and science.  http://PennMedicine.org/magazine/paviliondesign … pic.twitter.com/jC5q626ZpM,23,0,9,True,
PennMedMag,2018-06-26,15:09:02,African Americans are four to five times more likely to have glaucoma than Caucasians. Glaucoma also tends to appear earlier and progress faster in African Americans. A @PennMedicine study is working to address that imbalance:  http://PennMedicine.org/magazine/blindspot … pic.twitter.com/pAFLwOWfy2,3,0,3,True,
PennMedMag,2018-06-22,11:34:50,The new Spring/Summer 2018 issue of @PennMedMag is now online!  https://www.pennmedicine.org/news/publications-and-special-projects/penn-medicine-magazine/spring-summer-2018 … pic.twitter.com/ZDTi3UVKQx,0,0,0,True,
PennMedMag,2018-06-13,14:04:46,A new issue of @PennMedMag is arriving soon! Subscribe to our email edition to receive it next week:  https://www.pennmedicine.org/news/publications-and-special-projects/subscribe …,0,0,0,True,
PennMedMag,2018-05-17,10:59:36,We profiled our brilliant med student founder of @doctorscreate and the surge of creativity in medicine last year. Now they have a new podcast!  https://www.pennmedicine.org/news/publications-and-special-projects/penn-medicine-magazine/spring-summer-2017/creatives … https://twitter.com/doctorscreate/status/996890942891323393 …,7,1,5,True,
