username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PennMedNews,2018-07-02,08:25:26,".@PennMedMag is our premier publication for sharing in-depth stories about @PennMedicine and trends in health care and research. The latest: Addressing racial disparities in glaucoma and genetics research, a new hospital’s innovative design process, more  http://bit.ly/2tyzwLx  pic.twitter.com/v6USBVDnIu",10,0,6,True,
PennMedNews,2018-07-24,13:34:22,"@BasserBRCA At-home hereditary @cancer tests are becoming increasingly popular, but a new editorial published in @JAMAOnc raises ethical concerns.  W/ @PennCancer @BASSERBRCA  http://bit.ly/2mLsYpn  pic.twitter.com/bOsgyoI4sz",1,0,0,True,
PennMedNews,2018-07-24,07:30:01,"Join @Penn_NCIBH Tuesday, July 31st at 2pm EST for a discussion on Medication Assisted Treatment (MAT) & Opioid Use Disorder (OUD) care. Interested in asking a question? Simply tweet at @Penn_NCIBH #trainIBH pic.twitter.com/Fq1aJL0e3D",3,0,2,True,#trainIBH
parkerici,2018-07-23,13:09:10,PICI co-director @EJohnWherry shares recent research on epigenetic markers in T cells that determine their immune response to #cancer. @Penn_IFI @PennMedBench @PennCancer #immunotherapy pic.twitter.com/O6hZ1NVKLr,25,1,9,True,"#cancer,#immunotherapy"
PennMedNews,2018-07-23,10:00:57,"As simple as A, B, C. @cchosp is using an innovative educational program to help parents protect the newest additions to their families. pic.twitter.com/Vr8BvdoFrk",1,0,1,True,
PennMedNews,2018-07-20,14:30:16,Justin Bekelman from @PennLDI along with colleague from @theNCI lay out a path forward to help make proton therapy trials more feasible: http://bit.ly/2LAoBbp ,6,0,1,True,
PennMedNews,2018-07-20,13:01:00,"Greening vacant urban land significantly reduces feelings of depression and improves overall mental health for the surrounding residents, researchers from @PennMedicine, @Penn and other institutions show in new study published in JAMA Network Open. @JAMANetworkOpen pic.twitter.com/hvOK3oKwz6",3,0,4,True,
PennMedNews,2018-07-20,11:00:58,"@PennMedicine In an effort to ensure on-site workers return safely home to their families every day, @pennmedicine recently joined with construction partners on the new Pavilion, for National Safety Stand Down, an event encouraging employer/employee safety discussions  http://bit.ly/2uzY4EK  pic.twitter.com/u0UWdpnsad",2,0,0,True,
PennMedNews,2018-07-20,07:59:01,"Congratulations to Mark Neuman, MD – he’s been selected as a participant of @theNAMedicine Emerging Leaders in Health and Medicine Program!  http://bit.ly/2JDtFtF  @PennAnesthesia pic.twitter.com/dWYJTDozg1",4,0,4,True,
PennMedNews,2018-07-19,14:45:06,"Congrats to Penn Medicine Woodbury Heights on earning the 2018 ""Best of Gloucester County Physician/Group"" award, as voted by citizens of Gloucester County! The honor was announced earlier this month by the @GCCCNJ  as the latest recognition of the excellent care delivered there. pic.twitter.com/4xISuHeMIP",3,0,1,True,
PennMedNews,2018-07-19,13:06:35,"@ShreyaKangovi Shadow Program Aims for Doctor Empathy, Action: ""It is increasingly clear that you need to teach medical students... more than just the pathways of clinical medicine in order to be a good doctor,"" says @shreyakangovi  http://bit.ly/2O0pn35  Via @USATODAY pic.twitter.com/EmchTghqCN",0,0,0,True,
PennMedNews,2018-07-19,11:08:05,"Join @Penn_NCIBH Tuesday, July 31st at 2pm EST for a discussion on Medication Assisted Treatment (MAT) & Opioid Use Disorder (OUD) care. Interested in asking a question? Simply tweet at @Penn_NCIBH #trainIBH pic.twitter.com/0HIP8fuhIj",5,0,2,True,#trainIBH
PennMedNews,2018-07-19,08:00:30,"#ICYMI: @LGHealth is teaching motorists how to safely share the road with the horse-drawn buggies, Lancaster, PA is so well known for.  https://www.pennmedicine.org/news/news-blog/2018/july/plain-peril-reducing-buggy-accidents-in-amish-country … pic.twitter.com/sJQypHKhUk",2,0,0,True,#ICYMI
PennMedNews,2018-07-18,10:45:09,"Cancer patients receiving anti-PD-1 therapies who develop lesions, eczema, psoriasis, or other forms of auto-immune diseases affecting the skin may experience those adverse reactions on a delay – sometimes even after treatment has concluded.  http://bit.ly/2LpqDL8  W/@JAMADerm pic.twitter.com/1xpJIpOtKg",0,1,0,True,
PennMedNews,2018-07-18,07:30:03,"All about #twins! Dr. Danielle Reed spoke with @whyy's @WHYYThePulse about why twins can taste, smell and experience things differently, plus what this means for our understanding of #epigenetics  http://bit.ly/2Nmv4qN  @berger_lab pic.twitter.com/Q23y7pn9Jh",3,0,4,True,"#twins,#epigenetics"
PennMedNews,2018-07-17,12:27:25,⁦@PennMedicine⁩ Faye Mourkioti > Guiding #stem cells to build muscles. At Biz of Regenerative Medicine Symposium. ⁦@BLLPHD⁩ #muscular dystrophy #SuperScience pic.twitter.com/Dw5pRQhjws,2,0,1,True,"#stem,#muscular,#SuperScience"
PennMedNews,2018-07-17,12:10:07,Researchers from @PennLDI lay out the biggest obstacle making randomized proton therapy trials so difficult and propose possible solutions. @JCO_ASCO article:  http://bit.ly/2LtfEAn  @PennMedicine release:  http://bit.ly/2JuIXB1  #ProtonTherapy pic.twitter.com/dcU8OZmcJX,1,0,3,True,#ProtonTherapy
PennMedNews,2018-07-17,10:54:38,#ICYMI: Penn Medicine’s @LeeAFleisher and @MichaelAAshburn outline how the perioperative period offers an opportunity to put the #opioid genie back in the bottle @JAMASurgery @PennAnesthesia  https://jamanetwork.com/journals/jamasurgery/fullarticle/2687231 … pic.twitter.com/7TCFYDqLjl,2,0,1,True,"#ICYMI,#opioid"
PennMedNews,2018-07-17,09:30:12,"WHYY's The Pulse sat down with Dana Clark, MS, LCGC, a genetic counselor in the Basser Center for BRCA, to learn how at-home DNA tests are affecting decisions and outlooks on health. Segment starts at: 38:50  http://bit.ly/2LmhzXC  W/ @BasserBRCA pic.twitter.com/91e9j4npkg",3,0,3,True,
PennMedNews,2018-07-17,07:47:51,@BLLPHD This happening now: @PennMedicine the Business of Regenerative Medicine. @bllphd pic.twitter.com/Ff1l3sVa59,3,0,3,True,
PennMedNews,2018-07-16,14:39:56,"Congrats to the Steven A. Cohen Military Family Clinic at @Penn. Recently, the clinic was awarded a 3-Year Accreditation by the Commission on Accreditation of Rehabilitation Facilities, which recognizes their commitment to providing the highest quality of care. RT @MFCPenn https://twitter.com/MFCPenn/status/1017792033694633985 …",2,0,1,True,
PennMedNews,2018-07-16,14:30:08,Penn Wissahickon Hospice and Caring Way have been honored by @ahahospitalsfor expanding the reach of innovative palliative and end-of-life care to the community. Penn was among three programs nationwide to receive this honor.  http://bit.ly/2Lnx1CX  pic.twitter.com/O3rSXVKejn,1,0,0,True,
PennMedNews,2018-07-16,11:58:50,"Buggy accidents are a serious problem in Lancaster, PA. Learn how @LGHealth is teaching tourists and locals how to safely share the road.  http://bit.ly/2JsFJ0B  W/ @cityoflancpa pic.twitter.com/El14PCzzNp",0,0,2,True,
PennMedNews,2018-07-16,07:45:03,Penn Medicine’s @LeeAFleisher and @MichaelAAshburn outline how the perioperative period offers an opportunity to put the #opioid genie back in the bottle LINK @JAMASurgery @PennAnesthesia pic.twitter.com/H5nGMxUTi0,1,0,0,True,#opioid
PennMedNews,2018-07-13,12:12:33,Congratulations to the Penn Center for Community Health Works and the Corporal Michael J. Crescenz VA Medical Center on their selection as a finalist in the 2018 VHA Shark Tank Competition! #VASharkTank #VADiffusion W/@VeteransHealth @VAPhiladelphia pic.twitter.com/9Ip4yOLHpd,4,0,2,True,"#VASharkTank,#VADiffusion"
PennMedNews,2018-07-12,14:26:04,"@ngs Now up @NGS geneticist & anthropologist @Penn postdoc alum Miguel Vilar on the power of #DNA #citizenscience to trace human origins, migration, diversity pic.twitter.com/t6lzxX2cqR",5,0,3,True,"#DNA,#citizenscience"
PennMedNews,2018-07-12,14:15:12,"@bgs Congratulations to Daniel Villarreal for @BGS Alumni Recognition @ORDTUPenn Research Symposium, shares pearls of wisdom: Celebrate the small successes, Find good mentors, Collaborate. pic.twitter.com/4hfSTOYU85",5,0,4,True,
PennMedNews,2018-07-12,14:14:52,"@bgs Congratulations to Daniel Villarreal for @BGS Alumni Recognition @ORDTUPenn Research Symposium, shares pearls of wisdom: Celebrate the small successes, Find good mentors, Collaborate. pic.twitter.com/a6afETOXN0",4,0,3,True,
PennMedNews,2018-07-12,13:55:46,@bgs Poster session is underway @ORDPTUPenn celebrating diverse community of @BGS trainees pic.twitter.com/QzKUf6Hzpl,4,1,1,True,
PennMedNews,2018-07-12,13:25:01,Research shows minorities are less likely to seek care for #psoriasis. Now there’s an effort to find out if in-home treatment can better serve patients.  http://bit.ly/2tMxjfE  W/@PennMedMag pic.twitter.com/jv5MYuOVVT,0,0,0,True,#psoriasis
PennNGG,2018-07-10,19:49:37,"Check out this new, weekly neuroscience blog created by NGG students, aimed at educating the general public about neuro research! Also be sure to follow them on twitter @PennNeuroKnow for updates on new blog posts! #SciComm@pennbgs @Penn @PennMedNews https://pennneuroknow.wordpress.com ",13,0,7,True,#SciComm
PennMedNews,2018-07-11,15:29:07,"Problem solving, predicting, designing, and building. How Penn Medicine data scientists are improving care by learning how to learn  http://bit.ly/2NHNWRW  pic.twitter.com/4RvEcswtfk",0,0,1,True,
PennMedNews,2018-07-11,07:30:02,"In a special elective course for @PennMedicine students, simulated mass-casualty disasters and traumatic injuries in remote wilderness locales are all part of the training. #psomwildmed  http://bit.ly/2tKuWdu  pic.twitter.com/JPRHvjFYj8",1,0,0,True,#psomwildmed
PennMedNews,2018-07-09,10:44:02,"Can a sneeze lead to the ER? In Lou Farrell's case, it did. Read more in the latest Penn Medicine News blog...  http://bit.ly/2u3TX3u  @AdamShiroff pic.twitter.com/CNjPHoDf9F",1,0,0,True,
PennMedNews,2018-07-09,10:00:26,"Mental health is no joke. But if you make the effort, this Penn Psychiatry chief resident argues, comedy has some valuable lessons for the practice of psychiatry. It has to do with the power of stories to change how you think:  http://bit.ly/2KGynYQ  #comedy #psychiatry pic.twitter.com/t8c8aDlUFy",1,0,1,True,"#comedy,#psychiatry"
PennMedNews,2018-07-06,13:30:15,The Scheie Eye Institute's latest newsletter features stories that help readers see #ophthalmology more clearly.  http://bit.ly/2IWpLvA  pic.twitter.com/923clURn5Z,2,0,0,True,#ophthalmology
Educated_Change,2018-07-06,02:39:14,RT @BrainWavesAudio: Another great show out this week on the #brainwavespodcast. I spoke w/ Dr. Christopher Perrone from @PennMedicine about the novel meds for #MultipleSclerosis. Enjoy! And thanks for the RTs!! @PennMedNews #Neurology #Pharmacology #Med… http://traffic.libsyn.com/brainwavesaudio/bcell_final.mp3 …,1,0,2,True,"#brainwavespodcast,#MultipleSclerosis,#Neurology,#Pharmacology,#Med"
PennMedNews,2018-07-06,08:51:08,"“I would dedicate my life to reducing that in any capacity I could,” she said. Get to know this Penn Med alum and her story in @PennMedMag:  http://PennMedicine.org/magazine/RMM ",0,0,1,True,
PennMedNews,2018-07-06,08:51:08,"When she returned to Africa, it was as a @PennMedicine medical student, in Senegal, and again saw what she described as a “needless form of mortality” for women. It became her calling.",1,1,0,True,
PennMedNews,2018-07-06,08:51:08,"As a college student, volunteering at a hospital in Tanzania opened @DrRaegan’s eyes to the reason why pregnant women were unexpectedly dying there. pic.twitter.com/b0cCTeNZjV",1,1,1,True,
PennMedNews,2018-07-05,15:11:51,RT @TEDMED https://twitter.com/TEDMED/status/1014947226790105088 …,3,0,1,True,
PennMedNews,2018-07-05,14:15:04,Gail Morrison led medical education at @PennMedicine for 2 decades and transformed the landscape. Now she’s focusing on one last piece of unfinished business: transforming medical education on the internet. Read her story in @PennMedMag:  http://bit.ly/2KH3i7E  #academicmedicine pic.twitter.com/8pltKikxBU,5,0,0,True,#academicmedicine
PennMedBench,2018-07-05,12:59:25,"Multiple Targets: Could homing in on more than one brain disease protein expand treatment of #Alzheimer’s, #Parkinson’s? @PennMedicine, @PennAging study finds many proteinopathies in neurodegeneration @PennPathLabMed, @Brain1878, @NIH, #SuperScience  http://bit.ly/2tTi6JV  pic.twitter.com/7mcvPvQOPt",6,0,11,True,"#Alzheimer,#Parkinson,#SuperScience"
PennMedNews,2018-07-05,11:00:19,"#ICYMI: In a new commentary appearing in the @Telegraph, @PennCancer Director Dr. Robert Vonderheide praises the latest progress in the #ImmunoRevolution and the #CHMP’s positive recommendation to @EMA_News for CAR T Cell therapy in Europe  http://bit.ly/2ILC4uw  pic.twitter.com/eSSLDXZLGN",0,0,0,True,"#ICYMI,#ImmunoRevolution,#CHMP"
PennMedNews,2018-07-05,07:30:13,The new inpatient Pavilion @PennMedicine is rising as a towering example of the value of behavioral research in health-care building design. A look into the design process in @PennMedMag:  http://bit.ly/2KDvOXv  pic.twitter.com/3NjEtnUjKz,6,0,2,True,
PennMedNews,2018-07-03,12:00:23,Opt-out methods are 3X more effective than opt-in for colorectal cancer screening outreach LINK @Shivan_Mehta and a team from @PM_Innovation report on these findings in #AmJGastro  https://go.nature.com/2tQ6QOb  pic.twitter.com/vt3DWpxVbI,0,0,3,True,#AmJGastro
