username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PennMedicine,2018-07-23,20:51:00,"Soaking your feet in black tea, vinegar, and/or sea salt may help to break down odor-causing bacteria, leaving your feet smelling fresh and clean. Learn more: http://bit.ly/2LGNpOQ ",2,0,2,True,
PennMedicine,2018-07-23,18:27:00,"#DidYouKnow your feet contain your body’s most active sweat glands? Fortunately, Dr. D’Angelantonio has some tips on how you can treat smelly feet: http://bit.ly/2LGNpOQ ",1,0,1,True,#DidYouKnow
PennMedicine,2018-07-23,16:59:00,"It’s normal for your feet to smell bad, but you shouldn’t have to open a window every time you take your shoes off. Here, Dr. D’Angelantonio offers tips on how to combat stinky feet: http://bit.ly/2LGNpOQ ",1,0,1,True,
Penn,2018-07-23,15:30:02,"Adam Shiroff of @PennMedicine had seen many chest injuries, but a patient with a sneeze-induced rib fracture had plagued him for more than a year. With a 3D model & the latest surgical techniques, Shiroff was able to help the patient make a full recovery.  http://bit.ly/2uKTbIR  pic.twitter.com/IOM0LDxiih",9,0,3,True,
PennMDForum,2018-07-23,14:22:38,"Dr. @DavidFajgenbaum is both a patient and physician researcher leading the charge to cure Castleman Disease. Learn more about his 2017 @PennPrecisMed Accelerator Fund project: ""Treating IMCD: From Precision Medicine to Clinical Trial""  http://bit.ly/2Mmc6Ah  #cdday https://twitter.com/DavidFajgenbaum/status/1021398245182976000 …",5,0,2,True,#cdday
PennTrauma,2018-07-23,08:00:02,#MotivationMonday pic.twitter.com/oFYMuzuwwN,29,0,7,True,#MotivationMonday
filikale,2018-07-23,06:46:19,Come get your kale chips from RP 7 #PennMedicine  All proceeds go to support @LightTheNight pic.twitter.com/kK4mcEnzHC,3,0,1,True,#PennMedicine
Paul_J_Mather,2018-07-22,09:16:44,"Hearing the word “failure” associated with your heart can be scary. However, heart failure does not mean that your heart has stopped working. Listen to Dr. Mather explain the truth about heart failure in a new podcast.  https://www.pennmedicine.org/updates/blogs/heart-and-vascular-blog/2017/august/podcast-the-truth-about-heart-failure …@PennMedNews @PennMedicine",13,0,5,True,
PennMDForum,2018-07-18,10:15:23,New on the Penn Physician Blog: An App a Day Keeps Attrition at Bay – News about Penn Life Gained app that helps both patients and clinical teams manage and monitor important stats:  http://bit.ly/2LmGE86  pic.twitter.com/QfkqkpwzbK,5,0,3,True,
PennMDForum,2018-07-19,06:36:18,Dr June recently published an overview of #CARTcell therapy in @NEJM - includes a downloadable video interview. Read the article at: https://www.nejm.org/doi/full/10.1056/NEJMra1706169 …,2,0,2,True,#CARTcell
PennMedicine,2018-07-18,22:59:00,"You may have childhood memories of eating sandwiches, potato salad and pie at family picnics, but they aren’t the greatest for your heart. Here are some healthier alternatives:  http://bit.ly/2JwY3py ",3,0,2,True,
PennMedicine,2018-07-18,21:55:00,Do your weekend plans include a picnic date? Here’s how to have one your heart will love:  http://bit.ly/2JwY3py ,1,0,1,True,
PennMedicine,2018-07-18,20:51:01,Considering trying sleeping medications to help you to fall asleep at night? Here’s what you need to know:  http://bit.ly/2Jw7ZzP  pic.twitter.com/qLIYlrhVQ3,0,0,1,True,
PennMedicine,2018-07-18,18:27:00,"While sleeping aids like #melatonin and #Ambien can be helpful tools, they’re not your only option. Your physician may also refer you to Cognitive Behavioral Therapy for Insomnia (CBT-I). Here, Lisa Felkins, CRNP explains:  http://bit.ly/2Jw7ZzP ",4,0,1,True,"#melatonin,#Ambien"
PennMedicine,2018-07-18,16:59:00,"If you’re struggling to fall asleep at night, Zolpidem AKA #Ambien can sound like the answer to all of your problems. However, it comes with a number of side effects that you need to be aware of. Learn more:  http://bit.ly/2Jw7ZzP ",1,0,1,True,#Ambien
Penn,2018-07-18,13:15:05,"@pennvet Lyme disease, West Nile virus, Zika, chikungunya, & dengue are among the vector-borne infections making headlines. Researchers from @PennMedicine, @PennSAS, & @PennVet shed light on what’s behind the spread and how to stay safe.  http://bit.ly/2O2wRCm  pic.twitter.com/8S3AueoSC4",22,0,4,True,
pennsurgery,2018-07-18,12:13:50,Looking for alternatives for the grill besides hot dogs?  Colleen Tewksbury @PennMedicine’s bariatric surgery manager has some ideas.  https://bit.ly/2NmUDbl  pic.twitter.com/G3zZZyp5T8,3,0,2,True,
katieu,2018-07-18,12:32:40,"Hear that buzzing in your ear? It's a mosquito that can carry a host of diseases. Bottom line: don't panic, wear bug spray.  https://penntoday.upenn.edu/news/changing-landscape-mosquito-and-tick-borne-diseases … #pennonehealth @pennvet @PennMedicine @PennSAS",4,0,6,True,#pennonehealth
HealthyKidsPHL,2018-07-17,15:40:23,Tips from @PennMedicine's Dr. Jensen on how to get the most out of #summer for your #teen  http://www.philly.com/philly/health/kids-families/how-to-get-the-most-out-of-summer-for-your-teen-20180716.html?__vfz=medium%3Dsharebar … via @phillydotcom @phillyhealthsci #parents #parenting #teenhealth,5,0,2,True,"#summer,#teen,#parents,#parenting,#teenhealth"
erica906,2018-07-17,16:33:58,"Super thankful for the nurses at @PennMedicine for making my husband's week long stay in the hospital a little easier. It's been a scary, frustrating time but you all have been so caring toward him...and me.",13,1,1,True,
