username,date,time,tweet,likes,replies,retweets,retweet,hashtags
TNRLab,2018-07-24,10:54:46,"John Trojanowski, Iqbal lifetime achievement award from @alzassociation, well deserved! Anyone who knows him knows he is far from done! @PennPathLabMed #AAIC2018 #AAIC18 #neuropathology #EndAlz pic.twitter.com/yX7SfZwzP0",14,0,3,True,"#AAIC2018,#AAIC18,#neuropathology,#EndAlz"
PennPathLabMed,2018-07-24,08:08:01,@PennMedNews Largest Genetic Database on Alzheimer’s Disease Now Open for Business:  https://www.pennmedicine.org/news/news-releases/2018/july/largest-genetic-database-on-alzheimers-disease-now-reopen-for-business … via @pennmednews cc @niagads,0,0,0,True,
PennPathLabMed,2018-07-23,07:09:00,From Startup to Meltdown -- The Unraveling of Theranos:   http://knowledge.wharton.upenn.edu/article/the-secrets-and-lies-that-sunk-theranos/ … via @whartonknows,0,0,0,True,
NEJM,2018-07-19,09:52:10,"In this video, the concepts, process, and uses of CAR T-cell therapy are explained. Read the full review article on chimeric antigen receptor therapy:  https://nej.md/2tPkmBW  pic.twitter.com/rakOyxZjMY",132,0,87,True,
ktmontone,2018-07-18,07:15:28,One of our program graduates! @PennPathLabMed @david_b_roth2 @feldmanm30 @mlage @emma_furth @lendeschwartz https://twitter.com/SurgeonRetina/status/1019188590142685185 …,3,0,2,True,
PennMedBench,2018-07-17,12:31:35,Congrats to @PennMedicine’s Avery Posey on his @CureSearch 2018 Young Investigator Award. Posey is one of only two recipients of the award nationally. He’s developing a CAR T therapy for neuroblastoma. RT @CureSearch https://twitter.com/CureSearch/status/1019227171557134337 …,16,0,9,True,
PennPathLabMed,2018-07-18,09:26:35,A CAR-T bottleneck: Centers that collect patient cells feel crunch from growing demand:  https://www.statnews.com/2018/07/17/car-t-bottleneck-cell-collection-centers-feel-crunch/ … via @statnews,1,0,1,True,
PennPathLabMed,2018-07-18,09:13:00,"""A Look Forward: Chimeric Antigen Receptor Therapy,"" N Engl J Med → https://dx.doi.org/10.1056/NEJMra1706169 …",3,0,1,True,
feldmanm30,2018-07-17,18:52:44,"Pathology is a natural home for physician scientists, allowing opportunities in basic and translational science as well as dry bench data science across a wide range of diseases. https://twitter.com/DanielRemick1/status/1019355347121655808 …",27,0,10,True,
PennPathLabMed,2018-07-17,10:49:02,"""Change in Diagnostic Criteria for Noninvasive Follicular Thyroid Neoplasm With Papillarylike Nuclear Features,"" JAMA Oncol →  https://dx.doi.org/10.1001/jamaoncol.2018.1446 …",1,0,1,True,
PennPathLabMed,2018-07-16,09:31:03,"""Epidermal Growth Factor Receptor Extracellular Domain Mutations in Glioblastoma Present Opportunities for Clinical Imaging and Therapeutic Development,"" Cancer Cell →  https://dx.doi.org/10.1016/j.ccell.2018.06.006 …",0,0,0,True,
PennPathLabMed,2018-07-16,06:24:41,"""MAFB enhances oncogenic Notch signaling in T cell acute lymphoblastic leukemia,"" Sci Signal → https://dx.doi.org/10.1126/scisignal.aam6846 …",1,0,1,True,
PennPathLabMed,2018-07-13,04:22:09,Precision CAR T-cells therapeutics video:  https://vimeo.com/278501309  via @ecancer,2,0,1,True,
PennPrecisMed,2018-07-13,04:16:12,Swift Gene-Editing Method May Revolutionize Treatments for Cancer and Infectious Diseases:  https://nyti.ms/2NFU79b  via @nytimes,1,0,3,True,
CdnMedHallFame,2018-07-12,14:03:08,"@pennmed Born July 12, 1849, Bond Head, Ont Sir William Osler led a generation of young doctors away from the textbooks and directly to the bedsides of the afflicted. #CMHFLaureate @McGillMed @PennMed @HopkinsMedicine @UniofOxford  https://bit.ly/2w1WDR4  pic.twitter.com/eD1SUhuRGN",2,0,2,True,#CMHFLaureate
PennPathLabMed,2018-07-11,06:00:10,"Rethinking Neurodegenerative Disease Treatment -- Target Multiple Pathological Proteins, Not Just One:  https://www.pennmedicine.org/news/news-releases/2018/july/rethinking-neurodegenerative-disease-treatment-target-multiple-pathological-proteins …",1,0,0,True,
