username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PennTrauma,2018-07-24,11:00:01,Great insight on pre-hospital hemorrhage control from our own Dr. Jeremy Cannon:  http://spr.ly/6012DqH28 .,0,0,0,True,
PennTrauma,2018-07-23,08:00:02,#MotivationMonday pic.twitter.com/oFYMuzuwwN,29,0,7,True,#MotivationMonday
PennTrauma,2018-07-22,19:00:00,"With the increase of electric cars on the road, first responders should take note of the batteries when responding to vehicular incidents:  http://spr.ly/6019DqH0F .",2,0,2,True,
PennTrauma,2018-07-20,08:00:01,Trimming the lawn: YES.Injuring yourself in the process: NO.Here are a few tips from @PennTrauma's Dr. Mehta on lawnmower safety:  http://spr.ly/6018DqH08 .,2,0,0,True,
PennTrauma,2018-07-19,19:00:00,We could not do the work we do without the amazing team at @PENNSTARFlight. Learn more about this medical transportation program that allows us to get to patients faster and more efficiently:  http://spr.ly/6012DqHLa .,8,0,1,True,
PennTrauma,2018-07-18,19:00:00,"Interesting insight into how trauma affects the brain, and what we can do to help it recover:  http://spr.ly/6013DqHLT .",2,0,0,True,
PennTrauma,2018-07-17,05:41:42,First responders: would you be on board to give this Vie Scope a try? ---->  http://spr.ly/6015DqHIF ,1,1,0,True,
PennTrauma,2018-07-16,08:00:02,Be great today.#MotivationMonday pic.twitter.com/5nmn8cvUGS,2,0,1,True,#MotivationMonday
PennTrauma,2018-07-13,08:00:02,"""Wear sunscreen. If [we] could offer you only one tip for the future, sunscreen would be it."" - Mary Schmich, 1997. pic.twitter.com/FhTUbiAQ0e",2,0,1,True,
PennTrauma,2018-07-12,19:00:00,"New advances that the emergency services sector can put to use, and ultimately save more lives:  http://spr.ly/6012Dof1Y .",5,1,3,True,
PennTrauma,2018-07-11,05:00:00,"Here are some ""old school"" EMT skills that are now obsolete because of today's newer technology and updated research findings! ----> http://spr.ly/6015Dof1T ",2,0,1,True,
PennTrauma,2018-07-10,08:13:32,When a sneeze isn’t just a sneeze.  Read more about Lou Farrell’s story and how our own Dr. Adam Shiroff and team helped him get back to his normal routine:  http://spr.ly/6015Dofqc .,2,0,0,True,
PennTrauma,2018-07-09,08:00:02,"When Mother Nature turns up the heat, be in the know and be prepared. Here's what you need to know about the symptoms of heat exhaustion. pic.twitter.com/OXPT1izUhF",1,0,0,True,
PennTrauma,2018-07-05,19:00:00,Interesting insight into how high-flow oxygen can benefit pediatric patients in prehospital settings:  http://spr.ly/6017DWuwz .,0,0,0,True,
PennTrauma,2018-07-05,19:00:00,First Responder #QOTD: what types of injuries/calls do you see more of during the summer months?,3,1,0,True,#QOTD
PennTrauma,2018-07-04,08:00:03,Wishing you a happy 4th of July! pic.twitter.com/dsJ2UKuS3W,3,0,0,True,
PennTrauma,2018-07-03,11:00:02,"As a kid, half the joy of Independence Day is getting sparklers! While fun, sparklers account for a majority of fireworks-related injuries on this holiday. So please take these precautions before lighting the night! pic.twitter.com/iwbTVgXk4K",1,0,0,True,
PennTrauma,2018-07-02,10:00:01,Do you ever find yourself wondering about the difference between an ER and a Trauma Center? We break it down for you in this post:  http://spr.ly/6017DWuZ3 .,2,0,0,True,
PennTrauma,2018-07-01,19:29:01,Grilling for the big Independence Day holiday coming up? Make sure you're taking all the proper precautions so your barbecue goes off without a hitch! #4thOfJuly #July4th #GrillSafety #Grilling pic.twitter.com/tzmP2xPgak,10,0,7,True,"#4thOfJuly,#July4th,#GrillSafety,#Grilling"
PennTrauma,2018-06-30,08:00:02,"Be mindful this week as the temps are soaring in the 90's-100's. Do your best to stay cool, avoid being outdoors for long periods of time in the sun, check on your pets and drink PLENTY of water! #heatwave #staycool pic.twitter.com/RylJhJkLAF",2,0,0,True,"#heatwave,#staycool"
PennTrauma,2018-06-29,08:00:01,"Tent? ✔️Sturdy boots? ✔️Granola bars for days? ✔️Make sure that before you head out on your next camping trip, you check off these safety items and pack the essentials! pic.twitter.com/gdrPLU873j",4,0,2,True,
PennTrauma,2018-06-28,09:00:01,Make sure EVERY ride is a SAFE ride. Fore more information:  http://spr.ly/6012DmV00 . pic.twitter.com/Z5dciNYsun,0,0,0,True,
PennTrauma,2018-06-27,06:00:00,"First responders: we are so grateful for all that you do. But your job is tough, and the community can only begin to imagine the burdens you shoulder shift after shift. Today is #PTSD Awareness Day. The @NVFC helpline is always available:  http://spr.ly/6015DmVcW .",8,0,4,True,#PTSD
PennTrauma,2018-06-25,19:00:01,"With vacations and road trips on the calendar, summer is a good season to make sure you are PREPARED and that your car is stocked with all the safety essentials. pic.twitter.com/uzcAuYcvA8",2,0,0,True,
PennTrauma,2018-06-20,19:00:00,Did you know @PennTrauma offers a variety of resources to our patients? Learn about our recovery programs and more:  http://spr.ly/6185DXRHU .,0,0,0,True,
PennTrauma,2018-06-19,19:00:01,"June is National Safety Month, and this week's focus is on FALLS.  Head to the @NSCsafety site for more information and resources:  http://spr.ly/6015DYMJX . #No1GetsHurt pic.twitter.com/6alOlqJC7c",2,1,0,True,#No1GetsHurt
PennTrauma,2018-06-18,08:00:01,#MotivationMonday pic.twitter.com/1e1Fa2XBTY,0,0,0,True,#MotivationMonday
PennTrauma,2018-06-17,08:00:01,Wishing all the dads out there a safe and happy Father's Day! pic.twitter.com/XL3N699wYR,3,0,1,True,
PennTrauma,2018-06-14,19:00:01,"EMTs, are you doing rig checks? ---> http://spr.ly/6012DYMGu ",1,2,0,True,
PennTrauma,2018-06-13,11:00:05,A rainy afternoon that led to a traumatic injury changed Amanda's life and her future. We are proud that she is now changing the lives of her own patients! To read her story:  http://spr.ly/6017DYM1F .,1,0,0,True,
carriesims20,2018-06-10,22:24:57,The future of Shock Trauma Research looks bright with Dr’s Davila and Leonard! Trauma research saves lives! @ShockSociety #Shock2018 @pennsurgery @PennTrauma @PennMedicine pic.twitter.com/MXrPu5lxfO,11,0,6,True,#Shock2018
PennTrauma,2018-06-11,11:30:00,Here's a quick list of some of the resources we offer patients here at @PennTrauma:  http://spr.ly/6017D94wd .,0,0,0,True,
PennTrauma,2018-06-10,19:00:00,"First responders: if you could give one piece of advice to a new co-worker, what would it be?",1,6,0,True,
PennTrauma,2018-06-08,10:00:01,Are you prepared in case of an emergency? @NSCsafety has several resources to offer. @fema also offers this helpful Basic Family Emergency Supply List to have ready for any situation:  http://spr.ly/6016D94ur . pic.twitter.com/CgHMG7XeSB,3,0,1,True,
PennTrauma,2018-06-07,19:30:00,Here's a first look at the newly-launched free online railroad-crossing safety training program designed for first responders:  http://spr.ly/6011D94BS .,1,0,0,True,
PennTrauma,2018-06-06,09:03:01,"90 seconds. YOU could save a life from cardiac arrest with CPR in 90 seconds. In recognition of CPR and AED Awareness Week, Dr. Abella shares great tips on how to perform this life-saving maneuver:  http://spr.ly/6015Dif83 . #CPRSavesLives",1,0,0,True,#CPRSavesLives
PennTrauma,2018-06-05,09:00:01,"When it comes to cycling, a properly-fitted helmet is a MUST. Here's how to make sure your noggin is safe on your next bike ride:  http://spr.ly/6016D9NC2 .",1,0,0,True,
PennTrauma,2018-06-03,19:00:00,"Do you know what drowning looks like? You may be surprised. As pools are opening for the season and trips to the beach are scheduled, take a moment to read this very important and informative article about drowning:  http://spr.ly/6019D9NCb .",2,0,1,True,
PennTrauma,2018-06-02,20:00:01,First responders: don't miss all the features our Penn Rescue app has to offer! To download: iPhone --->  http://spr.ly/6011D9N7V  Android ---->  http://spr.ly/6012D9N7n  pic.twitter.com/SPDUfhijxx,2,0,1,True,
PennTrauma,2018-05-29,19:00:01,"More than 100 people drown every year due to rip currents (from @uslifesaving). While we can't wait to feel the sand beneath our feet and listen to the sound of waves, we encourage every beachgoer to learn about the dangers of rip currents and how to get out of them. pic.twitter.com/0LK6uPwI6Z",1,0,1,True,
PennTrauma,2018-05-28,08:00:01,Grateful to all the men and women who have sacrificed their lives to keep our country safe - especially those who are part of the @PennTrauma family. #MemorialDay pic.twitter.com/CqyMH8kHJz,54,1,13,True,#MemorialDay
PennTrauma,2018-05-25,09:54:36,We had a great time celebrating some of our local first responders team this week! #NationalEMSWeek pic.twitter.com/wpyLDheJSe,2,0,1,True,#NationalEMSWeek
PennTrauma,2018-05-24,16:19:57,"May is Mental Health Awareness Month, and while many people struggle with a mental illness, only 40% actually seek help. To our first responders, we urge you to make the call if you need help. You can find the @NVFC helpline here:  http://spr.ly/6013Dga4N .",2,0,3,True,
PennTrauma,2018-05-24,07:00:05,"#TBT to March's EMS Appreciation Event, where we had a fantastic night honoring local EMS teams for their amazing service. To see more pictures from the event, check out the album:  http://spr.ly/6011DgdIz . #NationalEMSWeek pic.twitter.com/inPaFtFfQf",4,0,1,True,"#TBT,#NationalEMSWeek"
PennTrauma,2018-05-23,19:00:00,First responders: who are the crew mates and team members you are most grateful for? Give your team a shout-out with a RT and tag them! #NationalEMSWeek,1,0,1,True,#NationalEMSWeek
PennTrauma,2018-05-23,13:39:33,The stroke team at @PennMedicine is now offering two new treatment trials for stroke patients:  https://www.pennmedicine.org/for-health-care-professionals/for-physicians/physician-education-and-resources/clinical-briefings/2018/march/stroke-intervention-clinical-briefing ….,1,0,2,True,
MarkSeamonMD,2018-05-22,08:26:36,A very special congratulations to @AdamShiroff and Reka Somodi for the newest member of the @UPennTrauma @PennTrauma @pennsurgery family!! pic.twitter.com/2XM5d0SRsS,37,2,3,True,
nielsmd,2018-05-23,09:33:05,I will always appreciate all the things John Pryor taught me.  Thank you to all the trauma providers serving in the military.  @pennsurgery @UPennTrauma @PennTrauma @MarkSeamonMD pic.twitter.com/fEcxdM8j1H,37,0,9,True,
PennMDForum,2018-04-19,13:34:28,"#ICYMI: @PennTrauma's Dr. Samir Mehta, Chief of the Division of #Orthopaedic Trauma & Fracture, provides #fracture care at @PennMedicine Cherry Hill for patients with urgent or emergent injuries or who require care for post-fracture complications. #trauma #physician #NJ pic.twitter.com/EtpjcMmEXr",2,0,1,True,"#ICYMI,#Orthopaedic,#fracture,#trauma,#physician,#NJ"
PennTrauma,2018-05-22,19:00:02,Know the symptoms of a stroke and get help. #MakeMayPurple pic.twitter.com/FchTDdaf3t,2,0,1,True,#MakeMayPurple
PennTrauma,2018-05-21,09:00:00,Looking for the perfect gift to honor the first responder in your life this week? Here are some great ideas:  http://spr.ly/6017D5o1V . #NationalEMSWeek,0,0,0,True,#NationalEMSWeek
PennTrauma,2018-05-20,19:00:02,Have YOU thanked a first responder today? We are proud to be celebrating our local EMS teams during #NationalEMSWeek. pic.twitter.com/2BEUpYAtBR,22,0,10,True,#NationalEMSWeek
PennTrauma,2018-05-18,07:55:50,Knowing the causes of a stroke can help prevent them:  http://spr.ly/6018D5oEs .,0,0,0,True,
PennTrauma,2018-05-17,19:00:00,"In case you missed it! Catch up on our first Real Life Saver nominee, Dr. Mehta:  http://spr.ly/6011DdtZh .",2,0,0,True,
PennTrauma,2018-05-16,05:00:00,A great video for first responders from @EMS1 offering BVM techniques:  http://spr.ly/6011DdTsl .,0,0,0,True,
PennTrauma,2018-05-15,11:00:00,"When your partner has a stroke, it can be a life-altering experience. But as a spouse, you may be their greatest asset. Here are a few ways you can help as your partner recovers:  http://spr.ly/6018DdTS4 .",2,0,1,True,
PennTrauma,2018-05-14,08:00:01,#MotivationMonday pic.twitter.com/pnOQnl9g63,0,0,0,True,#MotivationMonday
PennTrauma,2018-05-13,08:00:01,Wishing all moms a safe and happy Mother's Day! pic.twitter.com/MdKMgc5vrg,1,0,0,True,
PennTrauma,2018-05-12,19:00:00,"The road to recovery after a traumatic injury can be long. Former firefighter Drew Aversa shares his journey, and how yoga made all the difference:  http://spr.ly/6013DdTqF .",3,0,0,True,
PennTrauma,2018-05-10,19:00:00,"During a stroke, every. second. counts. To help, we've created a short list of what to do - and NOT do - when someone is having a stroke:  http://spr.ly/6011DdTqV .",2,0,1,True,
PennTrauma,2018-05-10,13:31:34,"If you are biking to and from work today, we have a couple pointers to keep you safe! #BikeToWorkDay pic.twitter.com/4Pj43ViyXo",0,0,0,True,#BikeToWorkDay
PennTrauma,2018-05-09,19:00:00,#FirstResponders: what's your go-to way to stay awake during an overnight shift?,0,0,0,True,#FirstResponders
PennTrauma,2018-05-08,19:00:03,"Laces tied. Route mapped. GPS watch set. Playlist ready to roll. Before you hit the pavement, make sure you take the proper precautions to make your run as safe as possible. pic.twitter.com/r9Wo0mEAmj",1,0,0,True,
PennTrauma,2018-05-07,08:00:00,Face. Arm. Speech. Time. Use FAST to detect a stroke:  http://spr.ly/6013DjU03 .,0,0,1,True,
PennTrauma,2018-05-06,19:00:27,"To kick off National Nurses Week, we want to give a heartfelt THANK YOU to all of the amazing nurses here at @PennTrauma . We couldn't do it without you! #NursesWeek pic.twitter.com/XhtEu2r7ah",12,0,4,True,#NursesWeek
PennTrauma,2018-05-04,13:06:30,"Thank you for all who attended our Trauma Awareness Ceremony this morning! Dr. Patrick Kim, MD, FACS, shared updates regarding the Trauma Center and we had the opportunity to recognize patients and award several of our nurses, Liz and Katie, for excellence in service. pic.twitter.com/QSbH8wg674",14,0,5,True,
PennTrauma,2018-05-03,20:00:00,"Check out this new line of battery powered rescue tools, which will come in handy for first responders. Amazing:  http://spr.ly/6012DjUL2 .",0,0,0,True,
PennTrauma,2018-05-02,19:00:00,"May is Stroke Awareness Month, and updated protocols, which extend the time for life-saving treatments, offer new hope to stroke patients:   http://spr.ly/6012DjULi .",1,0,0,True,
PennTrauma,2018-04-30,09:00:00,Have you met our Trauma team? --->   http://spr.ly/6012DZYNC ,3,0,1,True,
PennTrauma,2018-04-29,19:00:00,Our own Dr. Jeremy Cannon shares his insights on pre-hospital hemorrhage control:  http://spr.ly/6013DZYNU .,1,0,2,True,
PennTrauma,2018-04-27,08:00:00,Can you believe it's almost May? Many of you have plans to rev up the lawnmowers over the next few days and begin the fun of spring yard work! Dr. Mehta has a few safety tips before you hit the lawn:  http://spr.ly/6016DZYNO .,0,0,0,True,
PennTrauma,2018-04-25,13:15:01,"We are so honored to provide EMS education opportunities to @NarberthAmb.  Last night, our own Dr. Patrick Kim shared best practices on TXA in a pre-hospital setting:  http://spr.ly/6019DbSal .",2,0,0,True,
