username,date,time,tweet,likes,replies,retweets,retweet,hashtags
PrincetonHealth,2018-07-18,10:58:08,"Health Matters: Postpartum Depression Common, Treatable @central_jersey http://www.centraljersey.com/lifestyle/health-matters-postpartum-depression-common-treatable/article_232fcb07-b29d-55af-b5ee-8dbcc16b7d77.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share …",1,0,0,True,
PrincetonHealth,2018-07-10,09:38:05,"Princeton Health recently earned The Joint Commission’s Gold Seal of Approval for advanced certification in two areas—perinatal care and total joint replacement procedures—following rigorous, on-site surveys. We thank every member of our staff for all they do for our patients. pic.twitter.com/0DltDeRr0o",0,0,2,True,
PrincetonHealth,2018-07-03,08:19:28,Health Matters: Don’t Let Injuries and Illness Spoil Summer Fun @central_jersey http://www.centraljersey.com/lifestyle/health-matters-don-t-let-injuries-and-illness-spoil-summer/article_73556a43-473d-518c-b40d-251ed9aae360.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share …,0,0,0,True,
PennMedicine,2018-07-03,08:11:02,"""If untreated, #heatexhaustion can progress to a more dangerous heat-related illness, called #heatstroke,"" Dr. Noble warns. Learn more:  http://bit.ly/2L3wwNC ",4,0,2,True,"#heatexhaustion,#heatstroke"
PennMedicine,2018-06-25,04:01:00,Looking for some heart-healthy grilling inspiration this summer? We've got you covered:  http://bit.ly/2J0OvUp ,2,0,2,True,
PrincetonHealth,2018-06-22,09:20:20,HEALTH MATTERS: Tips for encouraging healthy habits in children @central_jersey http://www.centraljersey.com/lifestyle/health-matters-tips-for-encouraging-healthy-habits-in-children/article_b844c9d0-6500-11e8-9ba6-ab28fbf523ca.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share …,0,0,0,True,
TCNJToday,2018-06-19,08:22:29,"In April, TCNJ completed installation of new AED devices in designated buildings on campus. Now, thanks to a partnership with Penn Medicine @PrincetonHealth, there are close to 100 people who have been specially trained to use them.Read more at  http://bit.ly/2M37qiq  pic.twitter.com/F1GbSg1PVL",8,1,2,True,
PrincetonHealth,2018-06-15,08:33:45,"HEALTH MATTERS: Screening, staging and appropriate treatment key to beating lung cancer @central_jersey http://www.centraljersey.com/lifestyle/health-matters-screening-staging-and-appropriate-treatment-key-to-beating/article_0e8f9548-68e1-11e8-808e-73ca590be65d.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share …",0,0,0,True,
PrincetonHealth,2018-06-12,13:01:29,"Suicide is unfathomable to many of us. If you’ve never had a conversation with someone who suffers from depression about that disease, here are nine truths provided in 140 characters. https://www.self.com/story/reality-of-depression-twitter …",4,0,4,True,
PrincetonHealth,2018-06-08,09:13:02,"If you or someone you know is struggling with depression, Penn Medicine Princeton House Behavioral Health  http://www.princetonhouse.org  is here to help. If you are considering suicide, we urge you to call the Suicide Prevention Lifeline or go to your nearest emergency room immediately. pic.twitter.com/U3BvAVh0et",2,0,0,True,
PrincetonHealth,2018-06-04,10:36:19,HEALTH MATTERS: Tips for encouraging healthy habits in children @central_jersey http://www.centraljersey.com/lifestyle/health-matters-tips-for-encouraging-healthy-habits-in-children/article_b844c9d0-6500-11e8-9ba6-ab28fbf523ca.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share …,2,0,1,True,
PrincetonHealth,2018-06-01,09:01:12,"Union County Sheriff Peter Corvelli announced that his office & Penn Medicine Princeton House Behavioral Health now offer first-of-its-kind training on traumatic events in the workplace, Peer-to-Peer Counseling & mental health wellbeing for officers & supervisors.@countyofunionnj pic.twitter.com/1h7Dki6JRq",9,0,6,True,
PrincetonHealth,2018-05-24,08:02:27,"Thank  you to all the employees, volunteers and physicians who contributed to  Penn Medicine Princeton Health’s 6th annual food drive.  https://www.princetonhcs.org/about-princeton-health/news-and-information/news/princeton-health-food-drive-2018 … pic.twitter.com/oh9MnyBZ2Q",6,0,2,True,
PrincetonHealth,2018-05-21,09:00:59,Recovering from a Stroke: 5 Ways Spouses Can Help: https://www.pennmedicine.org/updates/blogs/neuroscience-blog/2016/may/recovering-from-a-stroke-5-ways-spouses-can-help …,1,0,0,True,
PrincetonHealth,2018-05-18,08:49:14,"As part of the system updates, the Princeton HealthConnect patient portal will become the myPennMedicine portal. Patients will still be able to view  their records and track lab results as well have access to new features to monitor their appointments. pic.twitter.com/qdlm5Myc2a",3,0,0,True,
PrincetonHealth,2018-05-18,08:12:19,HEALTH MATTERS: Pelvic floor disorders: gaining control over the urge to go  @central_jersey http://www.centraljersey.com/lifestyle/health-matters-pelvic-floor-disorders-gaining-control-over-the-urge/article_29b22fb8-3dc4-11e8-87cc-d700928ffded.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share …,0,0,0,True,
PrincetonHealth,2018-05-15,08:14:12,"Journey Back: Stroke Support Group: Welcomes individuals who have experienced a stroke, as well as their loved ones and caregivers. Join us the second Wednesday of each month, from 6:30 – 7:30 pm.Penn Medicine Princeton Health Community Wellness, 731 Alexander Road, Princeton pic.twitter.com/6z0jKVd0kk",0,0,0,True,
NJHospitals,2018-05-12,09:00:45,Seize the day! We’re here if you need us. Photo 155/168 Penn Medicine Princeton Kids Marathon #NJHospitals247 #HospitalWeek #BeyondHospitalWalls @PrincetonHealth pic.twitter.com/xkIQcABdk3,1,0,1,True,"#NJHospitals247,#HospitalWeek,#BeyondHospitalWalls"
PrincetonHealth,2018-05-11,14:41:17,"Christina Brescia, Peri-operative Unit RN with DJs Joel and Maryann during our Nurses Week celebration. @Magic983 pic.twitter.com/VF33wJxhnV",3,0,3,True,
PrincetonHealth,2018-05-11,14:40:34,"Karyn Book, Interim Chief Nursing Officer being interviewed on Magic 98.3 FM during our Nurses Week celebration. @Magic983 pic.twitter.com/vbuEXYlvTT",2,0,2,True,
PrincetonHealth,2018-05-11,13:39:11,"Janet L. Ready, president of Penn Medicine Princeton Medical Center (PMC) and a proud RN, was among several nurses interviewed Thursday on Magic 98.3 FM’s Joel and Maryann in the Morning. The live broadcast was part of PMC’s festivities for National Nurses Week. @Magic983 pic.twitter.com/K4UNIFTSdP",2,0,2,True,
PrincetonHealth,2018-05-11,08:31:25,"Is pain in your hips or knees making everyday tasks difficult? For more information about the Jim Craigie Center for Joint Replacement, visit the link in our bio or call 1.888.742.7496. pic.twitter.com/UCJ3uA2CkY",1,0,0,True,
Magic983,2018-05-10,07:42:08,"We’re on the road again, broadcasting LIVE this morning! Joel & Maryann with President of @PrincetonHealth, Janet Ready, celebrating #NursesWeek! 👩‍⚕️👨‍⚕️ #Magic983 #BeasleyBest #WeLoveNurses! @BeasleyMedia pic.twitter.com/Vs8bbGcVmz",8,0,2,True,"#NursesWeek,#Magic983,#BeasleyBest,#WeLoveNurses"
PrincetonHealth,2018-05-09,16:48:28,LIVE NOW at  http://www.ustream.tv/princetonhealth  come and check it out!,0,0,0,True,
PrincetonHealth,2018-05-04,09:31:05,HEALTH MATTERS: Young adults and opioids @central_jersey http://www.centraljersey.com/lifestyle/health-matters-young-adults-and-opioids/article_692de91a-4e3c-11e8-9b12-fba239370cdd.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share …,0,0,0,True,
PrincetonHealth,2018-05-03,08:20:51,"May is National Stroke Awareness Month, do you know the facts? pic.twitter.com/rbnG998LRd",1,0,0,True,
